Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0524317361414432,-1.1599381366522721e-07,0.0091113168746232,0.0001849787513492,0.9856209754943848,49.25601891116671,0.0004214291111566,0.0005422347458079,0.0001249419001396,1.5908122062683103,4.339895144877522,6999983.5,0.84
1.0,0.3230000138282776,-0.0305235981941223,8.311557664342217e-09,0.0054985620081424,0.0002891465846914,0.4210500717163086,19.01652068278604,0.0004437334719114,0.0012692706659436,0.0002238240413134,1.53429114818573,5.670841516822853,5358937.0,0.84
1.0,0.4800000190734863,-0.0037214767653495,-4.8416644915505465e-08,0.0101301530376076,0.0003550198161974,-1.597692370414734,28.53404958097742,0.0004418887547217,0.0021046283654868,0.0002754888846538,1.8867290019989011,7.639612640382787,4102609.0,0.84
1.0,0.6370000243186951,0.0305912885814905,-2.729262291722989e-07,0.0497505702078342,0.0007239981787279,-1.263921141624451,68.71643005407377,0.000493457133416,0.0027078294660896,0.0004618794773705,2.3782167434692383,5.862632134047651,3140812.25,0.84
1.0,0.7940000295639038,-0.0064145694486796,-2.686210507363285e-07,0.0684377998113632,0.000588470196817,-1.456273913383484,116.29781793798736,0.0004520347283687,0.0024341193493455,0.0003644548705779,2.997140645980835,6.678794950622772,2404484.0,0.84
1.0,0.9520000219345092,-0.0031726763118058,-2.594661054899916e-07,0.1058712899684906,0.0007518490892834,-1.3263351917266846,140.81454839479125,0.0004566465504467,0.0007987391436472,0.0002227422955911,3.1210620403289795,3.5859338772072475,1840781.125,0.84
1.0,1.1089999675750732,-0.0014909002929925,8.497353576331079e-08,0.1488860249519348,0.0007624825811944,-1.3726152181625366,195.26482128771116,0.000447003665613,0.0006649246788583,0.0002041565312538,-3.0873589515686035,3.256935620794139,1409249.875,0.84
1.0,1.2660000324249268,-0.0002939916448667,-8.798508588370169e-09,0.2194040119647979,0.0007538628997281,-1.362088322639465,291.0396731871618,0.0004388701345305,0.0005313584697432,0.000172827654751,-3.079164505004883,3.074499104375266,1078859.25,0.84
1.0,1.4229999780654907,0.0004190139297861,-2.4385803953919094e-07,0.2498259544372558,0.000681261299178,-1.1429872512817385,366.7109150904223,0.0004273825325071,0.0017348637338727,0.0002917620295193,2.983532190322876,5.946160083719814,825937.4375,0.84
1.0,1.5809999704360962,0.0006822861614637,-3.526209297888272e-07,0.3519921004772186,0.0010399078018963,-1.1303337812423706,338.48395005339904,0.0004570657620206,0.0045081567950546,0.00124608410988,-1.7371400594711304,3.6178591471555706,632312.4375,0.84
1.0,1.7390000820159912,0.0005522883147932,-8.143820906525434e-08,0.4873879253864288,0.0011035536881536,-1.230576515197754,441.6531163081756,0.0004466682439669,0.0036258017644286,0.0018849143525585,-1.6997631788253784,1.923589663109631,484078.09375,0.84
1.0,1.8960000276565552,0.0007059805211611,-9.990387894731613e-08,0.6364742517471313,0.0011391104198992,-1.161102533340454,558.746755914531,0.0004353483673185,0.0035950192250311,0.0034930717665702,-1.4238437414169312,1.02918561806734,370593.71875,0.84
