Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0521741695702075,-1.2460382947665496e-07,0.0090401424095034,0.0001860663760453,0.9643223881721495,48.58557790850017,0.0002277839230373,0.0005632747197523,0.0001291053777094,1.5346006155014038,4.362906718106089,6999983.5,0.39
1.0,0.3240000009536743,-0.0306704919785261,-8.550410512953023e-08,0.0055531463585793,0.0002915204968303,0.4166894555091858,19.048905373577057,0.0002557063126005,0.0012349577154964,0.0002254500432172,1.520194411277771,5.477744416780714,5358937.0,0.39
1.0,0.4819999933242798,-0.0034900687169283,-9.03857539924502e-08,0.0092958686873316,0.0003708685107994,-1.6856012344360352,25.06513337380017,0.0002530230849515,0.0017745809163898,0.000281069194898,1.8432613611221316,6.313679864610419,4102609.0,0.39
1.0,0.6399999856948853,0.0306946262717247,6.347948300344798e-08,0.0486525669693946,0.0007321078446693,-1.312800407409668,66.45546461992458,0.0003138150495942,0.0022898437455296,0.0004510767466854,2.31971287727356,5.076395008955164,3140812.25,0.39
1.0,0.7980000376701355,-0.0067905653268098,4.7992777751915134e-08,0.0661429092288017,0.0005744321970269,-1.596635341644287,115.14485011658104,0.0002569640637375,0.0014828196726739,0.000285316229565,2.7867095470428467,5.1971094491691705,2404484.0,0.39
1.0,0.956000030040741,-0.0032954229973256,2.4273154153320323e-08,0.1085795238614082,0.0007477545877918,-1.3566547632217407,145.20743253752084,0.0002515976084396,0.0004555773339234,0.0001342728355666,2.991934061050415,3.3929225669569583,1840781.125,0.39
1.0,1.1130000352859497,-0.0014342640060931,-2.084940859958806e-07,0.1511221826076507,0.0007623977726325,-1.3850462436676023,198.2196014107306,0.0002409485314274,0.0005966913304291,0.0001948240678757,-3.108166217803955,3.06271877461121,1409249.875,0.39
1.0,1.2699999809265137,-0.0002926081651821,-1.0347135059873837e-07,0.2179814726114273,0.0007591280154883,-1.379111647605896,287.1471848805219,0.0002549516502767,0.0008784164092503,0.0003182159271091,-2.965374231338501,2.7604413683200817,1078859.25,0.39
1.0,1.4279999732971191,0.0002130941138602,-4.3327790422154077e-07,0.2460828721523285,0.0006990291294641,-1.2308354377746582,352.0352182475661,0.0002489982289262,0.0001440503401681,3.787007517530583e-05,-3.126723527908325,3.803803913811871,825937.4375,0.39
1.0,1.5859999656677246,0.0005205523921176,-1.0442141018529585e-07,0.3691534399986267,0.0010342494351789,-1.1549594402313232,356.92882919946624,0.0002510106423869,0.0035430428106337,0.0014058327069506,-1.8951897621154783,2.5202449716218376,632312.4375,0.39
1.0,1.7440000772476196,0.0005746333044953,-1.363597732506605e-07,0.5016244649887085,0.0010861690388992,-1.2228753566741943,461.8290956783948,0.0002485789591446,0.0034216111525893,0.0023843662347644,-1.786987543106079,1.435019126970371,484078.09375,0.39
1.0,1.901000022888184,0.0006422179285436,-9.298947389879687e-08,0.6429815292358398,0.0011289016110822,-1.160386323928833,569.5638334853877,0.0002373429160797,0.0034722462296485,0.0051857414655387,-1.6078767776489258,0.6695756533030061,370593.71875,0.39
1.0,2.058000087738037,0.0009945306228473,-9.448555715607655e-08,0.7961127758026123,0.0011883807601407,-1.1685230731964111,669.9138882964952,0.0002357497432967,0.0033241540659219,0.0193923283368349,-2.2767562866210938,0.1714159335683179,283703.09375,0.39
1.0,2.2160000801086426,0.0007757841376587,1.5734574532189072e-08,0.9214590191841124,0.001149681280367,-1.19500470161438,801.4908435230885,0.0002265261427965,0.0028409680817276,0.010929643176496,2.5918071269989014,0.259932372525854,217203.125,0.39
1.0,2.374000072479248,0.0010752731468528,-1.33037289629101e-07,0.9777205586433412,0.0010073961457237,-1.230282425880432,970.5422864615996,0.0002206565841333,0.0024032748769968,0.0041027781553566,2.095006227493286,0.585767688623165,166281.25,0.39
1.0,2.5309998989105225,0.0008179573342204,1.7373166016909636e-08,0.9818588495254515,0.0008237424772232,-1.2731362581253052,1191.9487906404477,0.0002146193146472,0.0018887376645579,0.0018699016654863,2.19240403175354,1.0100732564814838,127296.859375,0.39
1.0,2.688999891281128,0.0010123066604137,-2.831623646670778e-07,0.9662050604820251,0.0006500236340798,-1.3164880275726318,1486.4152775764214,0.0002177217975258,0.0014552302891388,0.0010985910193994,2.2788875102996826,1.3246333380135795,97453.1171875,0.39
1.0,2.8470001220703125,0.0011554278898984,1.0593493193766791e-08,0.9488502740859984,0.0005059914547018,-1.355847954750061,1875.2298389012508,0.0002178895083488,0.0011507590534165,0.0007023048237897,2.341001272201538,1.6385464180736735,74609.375,0.39
1.0,3.005000114440918,0.0009198692860081,-3.92100822921293e-08,0.9363468289375304,0.0003918687580153,-1.389032959938049,2389.439856547302,0.000216967149754,0.0009555531432852,0.0004797698347829,2.4070301055908203,1.9916907525408607,57109.375,0.39
1.0,3.1619999408721924,0.0010303749004378,-1.352089213924046e-07,0.9282814860343932,0.0003043164324481,-1.418945074081421,3050.382388380213,0.0002076596865663,0.0007944965618662,0.000346065411577,2.4815168380737305,2.295798815159759,43718.74609375,0.39
1.0,3.319999933242798,0.001176304067485,-3.043598155727523e-07,0.9227312803268432,0.0002316885220352,-1.4316141605377195,3982.636999973746,0.0002074919902952,0.0006710676243528,0.0002486815792508,2.5786502361297607,2.6985015390945946,33468.75,0.39
1.0,3.4780001640319824,0.0012458522105589,-2.699396191019332e-07,0.919717252254486,0.0001797808945411,-1.4471557140350342,5115.767471297182,0.0002066534798359,0.0005725543014705,0.0001872377470135,2.691369771957397,3.0578999726429408,25624.99609375,0.39
1.0,3.634999990463257,0.0010734283132478,7.744120722463776e-08,0.9178696870803832,0.0001392876292811,-1.4585375785827637,6589.743050529928,0.000188122401596,0.0004962420207448,0.0001424897782271,2.828217029571533,3.4826499621163496,19625.0,0.39
1.0,3.8010001182556152,0.0011093553621321,2.090113326858045e-07,0.9171167612075806,0.0001075537074939,-1.463958978652954,8527.058551275873,0.0001971783058252,0.0004120941157452,0.0001087470300262,3.001974582672119,3.7894746702111415,15022.91015625,0.39
1.0,4.00600004196167,0.0010725903557613,-1.7038927069279453e-07,0.9170651435852052,8.308490214403719e-05,-1.4659065008163452,11037.686991498982,0.0002263584610773,0.0003340954426676,8.373115997528657e-05,0.0265777111053466,3.990096909755131,11516.697265625,0.39
