Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0535314679145813,-1.0177424769608481e-07,0.0091706858947873,0.0001850133994594,1.0183382034301758,49.56768494380693,0.0002017499355133,0.0005763659137301,0.0001289471256313,1.5416041612625122,4.469784889798524,6999983.5,0.48
1.0,0.3240000009536743,-0.0319467149674892,-1.831775051641671e-07,0.0054704369977116,0.0002889924799092,0.4122717678546905,18.92934030473813,0.0002122313162544,0.0012340204557403,0.0002235375723103,1.5216763019561768,5.520416290588381,5358937.0,0.48
1.0,0.4819999933242798,-0.0052108308300375,1.9233606707302897e-08,0.0093534598127007,0.0003715844650287,-1.6820536851882937,25.171826846899695,0.0002144114259863,0.0017734245629981,0.0002819997025653,1.8383859395980835,6.288746218046128,4102609.0,0.48
1.0,0.6399999856948853,0.0296934507787227,-3.412658600154828e-07,0.0487872548401355,0.0007306035840883,-1.309015870094299,66.77664317922853,0.0002819953369908,0.0022935168817639,0.0004504407406784,2.320976495742798,5.09171723301363,3140812.25,0.48
1.0,0.7980000376701355,-0.0077808825299143,-3.0514857485286484e-07,0.066360667347908,0.0005729613476432,-1.607361912727356,115.82049578189488,0.0002274921862408,0.0014921143883839,0.0002859787491615,2.785271167755127,5.217570860626562,2404484.0,0.48
1.0,0.956000030040741,-0.0046250969171524,-1.0206300515847033e-07,0.1089343875646591,0.0007474236190319,-1.356242299079895,145.7465148154609,0.0002230480895377,0.0004708780616056,0.0001382072659907,2.99623441696167,3.4070427356330817,1840781.125,0.48
1.0,1.1139999628067017,-0.0027648599352687,-4.8314131362303676e-08,0.1515673696994781,0.000762146897614,-1.3825557231903076,198.86897155125743,0.0002258990280097,0.0005949477199465,0.0001936377811944,-3.108762741088867,3.0724774694106807,1409249.875,0.48
1.0,1.2710000276565552,-0.0017469151644036,-2.298822607826878e-07,0.2184814661741256,0.0007581997197121,-1.3760361671447754,288.15819960613464,0.000232607111684,0.0008790906867943,0.0003187236143276,-2.9649453163146973,2.7581598829723704,1078859.25,0.48
1.0,1.4279999732971191,-0.0010095533216372,-1.4156242400531482e-07,0.2459304928779602,0.0006969618843868,-1.2292790412902832,352.8607494717178,0.0002015822392422,0.0001830122055253,4.741513112094253e-05,-3.1359713077545166,3.8597848661113945,825937.4375,0.48
1.0,1.5850000381469729,-0.0005801027291454,-2.577061479769327e-07,0.3706867396831512,0.0010319511638954,-1.1553367376327517,359.20957565847993,0.0002341163926757,0.0035366895608603,0.0013974619796499,-1.895900845527649,2.530794835467561,632312.4375,0.48
