Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0504632592201232,2.0365781949749362e-07,0.0094398008659482,0.0001889491977635,1.014192819595337,49.9594651773,0.0002175464760512,0.0005668264348059,0.0001302854361711,1.5441954135894775,4.350650782345023,6999983.5,0.11
1.0,0.3240000009536743,-0.0286288615316152,-1.0960096119561059e-07,0.0056997705250978,0.0002903377171605,0.4276072978973388,19.631519393483995,0.0002397669886704,0.0012485783081501,0.0002249615499749,1.5260602235794067,5.550185390743659,5358937.0,0.11
1.0,0.481000006198883,-0.0017083106795325,-1.4293308758794865e-08,0.0090420302003622,0.0003749700845219,-1.6379512548446655,24.11400421953832,0.0002649222733452,0.0017726935911923,0.0002821624220814,1.8428542613983157,6.282528970780587,4102609.0,0.11
1.0,0.6380000114440918,0.0329734496772289,-2.140165094033364e-07,0.0482238009572029,0.0007362203323282,-1.2950724363327026,65.50185975535273,0.0003146459057461,0.0022886095102876,0.0004509786085691,2.3257431983947754,5.074762897399872,3140812.25,0.11
1.0,0.7960000038146973,-0.0043033063411712,-2.785543813388358e-07,0.0650263130664825,0.0005747256218455,-1.5857304334640503,113.14322973398755,0.0002702049096114,0.0014919895911589,0.0002861107641365,2.789080858230591,5.214727225176745,2404484.0,0.11
1.0,0.9539999961853028,-0.0011038385564461,-2.847744440259703e-07,0.1063935607671737,0.0007527956040576,-1.3480322360992432,141.33127265051306,0.0002541893627494,0.0004534726904239,0.0001346302015008,2.9983394145965576,3.368283530505743,1840781.125,0.11
1.0,1.1119999885559082,0.0008116509998217,-2.2347748540596518e-07,0.1485929787158966,0.0007673559593968,-1.3799999952316284,193.64282885442128,0.0002567887422628,0.0005885099526494,0.0001932194863911,-3.1130480766296387,3.045810563112868,1409249.875,0.11
1.0,1.2690000534057615,0.0017537171952426,-1.1215586681601053e-07,0.2150168716907501,0.0007632183260284,-1.3740503787994385,281.723937119847,0.0002584657631814,0.000889528542757,0.0003202299703843,-2.9586994647979736,2.7777804235165298,1078859.25,0.11
1.0,1.4259999990463257,0.0024426174350082,-7.068824459111056e-08,0.2461148500442505,0.0007049703854136,-1.2249430418014526,349.11374312532456,0.000235742147197,5.2443461754592136e-05,1.430212432751432e-05,-3.1234242916107178,3.666830224213741,825937.4375,0.11
1.0,1.5830000638961792,0.0025619310326874,8.28556849796769e-08,0.3595668971538543,0.0010426263324916,-1.1451919078826904,344.86650293453886,0.0002624067128635,0.0035555392969399,0.0013990006409585,-1.9017008543014529,2.5414851093304964,632312.4375,0.11
