Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0537373013794422,-2.028207433113494e-07,0.009792398661375,0.0001979327935259,0.9925351738929749,49.47335146911763,0.0003037203568965,0.0005620251176878,0.000132677538204,1.5864123106002808,4.236023107571556,6999983.5,0.82
1.0,0.3230000138282776,-0.0323979593813419,-2.721849057252257e-07,0.0057174288667738,0.0003005226026289,0.4899995326995849,19.024954584975728,0.0003362545394338,0.0012688615825027,0.0002309533010702,1.5506181716918943,5.494017953511407,5358937.0,0.82
1.0,0.4800000190734863,-0.0052911508828401,-2.119508764053535e-07,0.007742469664663,0.00042060695705,-1.417319655418396,18.40784973925655,0.0003360029950272,0.0018662716029211,0.0003010908258147,1.8562586307525637,6.198367545311434,4102609.0,0.82
1.0,0.6370000243186951,0.0296155624091625,-3.68735953770738e-07,0.0465380623936653,0.0007154837949201,-1.4452781677246094,65.04418789646986,0.0003836303658317,0.0024112216196954,0.0004542110546026,2.3127377033233643,5.308592988351767,3140812.25,0.82
1.0,0.7950000166893005,-0.0080937854945659,-1.4983304197357938e-07,0.0568655878305435,0.0005018708761781,-2.031965494155884,113.30720814801448,0.0003039719304069,0.001911454484798,0.0003069412487093,2.5998783111572266,6.2274278639170575,2404484.0,0.82
1.0,0.9520000219345092,-0.0044058011844754,-1.0785914383859565e-07,0.1348756104707718,0.0007146517164073,-1.394948124885559,188.7291492823977,0.0003619968192651,0.0008545246673747,0.0002331042924197,-3.1404285430908203,3.6658469842163632,1840781.125,0.82
1.0,1.1100000143051147,-0.0025900017935782,-3.542495505826082e-07,0.1754755079746246,0.0007324017351493,-1.4106671810150146,239.5891483501855,0.0003465682384558,0.0007565771811641,0.0002362271916354,-3.0374138355255127,3.202752299285997,1409249.875,0.82
1.0,1.2680000066757202,-0.0018449672497808,-1.2987989350676798e-07,0.2509270012378692,0.0007241790299303,-1.40799880027771,346.4985740639182,0.0003163818619213,0.0008422529208473,0.0002879369421862,-2.944282531738281,2.925129767831971,1078859.25,0.82
1.0,1.4259999990463257,-0.001258858363144,-1.875945372376009e-07,0.2692606449127197,0.0006774402572773,-1.2470824718475342,397.4677353762372,0.000314117904054,0.0006886926130391,0.0001508323039161,3.103759765625,4.565949038491317,825937.4375,0.82
1.0,1.5839999914169312,-0.0007975480402819,-2.940314800525812e-07,0.4321900606155395,0.0009358734241686,-1.0748307704925537,461.8039677742193,0.0003318104136269,0.0039221947081387,0.0012716286582872,-1.6990453004837036,3.084386847196066,632312.4375,0.82
1.0,1.741000056266785,-0.0007120654336176,-1.110156588879363e-07,0.5346561670303345,0.000991660519503,-1.1479220390319824,539.1524181060092,0.0003266955318395,0.0034268777817487,0.0021364737767726,-1.5960285663604736,1.6039877573060843,484078.09375,0.82
1.0,1.8980000019073489,-0.0005343971424736,-8.11577791637319e-08,0.6676033735275269,0.0009971940889954,-1.0832500457763672,669.481880102248,0.0003167172544635,0.0033049827907234,0.0043826419860124,-1.2688870429992676,0.7541074085612175,370593.71875,0.82
1.0,2.055000066757202,-0.000580676656682,-2.1716429898788195e-07,0.8009905219078064,0.0010384158231317,-1.1013416051864624,771.3581631413003,0.0003039719013031,0.0030643588397651,0.0243104211986064,-1.1115480661392212,0.1260512442269344,283703.09375,0.82
1.0,2.213000059127808,-0.0004559168301057,9.795829214453988e-08,0.8996381759643555,0.0009829469490796,-1.1095887422561646,915.2459110908457,0.0002860277891159,0.0025758596602827,0.0117186894640326,1.9383870363235476,0.2198078264799691,217203.125,0.82
1.0,2.369999885559082,-0.0002421571552986,-5.342535658314773e-08,0.9489201307296752,0.0008800500654615,-1.143535017967224,1078.2569855636675,0.000280829030089,0.0022105597890913,0.0034481277689337,1.9113025665283203,0.641089871729114,166281.25,0.82
1.0,2.5280001163482666,-0.0005032876506447,-2.530616143303633e-07,0.9592871069908142,0.0007361124153248,-1.1885000467300415,1303.180176043377,0.0002851054596249,0.0017955600051209,0.0016104029491543,2.1036064624786377,1.11497560661062,127296.859375,0.82
1.0,2.684999942779541,-0.0002303772344021,-2.780583088224376e-07,0.9509981870651244,0.0005926020094193,-1.2318731546401978,1604.783939219071,0.0002883756533265,0.0013951340224593,0.0009812307544052,2.2392797470092773,1.421820521009863,97453.1171875,0.82
1.0,2.8429999351501465,-0.000358280231012,1.1633095908791803e-07,0.9390296339988708,0.0004680471029132,-1.2700384855270386,2006.2716511951016,0.0002873694174923,0.0011216826969757,0.0006400832207873,2.3203799724578857,1.752401344931399,74609.375,0.82
1.0,3.000999927520752,-0.0002793420280795,-2.095287072734209e-07,0.9295821189880372,0.0003664154501166,-1.297959327697754,2536.962125074633,0.0002726116508711,0.0009247531997971,0.0004415438161231,2.429687738418579,2.094363381456998,57109.375,0.82
1.0,3.1589999198913574,-0.0004469449340831,-5.705306449499403e-09,0.923023760318756,0.0002878347004298,-1.31931734085083,3206.7841679284725,0.0002653166302479,0.0007907762774266,0.0003210701106581,2.529557466506958,2.462939561099485,43718.74609375,0.82
1.0,3.315999984741211,-0.0003302351688034,-1.597044558820926e-07,0.918605387210846,0.000219978581299,-1.3133946657180786,4175.885587524302,0.0002858601219486,0.0006762784323655,0.0002333728043595,2.621142864227295,2.897845934625853,33468.75,0.82
1.0,3.4739999771118164,-0.0003177844919264,6.529182883241448e-08,0.9161680340766908,0.0001727881026454,-1.310609221458435,5302.263408475121,0.0002754626038949,0.0005793323507532,0.000176840214408,2.8000600337982178,3.2760215355576405,25624.99609375,0.82
1.0,3.63100004196167,-0.0001010069972835,-2.4163313128156005e-07,0.9147499203681946,0.0001353583065792,-1.2916237115859983,6757.988803829644,0.0002861955144908,0.0005027459701523,0.0001364012859994,2.959423303604126,3.6857861454057614,19625.0,0.82
1.0,3.797000169754028,-0.0002174241380998,2.2567222401903567e-07,0.9145055413246156,0.0001064065363607,-1.2608715295791626,8594.448918290887,0.0002882079279515,0.0004051262803841,0.0001057594126905,-3.08738112449646,3.830640413724695,15022.91015625,0.82
1.0,4.001999855041504,-0.0005088218022137,1.4687688576486837e-07,0.9142836332321168,8.408221765421331e-05,-1.2191270589828491,10873.686003288978,0.0003161303175147,0.0003410761710256,8.359328785445541e-05,-2.9186935424804688,4.080186098427936,11516.697265625,0.82
1.0,4.258999824523926,-0.0002041764528257,-7.141222369000388e-08,0.9151498675346376,6.718379154335707e-05,-1.1647156476974487,13621.587089857012,0.0003056489513255,0.0002672216796781,6.705447594868019e-05,-2.9317851066589355,3.985143063122342,8801.966796875,0.82
1.0,4.585999965667725,-0.0001597390219103,-1.368084383557289e-07,0.916445016860962,5.419814260676503e-05,-1.0916640758514404,16909.159111046196,0.0003162141656503,0.0002040978433797,5.39205466338899e-05,-2.7520627975463867,3.78515901861119,6740.5849609375,0.82
1.0,5.007999897003174,-0.0003053752880077,-1.0211707923701852e-08,0.9188419580459596,4.448711115401238e-05,-1.002910852432251,20654.11608465584,0.0003234253381378,0.0001438588224118,4.4185013393871486e-05,-2.641423225402832,3.255828421493948,5159.66845703125,0.82
1.0,5.431000232696533,-0.0003500219609122,-1.6795058854768288e-07,0.922263503074646,3.7553840229520574e-05,-0.909537672996521,24558.433902844023,0.0003214967728126,0.000113652087748,3.7326160963857546e-05,-2.472599029541016,3.044837315525124,3951.206787109375,0.82
1.0,5.854000091552734,-0.0002170883090002,-1.743618440741557e-07,0.9280443787574768,3.231048322049901e-05,-0.8100829124450684,28722.70193002529,0.0003333197673782,0.0001011454951367,3.21137486025691e-05,-2.306837558746338,3.149601013213464,3022.096923828125,0.82
1.0,6.276999950408936,-0.0002590516814962,-2.1936895677754367e-07,0.9357243776321412,2.8969629056518897e-05,-0.7113214731216431,32300.184990514383,0.0003088352677877,7.331120286835358e-05,2.867611328838393e-05,-2.150765419006348,2.55652508173241,2312.779296875,0.82
1.0,6.700000286102295,-0.0001252374204341,-1.51495314071326e-07,0.9455575346946716,2.642211074999068e-05,-0.6195095181465149,35786.6009889087,0.00032979802927,6.207556725712493e-05,2.6173189326073043e-05,-1.9465323686599727,2.371723464181985,1772.8358154296875,0.82
1.0,7.123000144958496,-0.0002333537122467,-1.8174226568135055e-07,0.9571399092674256,2.4772589313215576e-05,-0.530518651008606,38637.05554416205,0.0003305526915937,4.207999882055447e-05,2.4358827431569807e-05,-1.686602234840393,1.7275051083131143,1357.1678466796875,0.82
1.0,7.546000003814697,-0.0002604346955195,-1.5132894048974777e-08,0.9687914252281188,2.3539672838523984e-05,-0.4701416492462158,41155.6877563157,0.0003365899610798,4.365664790384472e-05,2.3273087208508517e-05,-1.6895285844802856,1.875842577854651,1039.0057373046875,0.82
1.0,7.969000339508057,-0.0002424084814265,-3.4458874864640165e-08,0.9788275957107544,2.2688993340125307e-05,-0.4093463122844696,43141.076425797415,0.0003269471053499,3.117091182502918e-05,2.228282937721815e-05,-1.5593111515045166,1.3988758472879643,794.2393188476562,0.82
1.0,8.392000198364258,-5.598272764473222e-05,-1.0154996488154212e-07,0.986657738685608,2.202168616349809e-05,-0.3704336881637573,44803.91425798432,0.0002022606640821,3.007101622642949e-05,2.1745907361037094e-05,-0.8515191078186035,1.382835663151439,609.4149780273438,0.82
1.0,8.8149995803833,-3.904618642991409e-05,-1.960179218940539e-07,0.9921826124191284,2.1221618226263672e-05,-0.3462975025177002,46753.39089792939,0.0002146706247003,2.5697376258904114e-05,2.097106334986165e-05,-0.8799239993095398,1.2253730690806215,465.7454528808594,0.82
1.0,9.236000061035156,-4.45794066763483e-05,1.0264903238521585e-07,0.996193826198578,2.041534389718436e-05,-0.3112238049507141,48796.32844862196,0.0002373942406848,2.523988041502889e-05,2.0057741494383663e-05,-1.148778796195984,1.2583610384098465,356.4826965332031,0.82
