Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0550969094038009,-2.338317841577009e-07,0.009147728793323,0.0001880275085568,1.0051907300949097,48.65101316043647,0.0003244973777327,0.0005740552442148,0.0001311508531216,1.5261619091033936,4.377060694240009,6999983.5,0.52
1.0,0.3240000009536743,-0.0332483015954494,-2.3433445051068705e-07,0.0051629957742989,0.0002931301714852,0.4750831425189972,17.61332089473699,0.0003691060992423,0.0011954545043408,0.0002269338874612,1.505443453788757,5.267853636646832,5358937.0,0.52
1.0,0.481000006198883,-0.0059423651546239,-2.4314843471984204e-07,0.009172149002552,0.0003693983308039,-1.7339533567428589,24.829968729392245,0.0003656682092696,0.0016675245715305,0.0002819896908476,1.8095800876617432,5.913423879141616,4102609.0,0.52
1.0,0.6389999985694885,0.0280006937682628,-3.083540036641353e-07,0.048261359333992,0.0007256413227878,-1.3328665494918823,66.50855983308124,0.0004371092363726,0.002179735340178,0.0004473614681046,2.294478416442871,4.872425310594999,3140812.25,0.52
1.0,0.796999990940094,-0.0094166696071624,-1.2081584088718958e-07,0.0686548724770546,0.0005655792774632,-1.5811119079589844,121.38859256828896,0.0003801744314841,0.0012407468166202,0.0002591454249341,2.7352139949798584,4.787839943289487,2404484.0,0.52
1.0,0.9550000429153442,-0.0056326854974031,-3.175745746375469e-07,0.1076512709259986,0.0007463815272785,-1.3404754400253296,144.23088861605754,0.0003800067061092,0.0003453385434113,0.000103975435195,2.9474539756774902,3.321347419836217,1840781.125,0.52
1.0,1.1119999885559082,-0.0040004192851483,-9.880004370188544e-08,0.1495309919118881,0.0007633189088664,-1.3838130235671997,195.8958309233254,0.0003703638503793,0.0005888537270948,0.0001966734562302,-3.1131014823913574,2.994068128876487,1409249.875,0.52
1.0,1.2699999809265137,-0.0029268024954944,-2.997498995682691e-07,0.2188684940338134,0.0007568319560959,-1.3726025819778442,289.19034439668013,0.000373801740352,0.0010265862802043,0.0003826668253168,-2.9009313583374023,2.6827156478859826,1078859.25,0.52
1.0,1.4279999732971191,-0.0024935405235737,-1.645972247388272e-07,0.2499600499868393,0.0006958109443075,-1.19197678565979,359.2355826417413,0.000359714787919,0.0005270311958156,0.0001739676081342,-2.9973154067993164,3.029478886718428,825937.4375,0.52
1.0,1.5859999656677246,-0.0020237616263329,-3.190943971276283e-07,0.3573111891746521,0.0010369675001129,-1.128610372543335,344.5731801003718,0.0003730470780283,0.0032768396195024,0.0015104499179869,-1.9827144145965576,2.169446057416815,632312.4375,0.52
1.0,1.7440000772476196,-0.0017971313791349,-4.4654402131527604e-07,0.4903811514377594,0.0010991002200171,-1.2255914211273191,446.1660024325301,0.0003791681956499,0.0033648281823843,0.0025893836282193,-1.8711730241775515,1.299470710216181,484078.09375,0.52
1.0,1.902000069618225,-0.001995539991185,-2.083119312601412e-07,0.6378023028373718,0.001135105965659,-1.1585309505462646,561.8878960494892,0.0003655843320302,0.0034544970840215,0.005768057424575,-1.711288571357727,0.5989012989543958,370593.71875,0.52
1.0,2.059000015258789,-0.0017089186003431,-2.274181980510548e-07,0.7908467054367065,0.0011982951546087,-1.166118025779724,659.9765528509531,0.0003424414608161,0.0033502676524221,0.019537728279829,-2.6090681552886963,0.1714768270106942,283703.09375,0.52
1.0,2.2170000076293945,-0.0015322169056162,-7.662756473791887e-08,0.919100284576416,0.0011635881382972,-1.1922107934951782,789.8845427570543,0.0003333016938995,0.0028914511203765,0.009478123858571,2.534163475036621,0.3050657665506082,217203.125,0.52
1.0,2.375,-0.0017804350936785,-6.568291155417684e-08,0.9772314429283142,0.0010206279112026,-1.2278227806091309,957.480617766801,0.000329276866978,0.0024361845571547,0.0040137665346264,2.1180648803710938,0.6069572149097314,166281.25,0.52
1.0,2.532999992370605,-0.0014413305325433,-6.289296550221479e-08,0.9821956753730774,0.000835177314002,-1.2697597742080688,1176.0325129839994,0.0003301153774373,0.0019368277862668,0.0018805462168529,2.1755406856536865,1.029928309609974,127296.859375,0.52
1.0,2.690999984741211,-0.0014603207819163,-1.272868672685945e-07,0.9664626121520996,0.0006594232982024,-1.3121482133865356,1465.6179343171734,0.0003313731285743,0.0014968896284699,0.0010991242015734,2.278825521469116,1.3618930657036743,97453.1171875,0.52
1.0,2.8480000495910645,-0.0016881235642358,1.245372089897501e-07,0.9492207169532776,0.0005133241065777,-1.350554347038269,1849.164504043105,0.0003228203568141,0.0011695551220327,0.0007125734118744,2.3379294872283936,1.6413117617680495,74609.375,0.52
1.0,3.00600004196167,-0.0013877126621082,1.3761233219611313e-07,0.9366339445114136,0.0003977229935117,-1.3834507465362549,2354.990683946576,0.0003312054323032,0.0009637342882342,0.0004866959934588,2.4123623371124268,1.9801566094374328,57109.375,0.52
1.0,3.1640000343322754,-0.0014040620299056,-9.109621856850937e-08,0.92805278301239,0.0003091554972343,-1.412325143814087,3001.896428543859,0.0003181246866006,0.000788401463069,0.0003524322237353,2.484935998916626,2.237030015907373,43718.74609375,0.52
1.0,3.321000099182129,-0.0014066188596189,-1.8478839081126358e-07,0.9224773645401,0.0002352574665565,-1.4226670265197754,3921.1395839737934,0.0003323793644085,0.0006771013140678,0.0002530107449274,2.56933331489563,2.6761761215397963,33468.75,0.52
1.0,3.4790000915527344,-0.0014667350333184,-9.434733527768913e-08,0.919602870941162,0.0001827425294322,-1.4377397298812866,5032.232364288785,0.0003151060664094,0.0005749776028096,0.0001907944242702,2.6760239601135254,3.0135975147531218,25624.99609375,0.52
1.0,3.63700008392334,-0.0016563888639211,7.494392662010797e-08,0.9176215529441832,0.00014156884572,-1.44579815864563,6481.804300071018,0.0003275998460594,0.0004883594228886,0.0001447220420232,2.834677219390869,3.3744647053163117,19625.0,0.52
1.0,3.802000045776367,-0.0016434353310614,2.8443215782658623e-08,0.9171763062477112,0.0001092085658456,-1.4505490064620972,8398.391638475097,0.0003244135004933,0.0004022544308099,0.000110492859676,2.990016460418701,3.6405468370487775,15022.91015625,0.52
1.0,4.006999969482422,-0.0016673307400196,1.581519484261662e-07,0.916864573955536,8.491835615132004e-05,-1.4488015174865725,10797.012748595032,0.0003529228561092,0.0003329938335809,8.558554691262543e-05,-3.126350164413452,3.890771813621056,11516.697265625,0.52
1.0,4.263999938964844,-0.0014708015369251,-1.8088260844706386e-07,0.917571783065796,6.551538535859436e-05,-1.4396542310714722,14005.439761111444,0.0003469694347586,0.0002505716402083,6.642525113420561e-05,3.076498746871948,3.77223474401487,8801.966796875,0.52
1.0,4.591000080108643,-0.001576486043632,-1.1297265700704885e-07,0.9189918637275696,5.091411367175169e-05,-1.4333045482635498,18049.845071494336,0.0003341402334626,0.0001914186868816,5.143107773619704e-05,-3.049028158187866,3.721848643022728,6740.5849609375,0.52
1.0,5.013000011444092,-0.0017089169705286,8.41069365264957e-08,0.9213724732398988,3.938474765163846e-05,-1.4127286672592163,23394.144387810196,0.0003640750364866,0.000160832554684,3.999305772595108e-05,-3.113419771194458,4.021511828030544,5159.66845703125,0.52
1.0,5.435999870300293,-0.0017131095519289,3.5446714008458e-08,0.9248856902122498,3.110545003437437e-05,-1.3923178911209106,29733.87908518174,0.0003471371310297,0.0001140232925536,3.153544457745738e-05,-2.935807943344116,3.615718569419467,3951.206787109375,0.52
1.0,5.859000205993652,-0.0013693091459572,-1.1830399415657666e-07,0.9305626749992372,2.4068329366855323e-05,-1.3620713949203491,38663.36798102497,0.000360972539056,9.524342021904886e-05,2.4449944248772223e-05,-2.9611239433288574,3.89544529222522,3022.096923828125,0.52
1.0,6.2820000648498535,-0.0016721095889806,3.8539745617072185e-08,0.9381632804870604,1.899714879982639e-05,-1.3157423734664917,49384.42554577633,0.0003675967745948,6.375777593348175e-05,1.920719660120085e-05,-2.6742756366729736,3.3194732816706614,2312.779296875,0.52
1.0,6.704999923706055,-0.0015184241347014,-1.6053454032771697e-07,0.9480876326560974,1.5113972949620802e-05,-1.269227147102356,62729.21327941666,0.0003611402353271,6.462507008109242e-05,1.5280420484486967e-05,-2.489705801010132,4.229273019463127,1772.8358154296875,0.52
1.0,7.128000259399414,-0.001572503359057,-2.702844597024523e-07,0.9592187404632568,1.2117287042201497e-05,-1.1877353191375732,79161.17998381458,0.0003550191177055,4.949239155394025e-05,1.2235372196300888e-05,-2.3458445072174072,4.045025419733718,1357.1678466796875,0.52
1.0,7.551000118255615,-0.001665569958277,3.805478243634752e-08,0.9703079462051392,9.915233022184111e-06,-1.0737316608428955,97860.32703761928,0.0003742210101336,4.644132422981784e-05,1.0010358892031944e-05,-2.193930149078369,4.639326594652291,1039.0057373046875,0.52
1.0,7.973999977111816,-0.0016171494498848,1.3019308653383632e-07,0.979858934879303,8.034616257646121e-06,-1.0082025527954102,121954.66509639744,0.0003525874344632,3.670149817480706e-05,8.122151484712958e-06,-2.3336496353149414,4.518691659948042,794.2393188476562,0.52
1.0,8.397000312805176,-0.0015521713066846,5.3429690893835875e-08,0.987354040145874,6.8234585341997445e-06,-0.8903709650039673,144699.9399493927,0.000259093591012,2.3991737180040215e-05,6.886854862386826e-06,-2.2750799655914307,3.4837001300946877,609.4149780273438,0.52
1.0,8.819999694824219,-0.0011939075775444,-9.215792573513681e-08,0.9928449392318726,5.831387170474045e-06,-0.8280582427978516,170258.79266925133,0.0002185935736633,3.577514144126326e-05,5.87211616220884e-06,-1.7064974308013916,6.0923763176725325,465.7454528808594,0.52
1.0,9.241000175476074,-0.0015431155916303,-1.1524841880827809e-07,0.996107578277588,5.367710855352925e-06,-0.6597645878791809,185574.0007463748,0.0002408979344181,1.5639277989976108e-05,5.390083970269188e-06,-1.7781167030334473,2.9014906031593903,356.4826965332031,0.52
1.0,9.666000366210938,-0.0013580308295786,1.3100451390357648e-08,0.9984272718429564,4.539274868875509e-06,-0.5630333423614502,219953.03229792992,0.0002707488893065,1.6145131667144597e-05,4.54692371931742e-06,-1.111759901046753,3.550781289457896,273.33795166015625,0.52
1.0,10.090999603271484,-0.0014766691019758,-5.425152593829807e-08,1.0000380277633667,4.249649919074727e-06,-0.4740887582302093,235322.44933274508,0.0002744383236858,2.0885297999484465e-05,4.258944045432145e-06,-1.4629857540130615,4.903867666889078,209.26370239257807,0.52
1.0,10.513999938964844,-0.00166376598645,2.676551105196268e-07,1.0006824731826782,4.281750534573803e-06,-0.3622847199440002,233708.7284984211,0.0002209413942182,3.477314385236241e-05,4.2806418605323415e-06,-0.7701538801193237,8.123348083139572,160.2567596435547,0.52
1.0,10.94499969482422,-0.0014650149969384,-1.1677666122977827e-07,1.0011388063430786,4.118143806408625e-06,-0.3842196464538574,243104.38231542904,0.0002720904885791,2.052373019978404e-05,4.115122465009336e-06,-0.3810715079307556,4.987392325330829,122.6834945678711,0.52
1.0,11.375,-0.0012804757570847,-3.336874332404704e-09,1.0014464855194092,3.985423973063007e-06,-0.168866753578186,251277.2774711206,0.0002656339784152,3.194404416717589e-05,3.976403604610823e-06,-0.4081578254699707,8.033400867591835,93.71041870117188,0.52
1.0,11.789000511169434,-0.0013558083446696,-3.9230592108197015e-08,1.0016975402832031,3.708404619828798e-06,-0.0551380515098571,270115.49250239244,0.0002564103633631,1.7594005839782767e-05,3.692628979479196e-06,-0.3986896276473999,4.764628652799071,71.7684555053711,0.52
1.0,12.213000297546388,-0.0013070966815575,-2.0024916125294115e-07,1.001868486404419,3.825051408057334e-06,-0.2294606566429138,261922.8814269055,0.0002119693381246,2.3887778297648765e-05,3.816149728663731e-06,-0.4007884860038757,6.259654362674429,54.94721221923828,0.52
1.0,12.618000030517578,-0.0012691987212747,-1.203921300430011e-07,1.0018539428710938,3.70401198779291e-06,-0.1622863411903381,270478.05087371304,0.0002205221389885,2.81791126326425e-05,3.69615804629575e-06,-0.1642192602157592,7.623892777226695,42.11589431762695,0.52
1.0,13.015999794006348,-0.0014699632301926,-1.2154760042903945e-07,1.001800775527954,4.124978204345098e-06,-0.1809120774269104,242862.0773008436,0.0002417364448774,3.808292240137234e-05,4.11808969147387e-06,-0.5459038615226746,9.247715628977089,32.19432830810547,0.52
1.0,13.449999809265137,-0.0015618180623278,1.5214665438634256e-07,1.001933455467224,3.534030156515655e-06,-0.0909847542643547,283510.16009865387,0.0002504569420125,2.954514457087498e-05,3.532037680997746e-06,-0.5974297523498535,8.36490072850212,24.660675048828125,0.52
1.0,13.902000427246094,-0.0012439704732969,-1.9695048081302962e-07,1.001917839050293,3.489496975817019e-06,-0.1695863604545593,287123.8593968712,0.0002445873687975,2.5047642338904552e-05,3.4838230931200087e-06,-0.4438870549201965,7.189699841065301,18.87075424194336,0.52
