Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0529604107141494,-1.6754954756947882e-08,0.0091188186779618,0.0001832504349295,0.98839008808136,49.76151178833362,0.0002779690839815,0.0005699975299648,0.0001290368672925,1.5089951753616333,4.417323063744214,6999983.5,0.14
1.0,0.3230000138282776,-0.0309756826609373,-1.3621377092931652e-07,0.0055328691378235,0.0002871761971618,0.4172801971435547,19.266461470357797,0.0003242548264097,0.001209374750033,0.00022311808425,1.5053749084472656,5.420334949980297,5358937.0,0.14
1.0,0.481000006198883,-0.003868454368785,-3.541281330399215e-07,0.0092356614768505,0.0003723985573742,-1.6636139154434204,24.80047597920428,0.0003247579443268,0.0017079043900594,0.0002823990653268,1.8192135095596316,6.047840094946408,4102609.0,0.14
1.0,0.6380000114440918,0.0303361527621746,-6.030345645058334e-08,0.0479548349976539,0.0007304293685592,-1.3066638708114624,65.65293930095123,0.0003684443072415,0.0022233531344681,0.0004507551493588,2.2982120513916016,4.93250745472461,3140812.25,0.14
1.0,0.7950000166893005,-0.0070563913322985,-1.3087945660572586e-07,0.0647823885083198,0.0005729300901293,-1.5881757736206057,113.0720652037862,0.0003245063999202,0.0012591145932674,0.000263163994532,2.7175047397613525,4.7845245528599865,2404484.0,0.14
1.0,0.9520000219345092,-0.0033310565631836,-4.6921886109885246e-07,0.1073397472500801,0.0007484572124667,-1.351384520530701,143.41467416195036,0.0003334784414619,0.0003703761612996,0.0001103818140109,2.9483511447906494,3.3554092639123376,1840781.125,0.14
1.0,1.1100000143051147,-0.0016209833556786,-7.870994522818364e-08,0.1492630690336227,0.000764166470617,-1.3830500841140747,195.3279485202936,0.0003237517375964,0.000565976370126,0.0001886981626739,-3.122875928878784,2.999374037912003,1409249.875,0.14
1.0,1.2669999599456787,-0.0007705579628236,-3.3994872694620426e-08,0.2159982323646545,0.0007599109667353,-1.3770116567611694,284.2414990964117,0.0003256803029216,0.0009792285272851,0.0003628412086982,-2.9245216846466064,2.6987798072836178,1078859.25,0.14
1.0,1.4240000247955322,2.063139618257992e-05,-1.1159517754322225e-07,0.2444509416818618,0.0006967996596358,-1.2238643169403076,350.8195480600625,0.0003031243686564,0.0003519174060784,0.0001073665625881,-3.028748750686645,3.27771885021958,825937.4375,0.14
1.0,1.5820000171661377,0.0001792674011085,-2.425923355531268e-07,0.3647662103176117,0.0010342794703319,-1.14909827709198,352.67664183698315,0.000336161640007,0.0032931342720985,0.0014994441298767,-1.9743590354919436,2.1962367296533643,632312.4375,0.14
1.0,1.7390000820159912,0.0004013283760286,-4.206392816286098e-07,0.495201051235199,0.0010886427480727,-1.2166775465011597,454.8793000383901,0.0003248417633585,0.003353975713253,0.0025670977775007,-1.8553255796432493,1.3065243336848489,484078.09375,0.14
1.0,1.8960000276565552,0.0002604364417493,3.1688117019257334e-08,0.6371402144432068,0.001134636462666,-1.157368302345276,561.5368758254926,0.0003195591561961,0.0034503366332501,0.0058190734125673,-1.7211449146270752,0.5929357457148539,370593.71875,0.14
1.0,2.053999900817871,0.0004275390529073,-3.331424238695036e-07,0.7907329797744751,0.001198120531626,-1.1660852432250977,659.9778226830994,0.0003040467272512,0.0033468422479927,0.0192434433847665,-2.62117338180542,0.1739211731015962,283703.09375,0.14
1.0,2.211999893188477,0.0007577993674203,-1.8365670939601841e-07,0.9186111688613892,0.0011628164211288,-1.1913471221923828,789.9881289684945,0.0002944877196568,0.0028766572941094,0.009276551194489,2.567946434020996,0.3100998672673119,217203.125,0.14
1.0,2.36899995803833,0.0009452743688598,-3.65732191198731e-08,0.9770150184631348,0.0010216993978247,-1.227414608001709,956.2646513674108,0.0002902113192249,0.0024373554624617,0.0039242464117705,2.137838363647461,0.6211015330614773,166281.25,0.14
1.0,2.5269999504089355,0.0005867598229087,-1.7899779436447718e-07,0.9821865558624268,0.0008368603885173,-1.2705544233322144,1173.6564059418722,0.0002942361752502,0.0019365047337487,0.0018705378752201,2.188682794570923,1.035266251168953,127296.859375,0.14
1.0,2.684999942779541,0.0006304003181867,-1.4732088970959012e-07,0.9667367935180664,0.0006612569559365,-1.3143824338912964,1461.968429729194,0.0002764597593341,0.0014807762345299,0.0011089622275903,2.289313554763794,1.3352810381535083,97453.1171875,0.14
1.0,2.8429999351501465,0.0006591162527911,-1.6861282858826598e-07,0.949723482131958,0.0005147082847543,-1.353241205215454,1845.168438633749,0.0002797299530357,0.0011806953698396,0.0007094552856869,2.34559178352356,1.664228026289697,74609.375,0.14
1.0,3.000999927520752,0.0006292678299359,2.7471401153889022e-08,0.9364845752716064,0.0003988165117334,-1.3865803480148315,2348.158984694923,0.0002687454689294,0.0009625912061892,0.0004870136326644,2.421196460723877,1.9765179896975325,57109.375,0.14
1.0,3.157999992370605,0.0008584537426941,-1.2984146735561808e-07,0.9285573363304138,0.0003098015440627,-1.4176799058914185,2997.265036684923,0.0002619535662233,0.0008075812947936,0.0003509714733809,2.495161771774292,2.300988416563233,43718.74609375,0.14
1.0,3.315999984741211,0.0008344327216036,-1.2362370682694745e-07,0.9227403402328492,0.0002361557126278,-1.429541826248169,3907.338636720332,0.0002705902152229,0.00068369199289,0.0002528707263991,2.589042901992798,2.70372139403345,33468.75,0.14
1.0,3.4730000495910645,0.0007262744475156,-3.683533478238133e-08,0.91980242729187,0.0001836877636378,-1.447824239730835,5007.423516273207,0.0002626243513077,0.00059394427808,0.0001913048618007,2.685616970062256,3.1047003849731905,25624.99609375,0.14
