Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0507270731031894,2.2157847112680432e-08,0.0090437093749642,0.0001771215465851,0.9679446220397948,51.05934060155936,0.0003169908886775,0.0005667588557116,0.0001254642411367,1.5079023838043213,4.517293936315428,6999983.5,0.02
1.0,0.3230000138282776,-0.0288728475570678,2.0965648772630633e-08,0.0055740568786859,0.0002842455578502,0.4162171483039856,19.6100052392833,0.0003593356523197,0.0012191835558041,0.0002219214802607,1.5005288124084473,5.493760921076583,5358937.0,0.02
1.0,0.481000006198883,-0.0019354845862835,9.83078365379697e-08,0.0094287348911166,0.0003716149949468,-1.630798101425171,25.372320867904484,0.0003723325498867,0.0017017291393131,0.0002823439135681,1.8114607334136963,6.027150073139961,4102609.0,0.02
1.0,0.6389999985694885,0.032456174492836,-2.0684147727934032e-07,0.0485460236668586,0.0007314615650102,-1.3049819469451904,66.36852295332622,0.0004366462526377,0.0022341734729707,0.0004534403269644,2.29217791557312,4.927160951755673,3140812.25,0.02
1.0,0.796999990940094,-0.0050077596679329,-2.594520083221141e-07,0.0658266320824623,0.0005713601713068,-1.590384006500244,115.21039685334792,0.0003854132955893,0.0012382442364469,0.0002602546592243,2.723816394805908,4.757817747192495,2404484.0,0.02
1.0,0.9550000429153442,-0.0013009125832468,-3.226621458907175e-07,0.108327679336071,0.0007465938106179,-1.3496599197387695,145.0958711356217,0.0003854971437249,0.0003534641582518,0.0001057472909451,2.9420740604400635,3.3425362966057666,1840781.125,0.02
1.0,1.1130000352859497,0.0004156583454459,-9.600467620884957e-08,0.1504322588443756,0.0007623998099006,-1.3813093900680542,197.3141347765742,0.0003791244816966,0.0005645829369314,0.0001887835387606,-3.123341560363769,2.99063647518181,1409249.875,0.02
1.0,1.2710000276565552,0.0017987412866204,-3.13168527554808e-07,0.217168390750885,0.0007596489158459,-1.374811768531799,285.87994561811354,0.0003656244662124,0.000986207742244,0.0003683880204334,-2.9246063232421875,2.6770896107955022,1078859.25,0.02
1.0,1.4290000200271606,0.0019195602508261,2.2158408441441683e-08,0.247916117310524,0.000702773744706,-1.230623483657837,352.7680411769154,0.0003530468093231,0.0004216533561702,0.0001336221175733,-3.025634527206421,3.1555655891972965,825937.4375,0.02
1.0,1.587000012397766,0.0022374568507075,-7.773473953420763e-08,0.3666261732578277,0.0010336168343201,-1.144734025001526,354.70220790180906,0.0003680561203509,0.0033331087324768,0.0015050821239128,-1.957082986831665,2.214569344436506,632312.4375,0.02
