Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.049794103950262,6.960617326967623e-08,0.0087723508477211,0.0001861277560237,0.9611545205116272,47.130804320234496,0.0003857570409309,0.0005757804610766,0.0001325276825809,1.4788310527801514,4.344605216535033,6999983.5,0.28
1.0,0.3240000009536743,-0.0280252303928136,-2.2196228854909353e-08,0.0054322713986039,0.0002896595688071,0.4044438302516937,18.75398565624935,0.0004094030009582,0.001216399250552,0.0002249626995762,1.500483155250549,5.407115281080622,5358937.0,0.28
1.0,0.481000006198883,-0.0008378056809306,-2.7189722473508482e-08,0.009270935319364,0.0003674123145174,-1.6854276657104492,25.233055488466547,0.0004175365611445,0.0017068764427676,0.0002821329981088,1.7996153831481934,6.049900062058903,4102609.0,0.28
1.0,0.6389999985694885,0.033362690359354,-4.6288921140558166e-08,0.0489699877798557,0.0007234757649712,-1.3144750595092771,67.68711565867494,0.0004877198371104,0.002218592679128,0.0004514224419835,2.283879518508911,4.9146707668748855,3140812.25,0.28
1.0,0.7960000038146973,-0.0037579464260488,-2.6925642160335883e-08,0.0682283863425254,0.0005597865674644,-1.5910004377365112,121.88285733893726,0.0004312881210353,0.00125178322196,0.0002592971723061,2.7339982986450195,4.827600744069483,2404484.0,0.28
1.0,0.953000009059906,-0.0003482831234578,-1.758073580049313e-07,0.1089127734303474,0.0007448273827321,-1.3361151218414309,146.2255227927209,0.0004234061634633,0.0003148854011669,9.64281935011968e-05,2.952070713043213,3.265491032589627,1840781.125,0.28
1.0,1.1100000143051147,0.0014330568956211,9.073227857925305e-08,0.1508323401212692,0.0007604322163388,-1.375377178192139,198.35080218913996,0.0004094868781976,0.0005954393418505,0.0002028649469139,-3.112311363220215,2.935151443897695,1409249.875,0.28
1.0,1.2680000066757202,0.0023006701376289,-3.29046571323488e-07,0.2197258919477462,0.0007540358346886,-1.3711493015289309,291.39980069841243,0.0004032818833366,0.0010119767393916,0.0003841326688416,-2.915167570114136,2.634445912771093,1078859.25,0.28
1.0,1.4249999523162842,0.0030277194455266,1.768775916843879e-07,0.247943490743637,0.00068498699693,-1.1928138732910156,361.96817144682433,0.0003971607948187,0.0003529087116476,0.0001088992576114,-3.0351758003234863,3.240689784191889,825937.4375,0.28
1.0,1.5820000171661377,0.0032244203612208,-1.4415493865271858e-07,0.3648839294910431,0.0010316679254174,-1.140241622924805,353.6835065831938,0.0004161949327681,0.0033604011405259,0.0015824526781216,-1.938529133796692,2.1235397348593943,632312.4375,0.28
1.0,1.7400000095367432,0.0036188636440783,-1.839942740389233e-07,0.4967726171016693,0.0010886822128668,-1.2230637073516846,456.3063594044682,0.0004118346842005,0.0034308116883039,0.0027006384916603,-1.807983636856079,1.270370580475093,484078.09375,0.28
1.0,1.897000074386597,0.0037810655776411,-2.274330626050869e-07,0.6423406600952148,0.0011259047314524,-1.1577798128128052,570.5106676890575,0.0004147694562561,0.0035127748269587,0.0060390783473849,-1.5877212285995483,0.5816739947544965,370593.71875,0.28
1.0,2.055000066757202,0.0039252368733286,-2.0861584459908045e-07,0.7944809794425964,0.00118616851978,-1.1659021377563477,669.7876112830266,0.0003969930694438,0.0033875871449708,0.030369421467185,-2.5150740146636963,0.1115459887384181,283703.09375,0.28
1.0,2.213000059127808,0.0038244167808443,5.393852831048208e-08,0.9206116199493408,0.0011490667238831,-1.192908763885498,801.1820382703531,0.0003657166380435,0.0029058738145977,0.010353585705161,2.3845419883728027,0.2806635205761801,217203.125,0.28
1.0,2.369999885559082,0.0038194702938199,-9.850749549400462e-09,0.9769213795661926,0.0010067644761875,-1.2280617952346802,970.3574199058492,0.0003821514255832,0.0024390735197812,0.0040126615203917,2.0468015670776367,0.6078443216269928,166281.25,0.28
1.0,2.5280001163482666,0.0038803401403129,-5.4153531436895725e-08,0.9816502332687378,0.0008233920671045,-1.2710084915161133,1192.202685071606,0.0003825706953648,0.0019260530825704,0.0018643486546352,2.1505088806152344,1.0330970431854418,127296.859375,0.28
1.0,2.684999942779541,0.00389170111157,1.4910929735378886e-07,0.9659205079078674,0.0006504315533675,-1.3146206140518188,1485.0455868983274,0.0003611048450693,0.0014791117282584,0.0011149154743179,2.232552051544189,1.3266581748389978,97453.1171875,0.28
1.0,2.8420000076293945,0.0039303530938923,1.1303782798677277e-07,0.9490291476249696,0.0005061128176748,-1.3537962436676023,1875.133595677124,0.0003775396326091,0.0011617970885708,0.0007085496908985,2.3127005100250244,1.6396832903809817,74609.375,0.28
1.0,3.0,0.0041175754740834,-4.165595441918413e-07,0.9364240169525146,0.0003920561575796,-1.3873099088668823,2388.494604276893,0.0003611048450693,0.0009476436534896,0.0004838473687414,2.3912644386291504,1.958559071954191,57109.375,0.28
1.0,3.157999992370605,0.0037533594295382,-4.517638885204178e-08,0.9281548261642456,0.0003045312769245,-1.4158682823181152,3047.814449595097,0.0003614402376115,0.0007973317988216,0.0003463785687927,2.4790425300598145,2.30190857823781,43718.74609375,0.28
1.0,3.315999984741211,0.0039060378912836,1.3991355274356465e-07,0.9227004051208496,0.0002317160397069,-1.4285045862197876,3982.030792032232,0.0003515458374749,0.0006582577480003,0.0002502622955944,2.554862260818481,2.63027135764414,33468.75,0.28
1.0,3.4739999771118164,0.0041823862120509,-5.3030568381018384e-08,0.9196917414665222,0.0001797576114768,-1.4431912899017334,5116.288172226504,0.0003683998947963,0.000567075854633,0.0001870081032393,2.7006213665008545,3.032359800512003,25624.99609375,0.28
1.0,3.631999969482422,0.0037807340268045,1.6903898369946546e-07,0.9180275797843932,0.0001393094134982,-1.454589605331421,6589.845989092546,0.0003755272191483,0.0004847497621085,0.0001427420938853,2.816636800765991,3.395983265441024,19625.0,0.28
1.0,3.79800009727478,0.0040235863998532,-8.220103353551168e-08,0.9170427918434144,0.0001074304091162,-1.457402586936951,8536.156563003235,0.0003658843634184,0.0004056550678797,0.0001081807204172,3.047995090484619,3.749790778938604,15022.91015625,0.28
1.0,4.002999782562256,0.0038403046783059,3.807756243645599e-08,0.9170575141906738,8.33350422908552e-05,-1.457590103149414,11004.464496339584,0.0004032819124404,0.0003224238171242,8.382553642150015e-05,-3.0933003425598145,3.846367478079392,11516.697265625,0.28
1.0,4.259999752044678,0.0038186314050108,-1.3755311556451488e-07,0.9176865816116332,6.456889968831092e-05,-1.4564138650894165,14212.516955399884,0.000384834682336,0.0002483210409991,6.552990816999227e-05,3.063720226287842,3.789430626927943,8801.966796875,0.28
1.0,4.586999893188477,0.003828189568594,-2.3051251218930707e-07,0.9189704060554504,4.962296225130558e-05,-1.4486074447631836,18519.055783117263,0.0003858408890664,0.0002020406245719,5.008811058360152e-05,-3.008453369140625,4.033704250727133,6740.5849609375,0.28
1.0,5.008999824523926,0.0037041432224214,-2.542370793889859e-07,0.9214070439338684,3.865490361931734e-05,-1.4359959363937378,23836.744052141574,0.0004207229067105,0.0001414626021869,3.929836748284288e-05,0.0039895772933959,3.5997068389344333,5159.66845703125,0.28
1.0,5.432000160217285,0.0038538037333637,-1.426987239483424e-07,0.9250054955482484,2.9873332096030936e-05,-1.414835810661316,30964.25576412841,0.0004102415405213,0.0001200100523419,3.0274055461632088e-05,-2.8687703609466557,3.964122100987194,3951.206787109375,0.28
1.0,5.855000019073486,0.0036529984790831,7.847776117841931e-08,0.9305275678634644,2.345979373785667e-05,-1.3833144903182983,39664.78044356749,0.0003962384362239,8.721802441868931e-05,2.372402923356276e-05,-2.701831102371216,3.6763579896158864,3022.096923828125,0.28
1.0,6.277999877929688,0.0037361294962465,-1.1683203382517605e-07,0.9381780624389648,1.8285329133505e-05,-1.3493156433105469,51307.693484165975,0.0004161111137364,7.121163071133196e-05,1.852479726949241e-05,-2.7336745262146,3.844124698120553,2312.779296875,0.28
1.0,6.701000213623047,0.0038429461419582,-1.276599448374327e-07,0.9480345249176024,1.43139632200473e-05,-1.293033242225647,66231.44899449238,0.0003990893601439,5.793230229755864e-05,1.4515210750687402e-05,-2.6938767433166504,3.991144413443333,1772.8358154296875,0.28
1.0,7.124000072479248,0.0039356350898742,-1.5639743367046324e-07,0.9591056108474731,1.148234059655806e-05,-1.2345976829528809,83528.75468046768,0.0004253347287885,5.0637736421776935e-05,1.1626785635598935e-05,-2.451551914215088,4.355265333759498,1357.1678466796875,0.28
1.0,7.546999931335449,0.0037071616388857,-8.895235481531928e-08,0.9700605869293212,9.103828233492097e-06,-1.1436461210250854,106555.23830739284,0.000404958933359,3.327258309582248e-05,9.2709115051548e-06,-3.117027521133423,3.5889225215149887,1039.0057373046875,0.28
1.0,7.970000267028809,0.0039077992551028,-1.8740854557108838e-07,0.979918360710144,7.421260761475423e-06,-1.0838611125946045,132042.033315553,0.0004073906166013,3.867554914904758e-05,7.5050033956358675e-06,-2.080693483352661,5.153302018695591,794.2393188476562,0.28
1.0,8.392999649047852,0.0040016626007854,-1.9648453530862758e-07,0.9874807596206664,6.055113772163168e-06,-0.941532552242279,163082.11484982428,0.0002966234460473,2.803875577228609e-05,6.1113569245208055e-06,-1.874156475067139,4.587975488681612,609.4149780273438,0.28
1.0,8.815999984741211,0.0039111115038394,-6.75392684001963e-08,0.9927011728286744,5.5221867114596535e-06,-0.8629265427589417,179765.95589725694,0.0004154402995482,3.2105603168020025e-05,5.559172677749302e-06,-1.3874729871749878,5.775248409987935,465.7454528808594,0.28
1.0,9.23699951171875,0.0039998604916036,-5.169833983131866e-08,0.9963073134422302,4.4537437133840285e-06,-0.7097055315971375,223701.08779456897,0.0002795178443193,1.9117791453027166e-05,4.467557573661907e-06,-1.1801950931549072,4.279249038833752,356.4826965332031,0.28
1.0,9.661999702453612,0.0039725685492157,-9.972434611427161e-08,0.9984661936759948,4.355960754764965e-06,-0.5759804844856262,229218.36304052497,0.0002928501344285,2.165889054595027e-05,4.359043487056624e-06,-0.5936057567596436,4.968725503717123,273.33795166015625,0.28
1.0,10.086999893188477,0.0039563039317727,-4.228697036978701e-08,0.9998830556869508,3.716799255926162e-06,-0.3889030218124389,269017.234141099,0.0003350272017996,3.235816620872356e-05,3.7210377286100993e-06,-0.9579761028289796,8.696005944774482,209.26370239257807,0.28
1.0,10.510000228881836,0.0040206112898886,7.290465475762177e-08,1.0005031824111938,3.698986802191939e-06,-0.4030506908893585,270480.33310589736,0.0004009340773336,3.232626477256417e-05,3.699661647260655e-06,-0.7520108222961426,8.73762734397605,160.2567596435547,0.28
1.0,10.940999984741213,0.0038660040590912,7.186101669276469e-08,1.00152325630188,3.3810094919317635e-06,-0.3552453517913818,296220.1847382725,0.0003115489089395,2.4006913008634e-05,3.3802621146605816e-06,-0.430849015712738,7.10208622713407,122.6834945678711,0.28
1.0,11.371000289916992,0.0041026109829545,-6.655157847035299e-08,1.0014657974243164,3.6340172755444655e-06,-0.2966406345367431,275580.91266208194,0.000290083058644,1.571790016896557e-05,3.619682502176147e-06,-0.3553253412246704,4.342342224633237,93.71041870117188,0.28
1.0,11.78499984741211,0.0040854224935173,7.29232851881534e-08,1.0014737844467163,3.59968771590502e-06,-0.2678150534629822,278211.29594707896,0.0003168315161019,2.3395332391373813e-05,3.5919176752940984e-06,-0.4449989199638366,6.513326447399231,71.7684555053711,0.28
1.0,12.208999633789062,0.0040739779360592,1.420829676135327e-07,1.0018837451934814,3.43073952535633e-06,-0.2274993956089019,292031.422901283,0.0002997259143739,3.0065129976719614e-05,3.4244874314026674e-06,0.2903688549995422,8.779454028950827,54.94721221923828,0.28
1.0,12.61400032043457,0.0041053765453398,-1.8960777481424887e-07,1.001805067062378,3.502919298625784e-06,-0.1184587180614471,285991.4778668729,0.0002908377209678,2.7401534680393524e-05,3.49556898981973e-06,-0.0938854813575744,7.838934021956364,42.11589431762695,0.28
1.0,13.01200008392334,0.0043005216866731,-2.079646179709016e-07,1.0019201040267944,3.2890261536522303e-06,-0.1604648679494857,304625.15566020453,0.0002905023284256,2.1252362785162404e-05,3.281042381786392e-06,-0.167958378791809,6.47732040986053,32.19432830810547,0.28
1.0,13.446000099182127,0.0041078850626945,-5.4102471835904e-08,1.0019220113754272,3.280121518400847e-06,-0.2806774973869324,305452.71135683195,0.0002960364799946,2.722417048062198e-05,3.277924406575039e-06,-0.7410170435905457,8.305307598312597,24.660675048828125,0.28
1.0,13.89799976348877,0.0040278127416968,-1.5874590530984278e-07,1.001949667930603,3.31314436152752e-06,-0.2245124578475952,302416.5441039387,0.0002980488934554,2.761017094599083e-05,3.307917950223782e-06,-0.0637904405593872,8.346691593158466,18.87075424194336,0.28
1.0,14.3410005569458,0.0040709441527724,-2.0794600175122468e-07,1.0020233392715454,3.033974053323618e-06,-0.2038910388946533,330267.6033678871,0.0002906700246967,2.157537892344408e-05,3.027812454092782e-06,-0.0675876140594482,7.125731613356703,14.467611312866213,0.28
1.0,14.735000610351562,0.0042508961632847,-1.4948366811040614e-07,1.002031922340393,3.153369334540912e-06,-0.1525634527206421,317765.4806763304,0.0002834588231053,4.898997576674447e-05,3.151523060296313e-06,-0.2597809433937073,15.54485714667064,11.065899848937988,0.28
1.0,15.241000175476074,0.0039626993238925,-8.938118867263256e-08,1.0018527507781982,3.21158495353302e-06,-0.2442697286605835,311949.6339886865,0.0003010675427503,2.2449565221904777e-05,3.2069774533738382e-06,0.1500593572854995,7.00022546098263,8.473396301269531,0.28
1.0,15.586999893188477,0.0040674293413758,-6.658896722910869e-08,1.002066969871521,3.1145214052230585e-06,-0.1844862699508667,321740.27386392426,0.0002690364781301,4.5898599637439474e-05,3.1113515888137044e-06,-0.2268881201744079,14.75198103694211,6.488784790039063,0.28
1.0,16.03299903869629,0.0038945062551647,-1.3927095210419793e-07,1.001935362815857,2.8957419999642298e-06,-0.3316987156867981,346002.98052389803,0.0002863097761292,1.615122346265707e-05,2.890119048970518e-06,-0.1332660913467407,5.588428431143781,4.969782829284668,0.28
1.0,16.605998992919922,0.0042292485013604,-5.755521925721042e-08,1.00198495388031,2.8273129828448877e-06,-0.2868678569793701,354394.7769348468,0.0002599595754873,0.0001103882968891,2.8265337732591438e-06,-0.3236327171325683,39.05429962786457,3.814697265625,0.28
