Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0537477023899555,2.9250875055453207e-09,0.0088688880205154,0.000182667892659,0.9439889788627625,48.55198081836767,0.0002964350569527,0.0005674102576449,0.0001286419283133,1.509416580200195,4.4107723281561535,6999983.5,0.37
1.0,0.3240000009536743,-0.0318097993731498,-3.591797224089533e-07,0.0055551081895828,0.0002874822821468,0.3775139451026916,19.323306285518985,0.0003085095959249,0.0012008474441245,0.0002218160807387,1.515114188194275,5.413707789466502,5358937.0,0.37
1.0,0.481000006198883,-0.0050049112178385,-2.8973940402465814e-07,0.0095389317721128,0.0003672011080197,-1.66744863986969,25.97740465314315,0.0003122828784398,0.0016832584515213,0.0002801289374474,1.81088662147522,6.008870296868924,4102609.0,0.37
1.0,0.6389999985694885,0.0292899124324321,-5.6743918008805856e-08,0.047653816640377,0.0007255696109496,-1.3084009885787964,65.67780116646428,0.0003940376045648,0.0022029320243746,0.0004456966707948,2.305713415145874,4.942671033296873,3140812.25,0.37
1.0,0.796999990940094,-0.0082251271232962,-2.5119615543189866e-07,0.0692680329084396,0.0005777629557996,-1.5759527683258057,119.89005562421995,0.0003354257787577,0.0012491965899243,0.0002619663137011,2.750395536422729,4.768539024256385,2404484.0,0.37
1.0,0.9539999961853028,-0.004319361411035,-3.440381135533244e-07,0.1080043986439704,0.0007461612694896,-1.3455456495285034,144.7467230748096,0.0003376058884896,0.0003676271007861,0.0001097545900847,2.950173139572144,3.349537367888057,1840781.125,0.37
1.0,1.1109999418258667,-0.0026356151793152,-2.059408501509097e-07,0.1500278413295745,0.0007622026023454,-1.378750562667847,196.83459603509584,0.0003314009227324,0.0005702988710254,0.0001887128310045,-3.1196951866149902,3.0220460791655186,1409249.875,0.37
1.0,1.2680000066757202,-0.0016743066953495,-3.896522287050175e-07,0.2181592881679535,0.000756427180022,-1.3717437982559204,288.4075214769625,0.0003463263856247,0.0009728846489451,0.0003577015013433,-2.9223222732543945,2.719822660210748,1078859.25,0.37
1.0,1.4259999990463257,-0.001244943938218,-1.4337022946619984e-07,0.2426483929157257,0.0006941917235963,-1.195063829421997,349.5408900277148,0.0003222611558157,0.0003723288245964,0.0001135705897468,-3.0167531967163086,3.278391222820288,825937.4375,0.37
1.0,1.5830000638961792,-0.0008852509781718,-9.892428920466045e-08,0.3640041649341583,0.001035846886225,-1.1487311124801636,351.4073071751996,0.0003424692258704,0.0032658274285495,0.0015033499803394,-1.9875235557556152,2.1723666952203704,632312.4375,0.37
