Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0529008395969867,-5.141047267898102e-07,0.009192164056003,0.0001868063991423,1.0079777240753174,49.20690135993428,0.0002179700386477,0.0005589831853285,0.0001283459423575,1.5554547309875488,4.355285216351359,6999983.5,0.32
1.0,0.3230000138282776,-0.0312633067369461,-3.524147302869096e-07,0.0056967106647789,0.0002876513462979,0.4100807607173919,19.8042204150805,0.0002349079441046,0.0012128418311476,0.0002227359800599,1.516838788986206,5.445199427686639,5358937.0,0.32
1.0,0.4800000190734863,-0.0045815431512892,-3.2978426656171678e-09,0.0094216130673885,0.0003687049611471,-1.6759257316589355,25.553258187996374,0.0002319731574971,0.0016828920925036,0.0002793149615172,1.82534921169281,6.025069632368394,4102609.0,0.32
1.0,0.6380000114440918,0.0302143283188343,1.239173599287824e-07,0.0475545153021812,0.000727528182324,-1.3072091341018677,65.36449921468706,0.0002984669699799,0.0021955426782369,0.0004454605805221,2.307881593704224,4.928702503065972,3140812.25,0.32
1.0,0.7950000166893005,-0.0073021780699491,-1.1244806330523717e-07,0.068673625588417,0.0005829308647662,-1.5579044818878174,117.8074961186962,0.0002423706901026,0.0012325517600402,0.0002609313523862,2.74918794631958,4.7236629434078266,2404484.0,0.32
1.0,0.9520000219345092,-0.0037048305384814,-3.574190259314492e-07,0.1066603884100914,0.0007496151374652,-1.3400557041168213,142.28686572518558,0.0002510911726858,0.0003615395107772,0.0001082604430848,2.949635505676269,3.339534741177652,1840781.125,0.32
1.0,1.1089999675750732,-0.0018277833005413,-5.284624080559297e-07,0.1485457122325897,0.0007649468607269,-1.3766247034072876,194.19089071288943,0.0002439638483338,0.0005624429904855,0.0001854213624028,-3.123396873474121,3.0333235782380226,1409249.875,0.32
1.0,1.2669999599456787,-0.0009564809151925,-2.331807991140522e-07,0.2162409573793411,0.0007591209141537,-1.3653967380523682,284.8570673624505,0.000223084949539,0.000974882976152,0.0003602391516324,-2.9249107837677,2.706210504145229,1078859.25,0.32
1.0,1.4249999523162842,-0.0003382605791557,-2.33011306249864e-07,0.2433100789785385,0.0006977381417527,-1.1900378465652466,348.7125963435541,0.0002268582466058,0.0004074517346452,0.0001270076754735,-3.015953302383423,3.2080874886183977,825937.4375,0.32
1.0,1.5830000638961792,-0.000163023796631,-1.6007014380647888e-07,0.3575086295604706,0.0010385191999375,-1.135528802871704,344.24845451288513,0.0002408613363513,0.0032406591344624,0.0014870298327878,-2.0008816719055176,2.179283201324243,632312.4375,0.32
1.0,1.741000056266785,0.0001424614893039,-4.367593362530897e-07,0.490205854177475,0.001093530212529,-1.2144348621368408,448.27829040386325,0.0002347402187297,0.0033038349356502,0.0025148633867502,-1.8988033533096316,1.3137234225353052,484078.09375,0.32
1.0,1.8980000019073489,0.0003471722593531,-1.711325978703826e-07,0.6308111548423767,0.0011341824429109,-1.146209478378296,556.1813787412807,0.0002339855564059,0.0034244477283209,0.0057424316182732,-1.7564072608947754,0.5963410547935586,370593.71875,0.32
1.0,2.055999994277954,0.0002895743818953,-1.7728642376368953e-07,0.7824435234069824,0.0011974094668403,-1.151957392692566,653.4469160926723,0.0002169638028135,0.0033050635829567,0.0157180503010749,-2.7158892154693604,0.2102718543107571,283703.09375,0.32
1.0,2.21399998664856,0.0003931643150281,-2.682472768356093e-07,0.909702718257904,0.001163403969258,-1.1741611957550049,781.9319361941346,0.0002060631813947,0.0028517630416899,0.0082759214565157,2.6275405883789062,0.3445855614597146,217203.125,0.32
1.0,2.371000051498413,0.0001402509224135,-1.02992522954537e-07,0.9689075350761414,0.0010247704340144,-1.2052313089370728,945.4874017788384,0.0001965041738003,0.0024340564850717,0.0037430822849273,2.188173532485962,0.6502813189208341,166281.25,0.32
1.0,2.5280001163482666,0.0005708709941245,-3.564910002751276e-07,0.975585639476776,0.0008414527983404,-1.2422447204589844,1159.4062571315303,0.0001887060352601,0.0019503792282193,0.0018032167572528,2.2313709259033203,1.081611082181145,127296.859375,0.32
1.0,2.686000108718872,0.0001060849463101,1.674857657008033e-07,0.9615783095359802,0.0006663578678853,-1.2779914140701294,1443.035875883707,0.0001731936063151,0.001508560962975,0.0010893382132053,2.31107234954834,1.3848416815711808,97453.1171875,0.32
1.0,2.8429999351501465,0.0004571377648971,-6.447239542239913e-08,0.9454582929611206,0.0005198426079005,-1.3084673881530762,1818.7395157537464,0.0001940725051099,0.0011979941045865,0.0007027558167465,2.380183458328247,1.704708913165325,74609.375,0.32
1.0,3.000999927520752,0.0006575229926966,-1.3749783533967277e-07,0.9332247972488404,0.0004042069776915,-1.3295072317123413,2308.779533145753,0.0001891252904897,0.0009926280472427,0.0004834832507185,2.46494722366333,2.0530763904799065,57109.375,0.32
1.0,3.157999992370605,0.0004607425362337,-1.3533880860450156e-07,0.9251950979232788,0.0003150973352603,-1.344267964363098,2936.220000587439,0.0001873644214356,0.0008280149777419,0.0003515030548442,2.5455682277679443,2.3556409150098534,43718.74609375,0.32
