Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0535844154655933,-3.939818071785339e-08,0.0092158615589141,0.0001866090606199,0.9834007620811462,49.38592760875059,0.0003198251652065,0.0005567294429056,0.0001288991916226,1.535591959953308,4.319107326410311,6999983.5,0.48
1.0,0.3240000009536743,-0.0317213870584964,-3.992666108842968e-07,0.0054997759871184,0.0002882835105992,0.4189437627792358,19.07766412198019,0.0003495922719594,0.0012140969047322,0.0002234358398709,1.5119229555130005,5.433760785349132,5358937.0,0.48
1.0,0.4819999933242798,-0.004448777064681,-4.161431377269764e-08,0.0092338258400559,0.0003700073866639,-1.704520583152771,24.95578783794084,0.0003547910309862,0.0016924114897847,0.0002826690906658,1.8081674575805664,5.987253455260864,4102609.0,0.48
1.0,0.6389999985694885,0.0298802535980939,-2.757961681254528e-07,0.047641348093748,0.0007253021467477,-1.3251454830169678,65.68482984281009,0.0004109712026547,0.002211641985923,0.0004478772461879,2.2990376949310303,4.93805390817889,3140812.25,0.48
1.0,0.7960000038146973,-0.0077209761366248,-5.8887046350264434e-08,0.0694300830364227,0.000578680075705,-1.5718834400177002,119.98008217551056,0.0003533655544742,0.0012527529615908,0.0002627381472848,2.745255708694458,4.768066512369714,2404484.0,0.48
1.0,0.953000009059906,-0.0042844405397772,-2.472219762239547e-07,0.1071280241012573,0.0007471187855117,-1.348035216331482,143.38820837958886,0.0003706388815771,0.000375053321477,0.000111286441097,2.944464921951294,3.370161879379346,1840781.125,0.48
1.0,1.1100000143051147,-0.0025861475151032,-1.109509213392812e-07,0.1495447605848312,0.0007630340405739,-1.3822846412658691,195.9870105825656,0.0003521916514728,0.0005505115841515,0.0001807134685805,-3.127632141113281,3.04632293583744,1409249.875,0.48
1.0,1.2680000066757202,-0.0011853317264467,-3.859617834223173e-07,0.2176826000213623,0.0007575596682727,-1.3737297058105469,287.34713467216034,0.0003390270576346,0.0009626112878322,0.0003532182308845,-2.9273266792297363,2.7252593543139256,1078859.25,0.48
1.0,1.4259999990463257,-0.0006811805069446,-1.7562960863415358e-07,0.2453660666942596,0.0006973052513785,-1.1911622285842896,351.87755464220754,0.0003348345053382,0.0004280054126866,0.0001353507395833,-3.0170657634735107,3.1621948576274628,825937.4375,0.48
1.0,1.5830000638961792,-0.0002965444291476,-3.2459234944326454e-07,0.3601252138614654,0.001040093251504,-1.1455625295639038,346.2431982331529,0.0003567195963114,0.0032615887466818,0.001482134219259,-1.9949911832809448,2.200602822808048,632312.4375,0.48
1.0,1.7400000095367432,1.1456358151917811e-05,-3.321722203963873e-07,0.4949321448802948,0.0010978888021782,-1.2299039363861084,450.8035275506524,0.0003411232901271,0.0033290344290435,0.002526419237256,-1.8903976678848269,1.3176888380010927,484078.09375,0.48
1.0,1.8980000019073489,-7.19610252417624e-05,-3.651554436601146e-07,0.6396718621253967,0.0011365044629201,-1.1624560356140137,562.841487205274,0.0003387754841241,0.003430905053392,0.0057003195397555,-1.754947304725647,0.6018794261381288,370593.71875,0.48
1.0,2.055000066757202,0.0001154732744907,-3.695770374179119e-07,0.7934961318969727,0.00119954359252,-1.1704992055892944,661.4983705843973,0.0003028033825103,0.00332260155119,0.0167251825332641,-2.647350311279297,0.1986586122203334,283703.09375,0.48
1.0,2.211999893188477,-6.491461681434885e-05,2.9096838716213824e-08,0.9217566847801208,0.0011632024543359,-1.1970549821853638,792.4301408960698,0.0003172257856931,0.0028541509527713,0.0089522209018468,2.63075590133667,0.3188204339531524,217203.125,0.48
1.0,2.369999885559082,-5.606806735158898e-05,-2.850439351220757e-08,0.9789496064186096,0.0010200208052992,-1.2327834367752075,959.7349400450496,0.0003044804325327,0.0024308075662702,0.0038663805462419,2.152052402496338,0.6287036511791115,166281.25,0.48
1.0,2.5280001163482666,7.08706138539128e-05,-3.505283530103043e-07,0.9834991097450256,0.0008341846405528,-1.2760006189346311,1178.9945078504684,0.0002995332179125,0.001933038351126,0.0018583239289,2.1898458003997803,1.0402052737222058,127296.859375,0.48
1.0,2.686000108718872,0.0001029405975714,5.79213441653792e-08,0.9674288630485536,0.0006579660694114,-1.3206303119659424,1470.3324502946848,0.0002808344725053,0.0014874110929667,0.0010985364206135,2.2825422286987305,1.3539934271237752,97453.1171875,0.48
1.0,2.844000101089477,9.874504030449316e-06,-9.207379036979547e-08,0.9501217603683472,0.0005118080880492,-1.360342025756836,1856.4023948696183,0.0002911481424234,0.0011732005514204,0.0007109580328688,2.330318689346313,1.6501685010667122,74609.375,0.48
1.0,3.000999927520752,0.0002058166428469,-1.906118711758609e-07,0.937066614627838,0.0003965398645959,-1.3947176933288574,2363.108222631241,0.0002820922236423,0.0009515525889582,0.0004857055901084,2.4177465438842773,1.9591139330842509,57109.375,0.48
1.0,3.157999992370605,2.9284452466527e-05,-2.1756309820375466e-07,0.9288235306739808,0.0003077387518715,-1.425787091255188,3018.2208936162447,0.000286620168481,0.0007986039854586,0.0003504451015032,2.479111194610596,2.2788276452799314,43718.74609375,0.48
