Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0534063726663589,3.3153376932659746e-08,0.0092254215851426,0.0001829831307986,0.9844745397567748,50.41678730097129,0.0004093163006473,0.0005570757202804,0.0001270135544473,1.533508062362671,4.385954890439782,6999983.5,0.23
1.0,0.3230000138282776,-0.0315243564546108,-3.050222971978656e-07,0.0053373891860246,0.0002896343066822,0.471626877784729,18.428028251086065,0.0004515772161539,0.0011813509045168,0.0002243760827695,1.506841778755188,5.265048261538502,5358937.0,0.23
1.0,0.4800000190734863,-0.0043327799066901,-1.7613189129406237e-07,0.0090563353151083,0.0003687997232191,-1.7114317417144775,24.556242168672608,0.0004613877972587,0.0016550692962482,0.0002802134840749,1.8134052753448489,5.906458433691017,4102609.0,0.23
1.0,0.6380000114440918,0.0300223268568515,-5.501614168679225e-07,0.0480247065424919,0.0007262626895681,-1.3115259408950806,66.12580713880743,0.0005155554972589,0.002172679407522,0.0004458969924598,2.2984049320220947,4.872603862017542,3140812.25,0.23
1.0,0.7960000038146973,-0.0073618330061435,-1.263322388922461e-07,0.0678389891982078,0.0005675998982042,-1.5572375059127808,119.5190298885522,0.0004541765956673,0.0012148504611104,0.0002561266883276,2.7423958778381348,4.7431623351816485,2404484.0,0.23
1.0,0.9539999961853028,-0.0039072707295417,-4.136426667855631e-08,0.10651146620512,0.0007481666980311,-1.3376625776290894,142.3632814524026,0.000460297713289,0.0003441083536017,0.0001037011315929,2.947577953338623,3.3182699968251352,1840781.125,0.23
1.0,1.1109999418258667,-0.0020621258299797,-1.3422763345261046e-07,0.1482722163200378,0.0007644924917258,-1.379169464111328,193.9485579319624,0.0004568598233163,0.0005871615721844,0.0001967650023289,-3.114426612854004,2.9840752432332653,1409249.875,0.23
1.0,1.2690000534057615,-0.0010231783380731,3.1325583904617815e-08,0.2173664271831512,0.0007578387157991,-1.368027925491333,286.82412583518504,0.0004545120173133,0.001013551838696,0.0003801230050157,-2.910895347595215,2.6663785809383973,1078859.25,0.23
1.0,1.4259999990463257,-0.0004852378624491,-2.228543252158488e-07,0.2484472244977951,0.0006925769266672,-1.1821357011795044,358.72870569533785,0.0004265057505108,0.0005037159426137,0.0001644821022637,-2.999387264251709,3.0624361902072383,825937.4375,0.23
1.0,1.5830000638961792,-0.000124958663946,-2.480342971011851e-07,0.3534119725227356,0.0010391408577561,-1.1255263090133667,340.1001605170963,0.00044587533921,0.0032763048075139,0.0015413678484037,-1.984415054321289,2.1255826835280818,632312.4375,0.23
1.0,1.741000056266785,-4.186824298813008e-05,-2.506749581243639e-07,0.4856026172637939,0.0011004813713952,-1.2203093767166138,441.26382316504186,0.0004486424149945,0.0033835822250694,0.0026532982010394,-1.8651427030563357,1.2752363167260583,484078.09375,0.23
1.0,1.89900004863739,2.542291440477129e-05,-9.714552362538599e-08,0.6320433616638184,0.0011389955179765,-1.1537991762161257,554.9129488996051,0.0004395026480779,0.0034800404682755,0.0060286652296781,-1.7064296007156372,0.577248915919873,370593.71875,0.23
1.0,2.055999994277954,0.0002612768730614,-2.672983043794375e-07,0.7853080034255981,0.0012055102270096,-1.1611268520355225,651.4320541050948,0.0004238225228618,0.0033779544755816,0.0202781315892934,-2.6810145378112797,0.1665811497823177,283703.09375,0.23
1.0,2.213000059127808,0.0002209500671597,9.775496323527477e-08,0.914756953716278,0.0011747510870918,-1.187580108642578,778.6815128477901,0.0004169467429164,0.0029225053731352,0.0097313867881894,2.522186279296875,0.3003174610921986,217203.125,0.23
1.0,2.371000051498413,0.0003749289026018,-8.211883795183894e-08,0.9754109382629396,0.0010337482672184,-1.2225327491760254,943.567180903238,0.0004279312270227,0.0024621384218335,0.0039852149784564,2.140112400054932,0.6178182193792515,166281.25,0.23
1.0,2.5290000438690186,0.0005391784361563,5.595462315710621e-09,0.98152494430542,0.0008481230470351,-1.2643091678619385,1157.2907348014771,0.0003912883403245,0.0019509139237925,0.001902135554701,2.1968839168548584,1.0256440025900868,127296.859375,0.23
1.0,2.687000036239624,0.0004266181204002,1.7835498411500342e-08,0.9662321209907532,0.0006710803136229,-1.3066688776016235,1439.815922738621,0.000394055416109,0.0015052806120365,0.0011217261198908,2.290872573852539,1.3419323891496016,97453.1171875,0.23
1.0,2.845000028610229,0.0002475285145919,1.0042328568715676e-07,0.9493367671966552,0.0005234059062786,-1.3458056449890137,1813.7677771852789,0.0003934684791602,0.0011882643448188,0.0007259636186063,2.342373371124268,1.6368097716798322,74609.375,0.23
1.0,3.003000020980835,0.0001374005223624,9.532689659863537e-08,0.9364434480667114,0.0004062610387336,-1.3792880773544312,2305.0289316093254,0.0004021889762952,0.0009650138090364,0.0004989563021808,2.416281223297119,1.934064776451341,57109.375,0.23
1.0,3.1600000858306885,0.0002894502249546,-7.152786452024884e-08,0.9284442663192748,0.0003161595086567,-1.409543752670288,2936.632430458988,0.0003938877198379,0.0008097800891846,0.0003576404124032,2.5089147090911865,2.2642298272252983,43718.74609375,0.23
1.0,3.318000078201294,0.0004525256808847,-1.826072804078649e-07,0.9229267835617064,0.0002412821922916,-1.4220430850982666,3825.092829254295,0.0004166951985098,0.0006809334736317,0.0002586868358775,2.590046167373657,2.632269521259816,33468.75,0.23
1.0,3.4760000705718994,0.000390858418541,1.225618149192087e-07,0.91960871219635,0.0001877036847872,-1.4389140605926514,4899.257642377074,0.0003847479529213,0.0005863406695425,0.0001942204689839,2.7322702407836914,3.018943742695308,25624.99609375,0.23
1.0,3.634000062942505,0.0005714155267924,-8.15457070757475e-08,0.9176700115203856,0.0001458457700209,-1.4494812488555908,6292.057777119256,0.0003996734449174,0.0004940577200613,0.0001490316353738,2.8356332778930664,3.315119765156557,19625.0,0.23
1.0,3.799999952316284,0.0007547812419943,-8.635685588842534e-08,0.9168968796730042,0.0001129619777202,-1.457505702972412,8116.862843386209,0.0004024405207019,0.0004291743971407,0.0001138588049798,3.02776837348938,3.7693562409756503,15022.91015625,0.23
1.0,4.005000114440918,0.0005699900211766,4.255046093248893e-08,0.9173258543014526,8.770894055487588e-05,-1.465482473373413,10458.74968387652,0.0004446175589691,0.0003290354507043,8.826428529573604e-05,-3.1156764030456543,3.727843596103883,11516.697265625,0.23
1.0,4.26200008392334,0.0002714238653425,-2.0943340928170079e-07,0.9178208708763124,6.815985398134217e-05,-1.4676616191864014,13465.71063851682,0.0004376579308882,0.0002465023717377,6.903117173351347e-05,3.0836994647979736,3.5708849429548466,8801.966796875,0.23
1.0,4.5889997482299805,0.0002373414608882,6.524072837521544e-09,0.9191535711288452,5.2929386583855376e-05,-1.4662983417510986,17365.65697153209,0.0004334653785917,0.0001979502267204,5.371348015614785e-05,-0.0251185894012451,3.6852988513306335,6740.5849609375,0.23
1.0,5.011000156402588,0.000326341134496,3.576413831751779e-08,0.9214528799057008,4.099985017091967e-05,-1.464208722114563,22474.54261575004,0.0004440305929165,0.0001512006856501,4.161866309004836e-05,0.0225692987442016,3.633001985742896,5159.66845703125,0.23
1.0,5.434000015258789,0.0004370149108581,-8.07325832852257e-08,0.9249829649925232,3.18089805659838e-05,-1.4570375680923462,29079.30240246965,0.0004511579463724,0.0001181640254799,3.231502341805026e-05,-3.017378807067871,3.656628186564289,3951.206787109375,0.23
1.0,5.85699987411499,0.0003192981530446,-1.6716862205612418e-07,0.930819571018219,2.492697603884153e-05,-1.4579294919967651,37341.85685290523,0.0004530865116976,8.858955698087811e-05,2.530609162931796e-05,-2.945880651473999,3.5007206280026315,3022.096923828125,0.23
1.0,6.28000020980835,0.000407250598073,-1.252742407586993e-07,0.9383650422096252,1.956261257873848e-05,-1.4440630674362185,47967.26605062364,0.000433046137914,6.268708239076659e-05,1.9827379219350405e-05,-2.8212785720825195,3.161642378312285,2312.779296875,0.23
1.0,6.703000068664551,0.0002623692853376,2.10586126314638e-08,0.948277473449707,1.517857799626654e-05,-1.437514066696167,62474.724159466976,0.0004545119882095,5.70602023799438e-05,1.5402316421386786e-05,-2.799661874771118,3.704650704403997,1772.8358154296875,0.23
1.0,7.125999927520752,0.0004067053669132,3.260685499384408e-09,0.9592830538749696,1.173344389826525e-05,-1.4163039922714231,81756.30805349453,0.0004396703443489,4.231381171848625e-05,1.187332600238733e-05,-2.453338384628296,3.5637707336578104,1357.1678466796875,0.23
1.0,7.549000263214111,0.0004196594818495,-1.7743798252922718e-07,0.9704815149307252,9.43524355534464e-06,-1.3726048469543457,102857.07085759232,0.0004402573104016,3.9277241739910096e-05,9.590724403096829e-06,-2.761857032775879,4.095336294641887,1039.0057373046875,0.23
1.0,7.972000122070312,0.0003989924734923,-2.2662696608222177e-08,0.9801583886146544,7.43644886824768e-06,-1.3404215574264526,131804.62959945266,0.0004281827714294,3.409663258935325e-05,7.549654128524708e-06,-2.6264843940734863,4.516317172799562,794.2393188476562,0.23
1.0,8.394999504089355,0.0007977101486176,-1.3528256204153877e-07,0.9875054359436036,5.849497938470449e-06,-1.3240810632705688,168818.83647638664,0.0003419001004658,2.9342474590521302e-05,5.930661245656665e-06,-2.3880343437194824,4.9475890419487945,609.4149780273438,0.23
1.0,8.817999839782715,0.000650061527267,-8.934385675729574e-08,0.9928433299064636,4.68304597234237e-06,-1.2684863805770874,212008.02549667528,0.0003356112574692,3.7749367038486525e-05,4.743229055748088e-06,-2.0564849376678467,7.9585798186869985,465.7454528808594,0.23
1.0,9.23900032043457,0.0007474038284271,-4.94060756750514e-08,0.9964631199836732,3.4363097256573383e-06,-1.2316255569458008,289980.589509596,0.0003107913944404,8.546478056814522e-06,3.494992597552482e-06,0.0125304460525512,2.4453494015408097,356.4826965332031,0.23
1.0,9.663999557495115,0.0007222512504085,-1.732822596522965e-07,0.998572587966919,3.00747660730849e-06,-1.1526274681091309,332030.043239665,0.0003427386109251,2.038968523265794e-05,3.042668140551541e-06,-2.0398707389831543,6.701251760227103,273.33795166015625,0.23
1.0,10.08899974822998,0.0005657998262904,-5.5817018562720484e-08,0.9997283220291138,2.370817810515291e-06,-1.0372744798660278,421680.78778344655,0.000306431116769,2.227556069556158e-05,2.3915033580124145e-06,-0.8854666948318481,9.31445930064462,209.26370239257807,0.23
1.0,10.51200008392334,0.0006152674322947,-9.095563413552554e-09,1.000766038894653,1.9956935375375906e-06,-0.9277473092079164,501462.78477679496,0.0003174994490109,1.9918816178687848e-05,2.0088484689040342e-06,-0.307384192943573,9.915539418239415,160.2567596435547,0.23
1.0,10.942999839782717,0.0004761712043546,-5.3412922085271937e-08,1.0011903047561646,1.643841301302018e-06,-0.7866299152374268,609055.3291021241,0.0003480212180875,2.051489173027221e-05,1.6542368257432829e-06,-1.0623759031295776,12.401423672245024,122.6834945678711,0.23
1.0,11.373000144958496,0.0006148063694126,3.3432723256510144e-08,1.0014163255691528,1.7046475022652885e-06,-0.7693790197372437,587462.4074703896,0.000336365919793,3.5247601772425696e-05,1.7123584257205948e-06,-0.9964946508407592,20.584242903230265,93.71041870117188,0.23
1.0,11.786999702453612,0.0004315240657888,2.4268226184176456e-07,1.001883029937744,1.2960853155163932e-06,-0.75359046459198,773007.0065168269,0.0003055087581742,3.389748962945305e-05,1.3020728601986775e-06,-0.8795530200004578,26.03348143227621,71.7684555053711,0.23
1.0,12.211000442504885,0.0006000905414111,-7.967164350475286e-08,1.001874566078186,1.083572669813293e-06,-0.5325453281402588,924603.0229341388,0.0003056764835491,2.9770144465146583e-05,1.0870360256376443e-06,-1.1896073818206787,27.386529758922865,54.94721221923828,0.23
1.0,12.616000175476074,0.0006511489627882,-2.3557410244734456e-08,1.0021826028823853,1.1631532288447488e-06,-0.4631968140602112,861608.4089606658,0.0003042510070372,2.543386653997004e-05,1.1648247664197695e-06,-0.2850759029388428,21.83492940156494,42.11589431762695,0.23
1.0,13.013999938964844,0.0005843263352289,-1.717354649599656e-07,1.0021907091140747,9.675052297097864e-07,-0.3721070885658264,1035850.4309219008,0.0003105398209299,4.295334292692132e-05,9.68754648056347e-07,-0.4404332041740417,44.338721897335326,32.19432830810547,0.23
1.0,13.447999954223633,0.0006180732743814,-6.168748711843365e-08,1.00195050239563,1.0277152568960446e-06,-0.2115688621997833,974930.0651833946,0.0003131392004434,3.829197885352187e-05,1.0281253253197065e-06,-0.0562233626842498,37.24446612733187,24.660675048828125,0.23
