Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0544581487774848,-2.263213190190072e-07,0.0091657917946577,0.0001876765891211,1.0044370889663696,48.83822664073927,0.000315189914545,0.0005604674224741,0.000129534601001,1.5401779413223269,4.326777696019232,6999983.5,0.56
1.0,0.3240000009536743,-0.0328372605144977,1.8956924918711598e-07,0.0056709493510425,0.000291390082566,0.4946412742137909,19.46171023084398,0.0003566122904885,0.0011962074786424,0.0002255816361866,1.51966392993927,5.302769759381008,5358937.0,0.56
1.0,0.481000006198883,-0.0054320520721375,-2.836638941516867e-07,0.0090135019272565,0.000370065565221,-1.69987690448761,24.356499967440943,0.000366338994354,0.0016753848176449,0.0002817511558532,1.808931827545166,5.9463281084726045,4102609.0,0.56
1.0,0.6389999985694885,0.0285804290324449,7.447504657420724e-08,0.04810157045722,0.0007276629912666,-1.314099907875061,66.10418701311998,0.0004017241299152,0.0022030638065189,0.000447787635494,2.301231384277344,4.919885302523758,3140812.25,0.56
1.0,0.796999990940094,-0.0089857978746294,-1.0204903588828529e-07,0.0673598945140838,0.0005676590371876,-1.5599216222763062,118.66259515183482,0.0003758141829166,0.0012348759919404,0.0002587692579254,2.7337868213653564,4.772112428811986,2404484.0,0.56
1.0,0.9550000429153442,-0.0051494538784027,-2.0569991932006815e-07,0.1060126572847366,0.0007499647908844,-1.3346809148788452,141.356845779013,0.0003734663478098,0.0003520895843394,0.0001056582477758,2.945871353149414,3.3323435865253863,1840781.125,0.56
1.0,1.1130000352859497,-0.0033990100491791,-1.393343751487919e-07,0.1478565484285354,0.0007655408699065,-1.3790366649627686,193.1399801640707,0.0003847023763228,0.0005731070414185,0.0001903382071759,-3.119659185409546,3.0109931680125186,1409249.875,0.56
1.0,1.2710000276565552,-0.0023689498193562,-1.0872680888951437e-07,0.2162694782018661,0.0007598521769978,-1.3669503927230835,284.6204627015095,0.000370615394786,0.0009921852033585,0.0003668120480142,-2.916743278503418,2.7048871724081898,1078859.25,0.56
1.0,1.4279999732971191,-0.0018658463377505,-6.507841732172892e-08,0.2495680004358291,0.0006985558429732,-1.1916533708572388,357.26277712255995,0.0003629011043813,0.0005462609115056,0.0001807011576602,-2.988046169281006,3.023007260046535,825937.4375,0.56
1.0,1.5859999656677246,-0.0013857128797098,-4.5297881001715723e-07,0.3506568670272827,0.0010397076839581,-1.1155054569244385,337.2648605349825,0.0003836961404886,0.0032470731530338,0.0014982199063524,-1.9980343580245967,2.167287418399826,632312.4375,0.56
1.0,1.7440000772476196,-0.00130878505297,-2.40461929479352e-07,0.4831412732601166,0.0011024374980479,-1.2181473970413208,438.2482218861386,0.0003651650622487,0.0033346058335155,0.0025885496288537,-1.9011142253875728,1.2882139852934087,484078.09375,0.56
1.0,1.901000022888184,-0.0011354318121448,-1.16042748743439e-07,0.6297448873519897,0.0011407608399167,-1.1510273218154907,552.0393629552873,0.0003561930207069,0.0034725074656307,0.0058854846283793,-1.7151788473129272,0.5900121544599083,370593.71875,0.56
1.0,2.059000015258789,-0.0010540588991716,-3.715136926984997e-07,0.7826060652732849,0.0012072424869984,-1.1575250625610352,648.2592136225048,0.0003613917797338,0.0033549745567142,0.01742341555655,-2.745538711547852,0.1925555035879892,283703.09375,0.56
1.0,2.2160000801086426,-0.0009940258460119,-2.1509478642656177e-07,0.9124727249145508,0.0011761552887037,-1.182747721672058,775.8097367569568,0.0003161960921715,0.0028865288477391,0.0089807948097586,2.6242265701293945,0.3214112903016731,217203.125,0.56
1.0,2.374000072479248,-0.0010306229814887,-1.6756645493387626e-07,0.9727579355239868,0.0010344530455768,-1.215810775756836,940.3596805900236,0.000342273764545,0.0024550491943955,0.0039075012318789,2.167858362197876,0.6282913423970913,166281.25,0.56
1.0,2.532000064849853,-0.001090697129257,-5.802871072546623e-08,0.9790714979171752,0.0008482212433591,-1.2548569440841677,1154.264297885101,0.0003122551133856,0.0019433121196925,0.0018727761926129,2.222419261932373,1.0376638315661224,127296.859375,0.56
1.0,2.690000057220459,-0.0008361474610865,-1.48643891861866e-07,0.9642825126647948,0.0006705253035761,-1.2939140796661377,1438.100109752675,0.0003166992100887,0.0014993887161836,0.0011142608709633,2.303903102874756,1.3456352594409111,97453.1171875,0.56
1.0,2.8470001220703125,-0.0010763176251202,-6.478857983438503e-08,0.9476890563964844,0.0005221996689215,-1.3292607069015503,1814.802101184196,0.0003398421104066,0.0011989426566287,0.0007109561702236,2.369344472885132,1.6863805489607369,74609.375,0.56
1.0,3.003999948501587,-0.000916386663448,-5.4566097418273785e-08,0.934863030910492,0.0004050511342938,-1.3540244102478027,2308.012376116862,0.000319466314977,0.0009785229340195,0.0004895725287497,2.447720766067505,1.998729251656681,57109.375,0.56
1.0,3.1610000133514404,-0.0008416818454861,-1.4029585315711304e-07,0.9266803860664368,0.0003150882257614,-1.3739453554153442,2941.018769670181,0.0003158606996294,0.0008307723328471,0.0003528823435772,2.5298314094543457,2.3542473800912087,43718.74609375,0.56
1.0,3.318000078201294,-0.0010769892251119,3.9987964051135805e-09,0.9207671880722046,0.0002404508995823,-1.372073769569397,3829.3355927197726,0.0003057147550862,0.0007064789533615,0.0002559457207098,2.6112489700317383,2.7602686671303043,33468.75,0.56
1.0,3.4750001430511475,-0.0007275709067471,-7.13312786615461e-08,0.9180855751037598,0.0001871917047537,-1.3733330965042114,4904.520615971311,0.0003104942443314,0.0005942129646427,0.0001931747246999,2.7452714443206787,3.076038884309642,25624.99609375,0.56
1.0,3.633000135421753,-0.0008532945648767,-1.8877960883401101e-07,0.9164045453071594,0.0001452061987947,-1.3648135662078855,6311.056641613454,0.0003136805898975,0.0005015304195694,0.0001468967238906,2.9169437885284424,3.4141702162310272,19625.0,0.56
1.0,3.79800009727478,-0.0010177113581448,-9.041953319410825e-08,0.9156554937362672,0.0001129933152697,-1.3449037075042725,8103.625347664855,0.0003209756105206,0.0004287529445718,0.0001129728625528,3.1178629398345947,3.795185276210173,15022.91015625,0.56
1.0,4.002999782562256,-0.0008765194215811,-3.205240375336871e-07,0.9154985547065736,8.817193156573921e-05,-1.3126245737075806,10383.10648807774,0.0003559414763003,0.0003366850723978,8.798082853900269e-05,-2.996955394744873,3.826800429011165,11516.697265625,0.56
1.0,4.259999752044678,-0.0009881566511467,-3.898482248132496e-08,0.9161208271980286,6.873326492495835e-05,-1.271257758140564,13328.638297602063,0.0003518328012432,0.0002616318233776,6.904635665705428e-05,-3.0626091957092285,3.789219823388807,8801.966796875,0.56
1.0,4.586999893188477,-0.0009868154302239,2.4266036291464843e-08,0.9174481630325316,5.464686910272576e-05,-1.2124392986297607,16788.66837380753,0.0003369073092471,0.0002044467400992,5.458489977172576e-05,-2.8381919860839844,3.7454816433523903,6740.5849609375,0.56
1.0,5.008999824523926,-0.0010032067075371,-9.618150897949819e-08,0.9199220538139344,4.35673791798763e-05,-1.1361881494522097,21114.927524464103,0.0003487303038127,0.000165798337548,4.375965363578871e-05,-2.8715217113494877,3.78884026203631,5159.66845703125,0.56
1.0,5.432000160217285,-0.0008857417269609,-1.3384605779265257e-07,0.9235316514968872,3.580078555387445e-05,-1.0540269613265991,25796.40745891232,0.0003483110340312,0.0001305796904489,3.589284824556671e-05,-2.649786710739136,3.638042028750624,3951.206787109375,0.56
1.0,5.855000019073486,-0.0009152123820967,-9.340545403802025e-08,0.9291077256202698,2.9599019399029203e-05,-0.9420214891433716,31389.81440887677,0.0003546837251633,0.0001037330148392,2.961282734759152e-05,-2.468139171600342,3.5029757078454904,3022.096923828125,0.56
1.0,6.277999877929688,-0.0008195893606171,-8.104978377332372e-08,0.9369360208511353,2.5215300411218777e-05,-0.8376913070678711,37157.44034658712,0.0003571154084056,7.212126365629956e-05,2.5064988221856765e-05,-2.1834280490875244,2.8773707379367344,2312.779296875,0.56
1.0,6.701000213623047,-0.0009312684996984,1.0361659974478243e-08,0.9468480944633484,2.232251426903531e-05,-0.704291820526123,42416.73151383173,0.0003686029813252,6.834405940026045e-05,2.2202621039468795e-05,-1.9002647399902344,3.078197807311474,1772.8358154296875,0.56
1.0,7.124000072479248,-0.0008744644001126,2.1711114683853342e-08,0.9584185481071472,2.0236471755197272e-05,-0.603101372718811,47360.95104429454,0.0003800905833486,4.942487794323824e-05,2.0138018953730352e-05,-2.132868766784668,2.4543068539560995,1357.1678466796875,0.56
1.0,7.546999931335449,-0.0008420168887823,-6.761321458270686e-08,0.96965491771698,1.9245524526922964e-05,-0.490527868270874,50383.39777959856,0.0003586247039493,3.8103247788967565e-05,1.908229023683816e-05,-1.6706973314285278,1.9967858845061293,1039.0057373046875,0.56
1.0,7.970000267028809,-0.0009881141595542,-1.4534569459101476e-07,0.9794718027114868,1.8551643734099343e-05,-0.4058296680450439,52797.03603358567,0.0003553545393515,2.8216101782163605e-05,1.83060510607902e-05,-1.1855539083480835,1.541353822758628,794.2393188476562,0.56
1.0,8.392999649047852,-0.0006952910916879,-6.7408301163141e-08,0.9873074293136596,1.7888347429106943e-05,-0.3295167982578277,55192.76910438171,0.0002640408056322,3.434968675719574e-05,1.7778804249246605e-05,-1.3484904766082764,1.932058324937761,609.4149780273438,0.56
1.0,8.815999984741211,-0.0006572675192728,-1.3604618231966017e-07,0.992589235305786,1.7517395463073626e-05,-0.2536678910255432,56663.06029330373,0.0002387178101344,1.949583565874491e-05,1.727746166579891e-05,-0.7672646045684814,1.1283969853822515,465.7454528808594,0.56
1.0,9.23699951171875,-0.0006982251070439,1.8076869778838045e-08,0.996189296245575,1.7101088815252297e-05,-0.2222334742546081,58252.97482561948,0.0002741029311437,1.842485107772518e-05,1.7734409993863665e-05,-1.7061163187026978,1.0389322838538422,356.4826965332031,0.56
1.0,9.661999702453612,-0.0008442378602921,2.2687912348828834e-07,0.9984760880470276,1.7056221622624435e-05,-0.193365216255188,58540.28577598844,0.0002226184151368,2.0193856471451e-05,1.6891781342565082e-05,-0.3871853649616241,1.1954841269798535,273.33795166015625,0.56
1.0,10.086999893188477,-0.0006363479187712,-2.1927640148078359e-07,0.999871790409088,1.7074842617148533e-05,-0.1687041521072387,58558.18485875244,0.0002301650092704,1.067996163328644e-05,1.657037682889495e-05,-0.76495760679245,0.6445213493674463,209.26370239257807,0.56
1.0,10.510000228881836,-0.0006850610370747,-2.0459096106151264e-07,1.0007951259613037,1.6579326256760396e-05,-0.143211081624031,60364.04076150072,0.0002445035206619,2.0022715034428984e-05,1.629606049391441e-05,0.0562241971492767,1.228684383069531,160.2567596435547,0.56
1.0,10.940999984741213,-0.0006518170703202,-2.0485187235408373e-07,1.0014997720718384,1.6578878785367124e-05,-0.1479198932647705,60408.172653737216,0.0002455097273923,2.5161136363749392e-05,1.6454521755804308e-05,-0.985784947872162,1.529132036601054,122.6834945678711,0.56
