Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0541499815881252,-3.284488911958761e-07,0.007263614796102,0.0001857146562542,0.8955099582672119,39.11169394275946,0.0003635794855654,0.0006057517603039,0.000140799282235,1.3563477993011477,4.302236138480783,6999983.5,0.43
1.0,0.3230000138282776,-0.0328468605875968,-3.596868225486105e-08,0.004719135351479,0.0002660668978933,-0.2477657198905944,17.73664965031133,0.0003816913231275,0.0011827994603663,0.0002047250018222,1.447080373764038,5.777503723719391,5358937.0,0.43
1.0,0.481000006198883,-0.0053939865902066,-1.482147240494669e-07,0.0150720728561282,0.0003264160477556,-1.3397209644317627,46.17442359148933,0.0003876447444781,0.0016875353176146,0.0002567970368545,1.813177704811096,6.57147503836072,4102609.0,0.43
1.0,0.6380000114440918,0.0286829285323619,-1.6062324448284929e-07,0.0529433153569698,0.0007080084760673,-1.211558818817139,74.77779877868964,0.0004531323502305,0.0021871307399123,0.0004410190449561,2.2927520275115967,4.9592659657807845,3140812.25,0.43
1.0,0.7950000166893005,-0.0084685254842042,-1.8378820243469818e-07,0.0648972019553184,0.0005965204909443,-1.1956300735473633,108.79291313627132,0.0003934304404538,0.0011779965134337,0.0002541117137297,2.791594982147217,4.635742666653839,2404484.0,0.43
1.0,0.9520000219345092,-0.0052860351279377,-6.124930251871774e-08,0.0994089096784591,0.0007632642518728,-1.3385745286941528,130.2417995268738,0.0004112907045055,0.0002986098406836,9.199929627357052e-05,2.9450080394744877,3.2457839655173912,1840781.125,0.43
1.0,1.1089999675750732,-0.0034764395095407,1.1385993303747457e-07,0.1442457735538482,0.0007732990197837,-1.4006317853927612,186.5329838310008,0.0003940174065064,0.0006074744742363,0.0002080492704408,-3.111971378326416,2.9198587091856867,1409249.875,0.43
1.0,1.2669999599456787,-0.0025015482679009,7.489762765544583e-08,0.2127336114645004,0.0007680991548113,-1.39416766166687,276.96113207773084,0.0004055888566654,0.001036002417095,0.00039222225314,-2.910187005996704,2.641365727724404,1078859.25,0.43
1.0,1.4240000247955322,-0.0019161094678565,8.63232969550154e-08,0.2635641694068908,0.0006723048281855,-1.1945736408233645,392.030755034433,0.0003822782600764,0.0004845223738811,0.0001572195324115,-2.997424840927124,3.0818204738892216,825937.4375,0.43
1.0,1.5820000171661377,-0.0016123838722705,-2.670792866865668e-07,0.3427092730998993,0.0010777374263852,-1.2037060260772705,317.98958142276035,0.0004039956547785,0.0033528066705912,0.001574189052917,-2.0033962726593018,2.129862778792859,632312.4375,0.43
1.0,1.7390000820159912,-0.0014835561159998,-2.494817863407661e-07,0.5006493330001831,0.0011453450424596,-1.3069747686386108,437.1166019324814,0.0003997192543465,0.0035011060535907,0.0026279545854777,-1.8693498373031616,1.3322551587984703,484078.09375,0.43
1.0,1.897000074386597,-0.0012087518116459,-2.904413065607514e-07,0.6774057745933533,0.0012043716851621,-1.2723926305770874,562.455745961954,0.0003797627286985,0.0036810920573771,0.0054766852408647,-1.6430487632751465,0.6721386925635817,370593.71875,0.43
1.0,2.053999900817871,-0.0011122456053271,-1.5061280578265726e-07,0.8591864705085754,0.001247948850505,-1.2866157293319702,688.4789149498046,0.0003759894170798,0.0035164086148142,0.0186856146901845,-1.867059350013733,0.1881880084288275,283703.09375,0.43
1.0,2.211999893188477,-0.0010924575617536,-8.302098564172412e-08,0.9826457500457764,0.0011530630290508,-1.3109668493270874,852.2047149969469,0.0003590515407267,0.0028906199149787,0.0203372593969106,2.473233938217163,0.1421341911692311,217203.125,0.43
1.0,2.447000026702881,-0.0011899243108928,-2.2027589352546786e-07,1.0014991760253906,0.0009419542620889,-1.3389694690704346,1063.214230597941,0.0003375856904312,0.0023026533890515,0.0045156660489737,1.8372882604599,0.5099255268389129,166281.25,0.43
1.0,2.6050000190734863,-0.0010402648476883,-4.6812559162390244e-08,0.9846625924110411,0.0007361331954598,-1.3684539794921875,1337.6147122341752,0.0003531819675117,0.001774123404175,0.0018415517406538,1.9512872695922847,0.9633850437159964,127296.859375,0.43
1.0,2.763000011444092,-0.0011173171224072,1.208152298204368e-07,0.959253430366516,0.0005653607076965,-1.397044062614441,1696.7104669775204,0.0003616509202402,0.0013583422405645,0.0010194649221375,2.058067798614502,1.332407041251039,97453.1171875,0.43
1.0,2.9200000762939453,-0.0012460171710699,8.606505730313074e-08,0.938749372959137,0.000433430657722,-1.422965168952942,2165.8582664476044,0.0003450484073255,0.001071918522939,0.0006269266013987,2.1570863723754883,1.709799074640521,74609.375,0.43
1.0,3.078000068664551,-0.0009976309956982,1.5001683451032477e-08,0.9253361225128174,0.0003328298043925,-1.4443645477294922,2780.2081132779144,0.0003458030696492,0.0008960737031884,0.0004189719038549,2.247206449508667,2.1387441375988008,57109.375,0.43
1.0,3.236000061035156,-0.0011437699431553,3.737942577686226e-08,0.9170203804969788,0.0002565953764133,-1.4642877578735352,3573.7993151516184,0.0003393465594854,0.0007443860522471,0.0002966692263726,2.3623931407928467,2.5091448187895065,43718.74609375,0.43
1.0,3.3940000534057617,-0.0009265734115615,5.134234370984814e-09,0.9116382598876952,0.0001957202912308,-1.4730565547943115,4657.862780372282,0.0003418620908632,0.0006239575450308,0.0002136496041202,2.464788913726806,2.920471337169216,33468.75,0.43
1.0,3.5510001182556152,-0.0009357549715787,2.8595914969287154e-08,0.9086130261421204,0.0001516596094006,-1.4841914176940918,5991.133893413039,0.0003404366143513,0.0005448400042951,0.0001604825083632,2.5694572925567627,3.3950117670271887,25624.99609375,0.43
1.0,3.7090001106262207,-0.0010497818002477,-6.285612386136563e-08,0.9068753719329834,0.0001171686308225,-1.4929442405700684,7739.916098416658,0.0003461384912952,0.0004747960774693,0.000121198434499,2.7372732162475586,3.917509986260749,19625.0,0.43
1.0,3.874000072479248,-0.0008220627787522,-2.2924280074221318e-07,0.9062896966934204,9.033508831635118e-05,-1.50234854221344,10032.532359072004,0.0003352378553245,0.0003844982129521,9.225651592714712e-05,2.9173028469085693,4.167707929224168,15022.91015625,0.43
1.0,4.078999996185303,-0.0009019657154567,-1.3620534922154093e-08,0.9061689376831056,6.988866516621783e-05,-1.5079121589660645,12965.892759976785,0.0003686105483211,0.0003120780165772,7.082949741743505e-05,-0.0046064853668212,4.406045898335979,11516.697265625,0.43
1.0,4.335999965667725,-0.0011506031733006,3.047187746574309e-08,0.9066411852836608,5.411807069322094e-05,-1.5101171731948853,16753.021193662593,0.000356368283974,0.0002393309550825,5.531832357519306e-05,2.981987237930298,4.3264318152597845,8801.966796875,0.43
1.0,4.663000106811523,-0.0009094698471017,-3.9116887506907005e-08,0.908108115196228,4.187572994851507e-05,-1.5137399435043335,21685.785926901317,0.0003658434725366,0.0001975778723135,4.268772681825794e-05,-0.0328459739685058,4.62844679349506,6740.5849609375,0.43
1.0,5.085000038146973,-0.0009742804686538,-6.699747245875187e-08,0.910419464111328,3.250961162848398e-05,-1.5168437957763672,28004.624432782977,0.0003577099123504,0.0001575088972458,3.3134005207102746e-05,0.0271425247192382,4.753693260484468,5159.66845703125,0.43
1.0,5.507999897003174,-0.0011275046272203,2.5252248292417793e-08,0.9139583110809326,2.4917135306168348e-05,-1.5165289640426636,36679.91122778381,0.0003757378726731,0.0001275358517887,2.547900839999784e-05,-0.0032564401626586,5.005526501915118,3951.206787109375,0.43
1.0,5.931000232696533,-0.0010572852334007,-2.981861157991261e-08,0.9193893671035768,1.9255528968642462e-05,-1.5186033248901367,47746.77281526764,0.0003659273206721,8.41181754367426e-05,1.967936441360507e-05,-3.0601449012756348,4.274435579768451,3022.096923828125,0.43
1.0,6.354000091552734,-0.0009844257729128,-5.1138865586608524e-08,0.9271145462989808,1.506620174041018e-05,-1.5216716527938845,61536.05017861256,0.0003624894015956,6.426867912523448e-05,1.5393441572086886e-05,-3.041289567947388,4.17506889698881,2312.779296875,0.43
1.0,6.776999950408936,-0.0010162860853597,-7.43599883890056e-08,0.9367802143096924,1.1698643902491312e-05,-1.5208793878555298,80075.96625025898,0.0003593869332689,5.422725007520057e-05,1.195305048895534e-05,-3.031332015991211,4.536687109730418,1772.8358154296875,0.43
1.0,7.200000286102295,-0.0009287116699852,-9.182241456073825e-08,0.9476974606513976,9.178927939501593e-06,-1.5312798023223877,103247.07491960732,0.0003517564909998,4.6235742047429085e-05,9.362842320115304e-06,-2.787707090377808,4.938216458916044,1357.1678466796875,0.43
1.0,7.623000144958496,-0.0009949057130143,3.2314574127667584e-08,0.9587656855583192,7.040915534162195e-06,-1.524898886680603,136170.5989663464,0.0003554459253791,4.561901732813567e-05,7.166453542595264e-06,-2.3135461807250977,6.365633581099749,1039.0057373046875,0.43
1.0,8.045999526977539,-0.0010784553596749,-3.4180168029251945e-08,0.9681587815284728,5.244486146693816e-06,-1.4992084503173828,184605.07940111752,0.0003686943964567,3.572104833438061e-05,5.35223625774961e-06,-2.5014970302581787,6.674041767618048,794.2393188476562,0.43
1.0,8.468999862670898,-0.0007446748204529,-1.0531535110658297e-07,0.975747287273407,4.353059011918958e-06,-1.5149270296096802,224152.09272416192,0.0002182657335652,3.2440118957310915e-05,4.435621121956501e-06,-2.378164052963257,7.313545964674718,609.4149780273438,0.43
1.0,8.892000198364258,-0.0005787482368759,-1.842032872900745e-07,0.980811893939972,3.354231694174814e-06,-1.5323054790496826,292410.2993968235,0.0001370979734929,3.0070119464653544e-05,3.4183628940809285e-06,-2.407952308654785,8.79664342154003,465.7454528808594,0.43
1.0,9.312999725341797,-0.0008498145616613,9.828733738004305e-08,0.9842585325241088,2.6290003916074056e-06,-1.4805517196655271,374385.0840289606,0.0002273216377943,3.5425204259809107e-05,2.676924168554251e-06,-2.111318826675415,13.233547918894354,356.4826965332031,0.43
