Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0559882074594497,-4.632459820186341e-07,0.0090095913037657,0.0001786686043487,0.972808837890625,50.42627011390198,0.0003310904430691,0.0005595599068328,0.0001254451344721,1.5210447311401367,4.460594738788501,6999983.5,0.08
1.0,0.3240000009536743,-0.0346137769520282,-2.980150384246372e-07,0.0058231148868799,0.0002866456343326,0.4265341758728027,20.314681925773897,0.0003630376595538,0.0012042500311508,0.0002221524337073,1.5177310705184937,5.420827541944134,5358937.0,0.08
1.0,0.4819999933242798,-0.0073601584881544,8.27538393366467e-09,0.0089134899899363,0.0003711028257384,-1.6465861797332764,24.018922443391872,0.0003788016329053,0.0016629594611003,0.0002806620905175,1.8101682662963867,5.925130316081048,4102609.0,0.08
1.0,0.6389999985694885,0.0270565319806337,4.96115548642706e-09,0.0481347925961017,0.0007252509240061,-1.3088603019714355,66.36984663213832,0.0004156122449785,0.0021748880390077,0.0004469335544854,2.292923927307129,4.866244696063952,3140812.25,0.08
1.0,0.7960000038146973,-0.0107135605067014,-3.920687561276282e-07,0.067913994193077,0.0005680363392457,-1.563525676727295,119.55924207816749,0.0003749445022549,0.0012172851711511,0.0002567780320532,2.735374689102173,4.740612588302207,2404484.0,0.08
1.0,0.953000009059906,-0.006613612640649,-3.928096248273505e-07,0.1070751696825027,0.0007476540631614,-1.3379838466644287,143.21485692157458,0.000392888643546,0.0003282462421339,9.951758693205191e-05,2.945760726928711,3.298374209555731,1840781.125,0.08
1.0,1.1109999418258667,-0.0047346367500722,-3.079564123709133e-07,0.1488880217075348,0.0007635549991391,-1.3787965774536133,194.993185658391,0.0003753637720365,0.0005796948680654,0.0001952054590219,-3.1180708408355717,2.969665248963112,1409249.875,0.08
1.0,1.2690000534057615,-0.0039770258590579,-3.67251089983256e-07,0.2181603759527206,0.0007572444737888,-1.3702788352966309,288.0976798168642,0.0003662240051198,0.0010193710913881,0.0003830218047369,-2.908390760421753,2.661391802715529,1078859.25,0.08
1.0,1.4270000457763672,-0.0033712976146489,-1.297843823522271e-07,0.2494623214006424,0.0006884671747684,-1.1839226484298706,362.34453949753527,0.0003538140736054,0.0004638538521248,0.0001486075052525,-3.0042073726654053,3.1213353009088123,825937.4375,0.08
1.0,1.5850000381469729,-0.0029168624896556,-2.9468105822161306e-07,0.3536258339881897,0.0010331198573112,-1.11585795879364,342.2892624564592,0.0003806463791988,0.0032773436978459,0.001561164506711,-1.9749464988708496,2.0992942664001357,632312.4375,0.08
1.0,1.743000030517578,-0.0030348286963999,-2.604035387321346e-07,0.4844744503498077,0.0010961475782096,-1.2123737335205078,441.9792188394105,0.0003655531909316,0.0033665718510746,0.0026379832997918,-1.8673875331878664,1.2761914949728386,484078.09375,0.08
1.0,1.901000022888184,-0.002704604063183,-4.597723659571784e-07,0.629974901676178,0.0011345074744895,-1.1468149423599243,555.2849283427113,0.0003599351621232,0.0034789387136697,0.0060732346028089,-1.688733458518982,0.5728312738093011,370593.71875,0.08
1.0,2.059000015258789,-0.0027048529591411,-1.3399329645835678e-07,0.7822056412696838,0.0012002130970358,-1.1536216735839844,651.7223009826037,0.0003501245810184,0.0033651685807853,0.0203814413398504,-2.700147151947021,0.1651094505375197,283703.09375,0.08
