Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0533993318676948,-1.839234897715869e-07,0.008958957158029,0.0001900989736896,0.9892075061798096,47.12785652729261,0.0003669473226182,0.0005461679538711,0.0001295341062359,1.552247405052185,4.216402689159914,6999983.5,0.58
1.0,0.3240000009536743,-0.0317311957478523,-2.67488587724074e-07,0.005472588352859,0.0002926047891378,0.4838961064815521,18.70300335474343,0.0004007392853964,0.0011966133024543,0.0002256482839584,1.5241907835006714,5.303002005877303,5358937.0,0.58
1.0,0.4819999933242798,-0.0047527938149869,-1.1953308387546713e-07,0.0093907574191689,0.0003654518222901,-1.7314443588256836,25.696293865274427,0.0004086212720721,0.0016568957362324,0.0002780342183541,1.822282075881958,5.959323086347242,4102609.0,0.58
1.0,0.6399999856948853,0.0298247076570987,-3.55783726035952e-07,0.0481918156147003,0.0007276888936758,-1.3069967031478882,66.22585013118321,0.0004555778286885,0.0021811493206769,0.0004457834875211,2.3036110401153564,4.89284457978858,3140812.25,0.58
1.0,0.7980000376701355,-0.0076551171950995,-1.53112708289882e-07,0.0684766769409179,0.0005648907972499,-1.5616203546524048,121.22108781782116,0.0004222051356919,0.0012556903529912,0.0002605014014989,2.739514112472534,4.820282523495211,2404484.0,0.58
1.0,0.9550000429153442,-0.0041455118916928,-4.99782458973641e-07,0.1070003882050514,0.0007489713025279,-1.3237379789352417,142.86313486765488,0.0004241337301209,0.000366377265891,0.0001094562248908,2.9498140811920166,3.3472492428482137,1840781.125,0.58
1.0,1.1119999885559082,-0.0023832044098526,-3.165851865105651e-07,0.1484953761100769,0.0007642789278179,-1.3647511005401611,194.2947407094417,0.0004180125833954,0.000592712603975,0.0001961779780685,-3.110720634460449,3.0213004018619047,1409249.875,0.58
1.0,1.2699999809265137,-0.0015625852392986,-7.378365296517586e-08,0.2175230830907821,0.0007567495922558,-1.3560528755187988,287.44393828130893,0.0004048479895573,0.0009968146914616,0.0003648333367891,-2.9082071781158447,2.732246730067014,1078859.25,0.58
1.0,1.4279999732971191,-0.0007569325971417,-2.2591086690226805e-07,0.2500548660755157,0.000692045839969,-1.177018404006958,361.3270272482124,0.0003684566472657,0.0004837704182136,0.0001570348103996,-3.0064613819122314,3.0806571930296025,825937.4375,0.58
1.0,1.5859999656677246,-0.0004407551896292,-3.1829310387365695e-07,0.3509754836559295,0.001028387225233,-1.0877374410629272,341.2872846377524,0.0004042610235046,0.0032109168823808,0.0015146229416131,-1.9973336458206177,2.1199447031754017,632312.4375,0.58
1.0,1.7440000772476196,-0.0003060173476114,-2.999684340920794e-07,0.4777565002441406,0.0010847122175619,-1.1825027465820312,440.4453941875848,0.0004119753139093,0.0032757192384451,0.0025730887427926,-1.907800912857056,1.273068893414839,484078.09375,0.58
1.0,1.902000069618225,-0.0002498777175787,-1.0806672889884795e-07,0.6172183156013489,0.0011165492469444,-1.107532620429993,552.7909470096449,0.0003955404972657,0.0033584558404982,0.0059730564244091,-1.813049077987671,0.5622675564847731,370593.71875,0.58
1.0,2.059999942779541,-0.0002822383539751,1.192350538303799e-07,0.7605760097503662,0.0011738061439245,-1.1044903993606567,647.9570870257995,0.0003868200001306,0.0032486037816852,0.0151353580877184,-2.889472484588623,0.2146367309486583,283703.09375,0.58
1.0,2.2179999351501465,-6.8184599513188e-05,-2.874630808946677e-07,0.8824179172515869,0.0011410778388381,-1.116041898727417,773.319652014368,0.0003812020004261,0.0028147215489298,0.0072782188653945,2.574181079864502,0.3867321938218752,217203.125,0.58
1.0,2.375999927520752,-5.0325448682997376e-05,-1.4401483383608138e-07,0.9425700306892396,0.0010093903401866,-1.1316561698913574,933.801318640458,0.0003638448542915,0.0024249667767435,0.0034102452918887,2.198747396469116,0.7110828017302238,166281.25,0.58
1.0,2.532999992370605,3.632664083852433e-05,-3.236909549286793e-07,0.9534292221069336,0.0008365087560378,-1.1489182710647583,1139.7719572272456,0.0003601553908083,0.0019438624149188,0.0016841145697981,2.2914364337921143,1.154234070400487,127296.859375,0.58
1.0,2.690000057220459,9.208272240357472e-05,-7.747149766146323e-08,0.9438775181770324,0.0006693811155855,-1.1592676639556885,1410.074912781699,0.0003545373911038,0.0015377816744148,0.0010328409262001,2.3758254051208496,1.488885302088495,97453.1171875,0.58
1.0,2.8480000495910645,-4.709748100140132e-05,1.6619183895727477e-07,0.9305489659309388,0.0005290718981996,-1.1567314863204956,1758.8327202739547,0.0003569690743461,0.0012444931780919,0.0006744288839399,2.4794516563415527,1.8452548633766592,74609.375,0.58
1.0,3.00600004196167,-8.739393706491683e-06,-8.31725515126891e-08,0.9199510216712952,0.0004183573182672,-1.1377196311950684,2198.960031299549,0.0003460684383753,0.0010350600350648,0.0004741033772006,2.6044952869415283,2.183194815393036,57109.375,0.58
1.0,3.1630001068115234,8.960920240497217e-05,-1.6461606833217957e-07,0.9132323861122132,0.0003337676171213,-1.1041971445083618,2736.132384527328,0.0003572206187527,0.0008917447994463,0.0003515991556923,2.740380048751831,2.536254097909461,43718.74609375,0.58
1.0,3.321000099182129,6.093434421927668e-05,-1.847097621521243e-07,0.908483862876892,0.0002650928508955,-1.0335780382156372,3427.040223105376,0.0003401150170248,0.0007514476310461,0.0002653238188941,2.9073877334594727,2.8321906196672675,33468.75,0.58
1.0,3.4790000915527344,-8.57074701343663e-05,5.155779447818532e-08,0.9059581160545348,0.0002182254684157,-0.9618902802467346,4151.477472503291,0.0003548727836459,0.0006451341905631,0.0002119491109624,3.099926233291626,3.043816450248788,25624.99609375,0.58
1.0,3.63700008392334,0.0001812080008676,-5.8845078143576763e-08,0.9047247171401978,0.0001832577981986,-0.8722231388092041,4936.896143211751,0.0003616647154558,0.0005538031691685,0.0001741469604894,-2.9206058979034424,3.180090927869372,19625.0,0.58
