Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0518882200121879,-1.8308485039142402e-07,0.0091350870206952,0.0001891444408101,1.004554271697998,48.29688349054967,0.0003575013543013,0.0005525555461645,0.0001291154476348,1.557854413986206,4.27954637718695,6999983.5,0.56
1.0,0.3240000009536743,-0.0299840234220027,-2.736199462560762e-07,0.0055023087188601,0.0002911485789809,0.5325793027877808,18.898628109809195,0.0003837466938421,0.0012145938817411,0.0002267042727908,1.5153822898864746,5.35761354115242,5358937.0,0.56
1.0,0.4819999933242798,-0.0031466877553611,-2.3187330100427067e-07,0.009490493685007,0.0003637170011643,-1.7776715755462646,26.093071411636235,0.000399929966079,0.0016652537742629,0.0002798688074108,1.808444619178772,5.950122808143201,4102609.0,0.56
1.0,0.6399999856948853,0.0311122499406337,-6.296850330045345e-08,0.0484283566474914,0.0007248269976116,-1.31839120388031,66.8136766525867,0.0004436163289938,0.0021837344393134,0.0004471402207855,2.2945477962493896,4.883779937034375,3140812.25,0.56
1.0,0.796999990940094,-0.006247972138226,-1.952869439492133e-07,0.0687467977404594,0.000563763838727,-1.5744678974151611,121.94254582856712,0.0003974982828367,0.0012321793474256,0.0002576881670393,2.7380306720733643,4.7816683303030985,2404484.0,0.56
1.0,0.9550000429153442,-0.0026430368889123,-1.64476233521782e-07,0.1076820343732833,0.0007473883451893,-1.3395931720733645,144.07775431124247,0.0004052964213769,0.0003547646047081,0.0001064352327375,2.9485912322998047,3.333150081824009,1840781.125,0.56
1.0,1.1119999885559082,-0.0007259544217959,-1.7716612887852534e-07,0.1495051831007003,0.00076345494017,-1.3797519207000732,195.8271212016783,0.0003981690679211,0.0005767307593487,0.0001917472254717,-3.1177239418029785,3.0077658643025464,1409249.875,0.56
1.0,1.2699999809265137,0.0001033005828503,-1.3686776867416486e-07,0.2187032252550125,0.0007562540122307,-1.370270848274231,289.19281315266795,0.0003976659791078,0.0010104496031999,0.0003763891581911,-2.908564567565918,2.6845874308812445,1078859.25,0.56
1.0,1.4270000457763672,0.0007930815918371,-1.7803411367367517e-07,0.2501668035984039,0.0006894429097883,-1.1895325183868408,362.8535445744237,0.0003730976313818,0.0004466126556508,0.0001417943567503,-3.0067312717437744,3.149720947197024,825937.4375,0.56
1.0,1.5839999914169312,0.0012020737631246,-2.570164667758945e-07,0.357185810804367,0.0010324802715331,-1.122611403465271,345.94928411947404,0.0004054640885442,0.0032446030527353,0.0015285061672329,-1.9897726774215696,2.122728139598506,632312.4375,0.56
