Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0515972413122653,3.348879573650265e-08,0.0090961446985602,0.0001830467808758,0.9776870608329772,49.69300555319754,0.0003721641551237,0.0005395874031819,0.0001264978054678,1.52458655834198,4.265587068380119,6999983.5,0.13
1.0,0.3230000138282776,-0.0298984628170728,1.738751542745831e-08,0.0054764510132372,0.000291128468234,0.4686904549598694,18.81111471666078,0.0003877604322042,0.0011926932493224,0.0002254041901323,1.51127028465271,5.291353495345088,5358937.0,0.13
1.0,0.4800000190734863,-0.0029853729065507,-3.635887679820371e-08,0.0098518310114741,0.0003633601882029,-1.7254432439804075,27.113127225627697,0.0004135026829317,0.001653108629398,0.0002800718648359,1.7978523969650269,5.902444468552859,4102609.0,0.13
1.0,0.6370000243186951,0.0313677638769149,-9.949578583245967e-08,0.0483081936836242,0.0007282582228071,-1.290231466293335,66.33388016878392,0.000460794661194,0.0021705708932131,0.0004495872126426,2.2852084636688232,4.827919549701221,3140812.25,0.13
1.0,0.7940000295639038,-0.0060738292522728,-1.932556870087865e-07,0.0689266324043273,0.000556549464818,-1.5339653491973877,123.84637262539864,0.0004076331097166,0.0012206686660647,0.0002550576755311,2.732949495315552,4.785853487932914,2404484.0,0.13
1.0,0.9520000219345092,-0.0025446885265409,2.7665100432727744e-08,0.1067003235220909,0.0007463509100489,-1.296527862548828,142.9626762498293,0.0004210492770653,0.0003201269137207,9.708829020382836e-05,2.940592050552368,3.297276252869048,1840781.125,0.13
1.0,1.1089999675750732,-0.0007511075236834,-1.1290788393125697e-07,0.1477616429328918,0.0007604228449054,-1.334540605545044,194.3151023445026,0.0003911983221769,0.0005768530536442,0.0001964569382835,-3.120004177093506,2.936282417329597,1409249.875,0.13
1.0,1.2660000324249268,0.0001173023701994,-7.656062450678291e-08,0.2157565802335739,0.0007493954035453,-1.3218709230422974,287.9075308079567,0.000390108267311,0.0010126224951818,0.0003859387070406,-2.9125242233276367,2.6237909717494925,1078859.25,0.13
1.0,1.4229999780654907,0.0008889564196579,-1.396061435343654e-07,0.2469832748174667,0.0006727466243319,-1.1376512050628662,367.1267396737015,0.00038314863923,0.0004014305013697,0.0001243818260263,-3.0062010288238525,3.2274047921170443,825937.4375,0.13
1.0,1.5800000429153442,0.0010101560037583,-5.1588351368536685e-08,0.3449932932853699,0.0010061410721391,-1.0254937410354614,342.8875958237983,0.0003962293558288,0.0031930464319884,0.0016204464482143,-1.969977140426636,1.9704732825370743,632312.4375,0.13
