Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0524939484894275,-2.2246359776545435e-07,0.009130728431046,0.0001882640935946,0.9768134355545044,48.49957448979355,0.0001462607906432,0.000553164165467,0.0001287745981244,1.5553057193756104,4.295600013695963,6999983.5,0.52
1.0,0.3230000138282776,-0.0308186020702123,-2.2811228461705472e-08,0.0059470948763191,0.0002930135524366,0.4536480009555816,20.29631335091865,0.0001878508774098,0.001178088132292,0.0002219117595814,1.568453669548035,5.30881344239806,5358937.0,0.52
1.0,0.481000006198883,-0.0037372393999248,-1.630303927413479e-07,0.0088667543604969,0.000385526305763,-1.6488052606582642,22.9990904069374,0.0002001769753405,0.0016417396254837,0.0002825792471412,1.858410358428955,5.809837920132441,4102609.0,0.52
1.0,0.6380000114440918,0.0308178327977657,-2.4668611331435386e-07,0.0466552078723907,0.000744959921576,-1.3013787269592283,62.62780925675054,0.0002505714073777,0.0020848051644861,0.0004395914438646,2.328463077545166,4.742597231096658,3140812.25,0.52
1.0,0.7950000166893005,-0.0068331160582602,-1.81197805204647e-07,0.0630089491605758,0.0005647807265631,-1.663076877593994,111.56356121427716,0.0001936365879373,0.0011840010993182,0.0002534039376769,2.705719232559204,4.672386349527897,2404484.0,0.52
1.0,0.953000009059906,-0.0032277612481266,-3.608482472827746e-07,0.1087668538093566,0.0007485963869839,-1.3482377529144287,145.2943878711009,0.0002038664242718,0.0003731833421625,0.0001124441841966,2.9677836894989014,3.318831870485009,1840781.125,0.52
1.0,1.1109999418258667,-0.0016568264691159,-6.650299866350906e-08,0.1493526995182037,0.0007661348208785,-1.374523639678955,194.9431032868929,0.000187096215086,0.0006257915520109,0.0002096695970976,-3.0985262393951416,2.9846556709860264,1409249.875,0.52
1.0,1.2680000066757202,-0.0002103159495163,-2.613030574138975e-07,0.2172984033823013,0.0007609822205267,-1.3798058032989502,285.5499084221416,0.0001832390698837,0.0010468935361132,0.0003943157207686,-2.89760422706604,2.654962713818454,1078859.25,0.52
1.0,1.4259999990463257,0.0002753482549451,-2.3662678927394157e-07,0.2518862187862396,0.0006940595339983,-1.236089110374451,362.9173096076671,0.0001696552062639,0.0005075994413346,0.0001645722222747,-2.991266250610352,3.084356729942224,825937.4375,0.52
1.0,1.5830000638961792,0.0005777335027232,-3.635240943822282e-07,0.3611679971218109,0.0010259323753416,-1.1057337522506714,352.03879495618366,0.0001840775512391,0.0032638530246913,0.0015534213744103,-1.9716832637786863,2.1010738479957864,632312.4375,0.52
1.0,1.741000056266785,0.0006193212466314,-1.2385449110752236e-07,0.4839569628238678,0.0010787912178784,-1.1795419454574585,448.6104028318031,0.0001745185436448,0.0033059979323297,0.0026379274204373,-1.8778048753738403,1.2532558351365406,484078.09375,0.52
1.0,1.89900004863739,0.000518757617101,1.8890406749960678e-07,0.624302089214325,0.0011213112156838,-1.12259042263031,556.7607640788664,0.0001870123378466,0.0034001050516963,0.0059997448697686,-1.7599002122879028,0.5667082726848393,370593.71875,0.52
1.0,2.056999921798706,0.0008668787777423,-1.4508434276194748e-07,0.7703403234481812,0.0011791059514507,-1.1225261688232422,653.3257867966478,0.0001642048591747,0.0032911337912082,0.0173145607113838,-2.889794111251831,0.1900789656791259,283703.09375,0.52
1.0,2.2149999141693115,0.0007031336426734,-1.305631656123296e-07,0.8931437730789185,0.001145641435869,-1.1385492086410522,779.6014923302901,0.0001638694666326,0.0028413620311766,0.0080868396908044,2.54184627532959,0.3513562948957167,217203.125,0.52
1.0,2.372999906539917,0.0009982211049646,-1.8672821511245277e-07,0.9525930881500244,0.0010121815139427,-1.1612986326217651,941.128715579247,0.0001471831201342,0.002427265048027,0.0036289452109485,2.1642863750457764,0.6688624123351161,166281.25,0.52
1.0,2.5309998989105225,0.0008564837626181,2.8760487325030223e-08,0.9622281193733216,0.0008355745812878,-1.186898112297058,1151.5765808604658,0.0001488601556047,0.0019404400372877,0.0017676558345556,2.239954233169556,1.0977476493751863,127296.859375,0.52
1.0,2.688999891281128,0.0008964769076555,3.8018455938981794e-08,0.9509159326553344,0.0006659688660874,-1.2094709873199463,1427.8684501302216,0.0001344377960776,0.0015041719889268,0.0010608909651637,2.3515398502349854,1.417838437991332,97453.1171875,0.52
1.0,2.8470001220703125,0.0011584874009713,5.409306425008253e-08,0.9368064999580384,0.0005233336705714,-1.220932126045227,1790.0749610379671,0.0001403073692927,0.0012209517881274,0.0006912734825164,2.4146218299865723,1.7662355334141462,74609.375,0.52
1.0,3.003999948501587,0.0011509840842336,-6.593404577870389e-08,0.9256581664085388,0.0004100130172446,-1.2196682691574097,2257.631166515473,0.0001431582932127,0.0009867880726233,0.0004792508552782,2.538734436035156,2.0590220377393877,57109.375,0.52
1.0,3.1619999408721924,0.0009622941142879,-1.5096560446181684e-08,0.9184601306915284,0.0003228562127333,-1.2053972482681274,2844.796211030937,0.0001479378115618,0.0008392359595745,0.0003486166824586,2.6639811992645264,2.4073316103398974,43718.74609375,0.52
1.0,3.319999933242798,0.0012064462061971,-6.176725975137742e-08,0.9133501648902892,0.0002511681232135,-1.1591061353683472,3636.409561868031,0.0001309160579694,0.0007244535954669,0.0002569792850408,2.805328369140625,2.8191128142943263,33468.75,0.52
1.0,3.476999998092652,0.0008748033433221,1.1470558725079629e-08,0.910554826259613,0.0002010893076658,-1.1074533462524414,4528.111597921433,0.0001308322098338,0.0006239081849344,0.0002000016829697,2.9671835899353027,3.119514674428011,25624.99609375,0.52
1.0,3.634000062942505,0.0009755830396898,1.195606387227599e-07,0.9091647267341614,0.0001625746517674,-1.0365118980407717,5592.290783647935,0.0001399719621986,0.0005209731752984,0.0001580979296704,-3.0739612579345703,3.2952561515782683,19625.0,0.52
1.0,3.799999952316284,0.0008320430060848,8.828698128127145e-08,0.908491313457489,0.0001338579604635,-0.9473066926002502,6786.980096751165,0.0001381272450089,0.0004506341356318,0.0001287587801925,-2.8047537803649902,3.499832282954478,15022.91015625,0.52
1.0,4.005000114440918,0.0010419453028589,-2.5844437701039172e-08,0.9086065888404846,0.0001132152319769,-0.8448853492736816,8025.480078736863,0.0001722546003293,0.0003608021943364,0.0001084694667952,-2.56044864654541,3.3263019077766,11516.697265625,0.52
1.0,4.26200008392334,0.0009475373080931,-8.14029554874196e-09,0.9092078804969788,9.829034388531e-05,-0.7332865595817566,9250.225856955867,0.0001758601865731,0.0002692566777113,9.41667749430053e-05,-2.516276836395264,2.859359661349248,8801.966796875,0.52
1.0,4.5889997482299805,0.0008309526601806,-1.5698958577559097e-07,0.9109554886817932,8.820035873213783e-05,-0.6236502528190613,10328.251514807793,0.0001766986970324,0.0002153513341909,8.410162263317034e-05,-2.2673709392547607,2.5606085524679423,6740.5849609375,0.52
1.0,5.011000156402588,0.001086508273147,-1.4921845092885633e-07,0.9135022163391112,8.139384590322152e-05,-0.5231661200523376,11223.234462041257,0.000184245276614,0.000155661458848,7.733853999525309e-05,-2.156815528869629,2.012728179994069,5159.66845703125,0.52
1.0,5.434000015258789,0.0009662350057624,-1.8856013639378946e-07,0.9173235297203064,7.716887921560556e-05,-0.4328283369541168,11887.221105769277,0.0001774533448042,0.0001278844865737,7.38612943678163e-05,-2.0878241062164307,1.7314141008266923,3951.206787109375,0.52
1.0,5.85699987411499,0.0010015747975558,-1.66904769116627e-07,0.9233129024505616,7.438378816004843e-05,-0.3572347164154053,12412.824424374685,0.0001783757179509,8.772398723522201e-05,7.049522537272424e-05,-1.8816291093826292,1.2443961526671543,3022.096923828125,0.52
1.0,6.28000020980835,0.0010677274549379,5.8545817083199844e-09,0.9315425753593444,7.304894825210795e-05,-0.2974827885627746,12752.306469141577,0.0001886055397335,7.802727486705408e-05,6.939278682693839e-05,-1.7101675271987915,1.1244291868785958,2312.779296875,0.52
1.0,6.703000068664551,0.0009692532476037,-2.9237789078706555e-08,0.9423187375068665,7.222512795124203e-05,-0.253138780593872,13046.96529084739,0.0001839937322074,5.011657776776701e-05,6.819637928856537e-05,-1.650293231010437,0.7348861961674579,1772.8358154296875,0.52
1.0,7.125999927520752,0.0008558128029108,7.918881550494916e-08,0.9545769095420836,7.202409324236214e-05,-0.2197116613388061,13253.577609507953,0.0001695713581284,4.8562331357970834e-05,6.805641169194132e-05,-1.3712166547775269,0.7135599740078742,1357.1678466796875,0.52
1.0,7.549000263214111,0.0008898114901967,3.578462681730343e-08,0.9667626023292542,7.177855877671391e-05,-0.2036663889884948,13468.68227511538,0.0001922111259773,4.401633850648068e-05,6.860071152914315e-05,-1.3804515600204468,0.6416309324689953,1039.0057373046875,0.52
1.0,7.972000122070312,0.0010055158054456,-7.133748880505665e-08,0.97768235206604,7.170726166805252e-05,-0.1923834085464477,13634.3562607638,0.0001766986970324,4.27988670708146e-05,6.88677973812446e-05,-1.2928524017333984,0.6214641486772801,794.2393188476562,0.52
1.0,8.394999504089355,0.0012594773434102,-8.566885156824355e-08,0.9861330986022948,7.13136323611252e-05,-0.1939667463302612,13828.114849186397,4.563959009828977e-05,2.575730650278274e-05,6.784486322430894e-05,-0.7497464418411255,0.379650061606342,609.4149780273438,0.52
1.0,8.817999839782715,0.0013237856328487,-8.768166281925006e-08,0.9919620156288148,7.066391845000908e-05,-0.2043625116348266,14037.744260256024,6.677004421362653e-05,4.0082384657580405e-05,6.86797357047908e-05,-0.7541019916534424,0.583612971806827,465.7454528808594,0.52
1.0,9.23900032043457,0.0010166252031922,4.271718623272136e-08,0.995888650417328,6.95767521392554e-05,-0.2209197133779525,14313.525995351034,5.570171197177842e-05,3.056744026253e-05,6.758920062566176e-05,-1.3509602546691897,0.4522533182752923,356.4826965332031,0.52
1.0,9.663999557495115,0.0010028333636,-3.0989919963531065e-08,0.9983500838279724,6.837184628238901e-05,-0.2450125813484192,14601.77160793044,4.865822484134696e-05,1.695410355750937e-05,6.840801506768912e-05,-1.6250969171524048,0.2478379695819771,273.33795166015625,0.52
1.0,10.08899974822998,0.0012672339798882,-8.179293331522787e-08,0.9998767375946044,6.653273158008233e-05,-0.2750210762023926,15028.343401038626,5.5282456742133945e-05,2.325575223949272e-05,6.245348777156323e-05,-0.2407775521278381,0.3723691513363597,209.26370239257807,0.52
1.0,10.51200008392334,0.0009412502986378,9.083590413183629e-08,1.0010600090026855,6.438945274567232e-05,-0.3060741722583771,15546.956315294476,0.0001714999234536,2.8339927666820582e-05,6.147321255411953e-05,-0.4549087584018707,0.4610126344360285,160.2567596435547,0.52
1.0,10.942999839782717,0.0013852857518941,-8.384334648781079e-08,1.0014238357543943,6.209597631823272e-05,-0.3519740998744964,16127.032621602488,6.333215424092487e-05,1.898297523439396e-05,6.086590656195767e-05,-1.308876633644104,0.3118819106895333,122.6834945678711,0.52
1.0,11.373000144958496,0.0012430024798959,-7.422721637340146e-08,1.0017077922821045,5.900812902837061e-05,-0.3994970619678497,16975.759251754822,7.372967229457572e-05,3.1636478524887934e-05,5.6928565754788e-05,-0.5594732761383057,0.5557223883200876,93.71041870117188,0.52
1.0,11.786999702453612,0.0010496174218133,-7.325832740434636e-08,1.0018318891525269,5.571582369157113e-05,-0.4391493797302246,17981.101647144584,7.423278293572366e-05,2.424033846182283e-05,5.277295713312924e-05,-0.2022225856781005,0.4593325782497318,71.7684555053711,0.52
1.0,12.211000442504885,0.0011421809904277,-1.2680088445904405e-07,1.0019490718841553,5.229160524322651e-05,-0.487658143043518,19160.80157080167,4.7903566155582666e-05,3.303469202364795e-05,5.096468521514908e-05,-0.075126975774765,0.6481878948960623,54.94721221923828,0.52
1.0,12.616000175476074,0.0013596274657174,-1.6986976447697089e-07,1.0018460750579834,4.883464862359688e-05,-0.5338760614395142,20515.06672608456,6.148742977529764e-05,3.489627852104604e-05,4.791650280822069e-05,-0.6221790909767151,0.7282726508800876,42.11589431762695,0.52
1.0,13.013999938964844,0.0013536316109821,-5.082054244098799e-08,1.0023260116577148,4.478592018131167e-05,-0.585290253162384,22380.382218337603,5.729488111683168e-05,3.712076795636676e-05,4.39594077761285e-05,-0.7100037932395935,0.8444328491732921,32.19432830810547,0.52
