Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0525253899395465,-8.052874278519084e-08,0.0091526079922914,0.0001876716560218,1.018936276435852,48.76926109303327,0.000256318191532,0.0005408180295489,0.0001264920138055,1.5843505859375,4.275511261765218,6999983.5,0.27
1.0,0.3230000138282776,-0.0308326464146375,-1.5744060988254205e-07,0.0058052400127053,0.0002933838986791,0.525574803352356,19.787180001495944,0.0002851629105862,0.0011861270759254,0.0002239322493551,1.5595983266830444,5.296812224863659,5358937.0,0.27
1.0,0.481000006198883,-0.0041927611455321,-1.6401816083089218e-07,0.0090194540098309,0.0003829696797765,-1.6623380184173584,23.551352720906824,0.0002894393110182,0.0016391848912462,0.0002817809581756,1.8566659688949585,5.817230879825489,4102609.0,0.27
1.0,0.6380000114440918,0.0309686250984668,-3.2931993132478965e-07,0.0462941825389862,0.0007472077268175,-1.3038419485092163,61.95624172163892,0.0003540045872796,0.0021188303362578,0.0004429535183589,2.3275182247161865,4.783414621261942,3140812.25,0.27
1.0,0.7950000166893005,-0.0069583784788846,-2.329137913648083e-07,0.0629739612340927,0.0005650036036968,-1.6664156913757324,111.4576275656537,0.0002978244156111,0.0012135670986026,0.0002566376642789,2.7120018005371094,4.72871782874195,2404484.0,0.27
1.0,0.9520000219345092,-0.0032350975088775,-2.454515879435349e-07,0.1081624627113342,0.0007499200874008,-1.3623145818710327,144.2319848855077,0.0002910324838012,0.0003697907668538,0.0001111545934691,2.961456060409546,3.326814981844241,1840781.125,0.27
1.0,1.1089999675750732,-0.0014897264773026,-3.867697841997142e-07,0.1489257216453552,0.0007670377963222,-1.3860175609588623,194.15695335929303,0.0002766939869616,0.0006207058904692,0.0002066523593384,-3.100383758544922,3.0036235369207414,1409249.875,0.27
1.0,1.2669999599456787,-0.0005605301121249,-2.638375349306443e-07,0.2172111570835113,0.0007625487633049,-1.3934873342514038,284.84887463734174,0.0002999207063112,0.0010222843848168,0.0003768428578041,-2.9023478031158447,2.712760408340234,1078859.25,0.27
1.0,1.4249999523162842,-3.202188599971123e-05,-6.440797761797512e-08,0.249800369143486,0.0006938929436728,-1.2426748275756836,359.9984283184534,0.0002574082463979,0.0004481341165956,0.0001415093865944,-3.003259897232056,3.166815483979507,825937.4375,0.27
1.0,1.5830000638961792,0.0004084116662852,-4.221909080115438e-07,0.364687442779541,0.0010364407207816,-1.1410605907440186,351.86522052558263,0.0002776163164526,0.0032494789920747,0.001526805688627,-1.994529366493225,2.1282858822701454,632312.4375,0.27
