Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.052285511046648,-2.442495770083042e-07,0.0092270905151963,0.0001847606617957,1.0035834312438965,49.94077432672036,0.000187026176718,0.0005543697625398,0.0001275338290724,1.541471004486084,4.346844806367097,6999983.5,0.32
1.0,0.3240000009536743,-0.0308645907789468,2.4463983550049306e-07,0.0054719001054763,0.0002920912229456,0.4666894674301147,18.73353142999257,0.0002198957663495,0.0011887620203197,0.0002241497422801,1.5323617458343506,5.303428004097523,5358937.0,0.32
1.0,0.4819999933242798,-0.0037965166848152,5.2574073095001956e-08,0.0095116570591926,0.0003641812363639,-1.7738664150238037,26.11792181870432,0.0002165417245123,0.0016468585235998,0.000277809012914,1.823604106903076,5.928024099452671,4102609.0,0.32
1.0,0.6399999856948853,0.030792511999607,-2.0628237962228013e-07,0.0481901504099369,0.0007294253446161,-1.3120601177215576,66.06591170107295,0.0002712125715333,0.0021611358970403,0.0004440693592187,2.308615207672119,4.866662948424729,3140812.25,0.32
1.0,0.796999990940094,-0.0067097819410264,-1.017694870597552e-07,0.0682340115308761,0.0005603791214525,-1.5726053714752195,121.76401460854824,0.000219979614485,0.0012552525149658,0.0002591962984297,2.7499382495880127,4.842864356359935,2404484.0,0.32
1.0,0.9539999961853028,-0.0032987766899168,-2.5972704520427214e-07,0.1075886413455009,0.0007506317924708,-1.332411289215088,143.33078138265023,0.0002249268291052,0.0003684369730763,0.0001104634357034,2.956716775894165,3.3353749204896146,1840781.125,0.32
1.0,1.1109999418258667,-0.0014443253166973,-9.363787256688738e-08,0.1496610641479492,0.0007637564558535,-1.3744648694992063,195.9539104395348,0.0002305448433617,0.0005850942106917,0.0001947748241946,-3.1143815517425537,3.0039519384042705,1409249.875,0.32
1.0,1.2680000066757202,-0.0003425370086915,-1.2602156118646238e-07,0.2191187441349029,0.0007549406727775,-1.364634990692139,290.2463094599431,0.0002015323843806,0.0010012863203883,0.0003683505638036,-2.9071266651153564,2.718297238502266,1078859.25,0.32
1.0,1.4259999990463257,9.441363363293932e-05,-2.0669713762799802e-07,0.245249718427658,0.0006796413799747,-1.1593611240386963,360.8516574384536,0.0001846783416112,0.0003707308205775,0.0001118965737987,-3.0068962574005127,3.3131561404590224,825937.4375,0.32
1.0,1.5839999914169312,0.0003187827824149,-1.5056569679927636e-07,0.3575195968151092,0.001033826265484,-1.1288676261901855,345.82173886605483,0.0002172963577322,0.0032318206503987,0.0015536850551143,-1.997220516204834,2.0801002363770023,632312.4375,0.32
1.0,1.7419999837875366,0.0007312941597774,-2.739332387591276e-07,0.4872535467147827,0.0010940935462713,-1.2130359411239624,445.3490730983151,0.0002085758460452,0.003319556126371,0.0026035336777567,-1.8979337215423584,1.275019468628947,484078.09375,0.32
1.0,1.89900004863739,0.0007061063079163,1.830898241905743e-07,0.631630003452301,0.001125258160755,-1.1396610736846924,561.3200823431335,0.000203796342248,0.0034095817245543,0.0058921123854815,-1.7544652223587036,0.5786688205329633,370593.71875,0.32
1.0,2.055999994277954,0.0008463370613753,-1.1614119443947857e-07,0.7798548936843872,0.0011847201967611,-1.1418641805648804,658.2608246372167,0.000180485760211,0.0032957349903881,0.0170522779226303,-2.788844347000122,0.1932724182271472,283703.09375,0.32
1.0,2.21399998664856,0.0009666120749898,-2.2545957278907738e-07,0.9043864011764526,0.0011486416915431,-1.161181092262268,787.3529298431085,0.0001643025170778,0.0028350164648145,0.0086718080565333,2.580989360809326,0.3269233412839025,217203.125,0.32
1.0,2.371000051498413,0.0010487787658348,-6.568545529717086e-08,0.9622241854667664,0.0010100951185449,-1.187379002571106,952.6074998291392,0.0001715975668048,0.0024189685937017,0.0036561025772243,2.164520263671875,0.6616249250692916,166281.25,0.32
1.0,2.5280001163482666,0.0011199621949344,2.6803219199678097e-08,0.9696393609046936,0.0008301433990709,-1.218034267425537,1168.0383919089902,0.0001663149596424,0.001921031740494,0.0017956332303583,2.2240869998931885,1.069835258122665,127296.859375,0.32
1.0,2.686000108718872,0.0009717267239466,9.83814416599671e-08,0.9562955498695374,0.0006587632815353,-1.2466940879821775,1451.652781315819,0.0001640509872231,0.0014997940743342,0.001062810071744,2.323085308074951,1.411159071792675,97453.1171875,0.32
1.0,2.8429999351501465,0.0009642228833399,8.16555925098328e-08,0.9411637187004088,0.0005150132928974,-1.267443060874939,1827.4551971374776,0.0001714298850856,0.0011893546907231,0.0006891654920764,2.3988702297210693,1.7257896751905633,74609.375,0.32
1.0,3.0,0.0011285549262538,-6.049240397487665e-08,0.9292345643043518,0.0004013437137473,-1.2769814729690552,2315.308630669979,0.0001612839114386,0.0009861579164862,0.0004739875148516,2.499541521072388,2.0805567353287504,57109.375,0.32
1.0,3.157999992370605,0.0012061945162713,-1.475830941899403e-07,0.9219033718109132,0.0003139701730106,-1.2771812677383425,2936.276917552232,0.0001454360753996,0.0008206925122067,0.000344414555002,2.6085283756256104,2.382862455397561,43718.74609375,0.32
1.0,3.315999984741211,0.0010554853361099,-1.9172043153048437e-07,0.916165828704834,0.0002416528441244,-1.245272517204285,3791.2478622967233,0.0001419981854269,0.0007071849540807,0.0002513498766347,2.7261593341827397,2.813548045254481,33468.75,0.32
1.0,3.4739999771118164,0.0010492394212633,-3.8326163576130063e-08,0.9137173891067504,0.0001904501405078,-1.2140202522277832,4797.672433688167,0.0001799826859496,0.0006235480541363,0.0001917753834277,2.896958351135254,3.2514499149537013,25624.99609375,0.32
1.0,3.631999969482422,0.0010181757388636,-1.278349870403872e-09,0.9121249914169312,0.0001509630674263,-1.1622544527053833,6042.040659129758,0.0001588522281963,0.0005391086451709,0.0001497057528467,3.0790085792541504,3.6011217666609867,19625.0,0.32
1.0,3.797000169754028,0.0008069740724749,1.4933831948837908e-07,0.911496639251709,0.000120597462228,-1.0935670137405396,7558.174296638105,0.0001632963394513,0.0004234453372191,0.0001176016667159,-2.9207851886749268,3.6006746251481,15022.91015625,0.32
1.0,4.001999855041504,0.001000148942694,8.461306322260499e-08,0.9113969206809998,9.844384476309642e-05,-1.0091267824172974,9258.038660256132,0.00018098889268,0.0003402530273888,9.581635822542012e-05,-2.7105367183685303,3.551095383820972,11516.697265625,0.32
1.0,4.258999824523926,0.0011012646136805,-1.835652625459261e-07,0.9121319055557252,8.192189125111327e-05,-0.9065841436386108,11134.165625641972,0.0001861876662587,0.0002627856738399,7.990527228685096e-05,-2.673125505447388,3.2887150787322312,8801.966796875,0.32
1.0,4.585999965667725,0.0008259225287474,4.5978637785992766e-08,0.9136326909065248,7.027373794699088e-05,-0.7958866357803345,13001.054413751252,0.0001843429345171,0.0002018837694777,6.824170122854412e-05,-2.472428560256958,2.958363666837686,6740.5849609375,0.32
1.0,5.007999897003174,0.0009342068224214,-1.7983941802413028e-07,0.915924072265625,6.195290188770741e-05,-0.6780379414558411,14784.199680037282,0.0001954951148945,0.0001733969693304,6.0279693570919335e-05,-2.3035218715667725,2.8765403249187846,5159.66845703125,0.32
1.0,5.431000232696533,0.0008084829314611,5.535157754366082e-08,0.9199008941650392,5.630575105897151e-05,-0.5687952041625977,16337.600988602142,0.000206982702366,0.0001427372772013,5.492361378856003e-05,-2.124185562133789,2.598832585031166,3951.206787109375,0.32
1.0,5.854000091552734,0.0009568444220349,-1.7691336173797367e-09,0.925900399684906,5.300380507833325e-05,-0.4697003960609436,17468.564725052034,0.0001892901491373,0.0001141314496635,5.160844375495799e-05,-1.962968349456787,2.2114879147577744,3022.096923828125,0.32
1.0,6.276999950408936,0.0010346928611397,-1.2845953278883826e-07,0.9336704015731812,5.09721867274493e-05,-0.3847659826278686,18317.25224121855,0.0001995199709199,7.892022404121235e-05,4.941830775351264e-05,-1.908651113510132,1.596983539680246,2312.779296875,0.32
1.0,6.700000286102295,0.0008039557142183,8.524408912080618e-08,0.9442228674888612,4.9418707931181416e-05,-0.3119032382965088,19106.58750535828,0.0001988491567317,5.4342730436474085e-05,4.766665369970724e-05,-1.5919770002365112,1.1400575920186284,1772.8358154296875,0.32
1.0,7.123000144958496,0.0009776373626664,-1.597873904302105e-07,0.95608788728714,4.907062975689769e-05,-0.2571331858634949,19483.91312733756,0.0002131038345396,4.233649451634847e-05,4.7089019062696025e-05,-1.5219935178756714,0.8990736133190654,1357.1678466796875,0.32
1.0,7.546000003814697,0.0008770675049163,-1.048099989020557e-07,0.9678754806518556,4.8734367737779394e-05,-0.2087285816669464,19860.22442846936,0.0002074858057312,5.024608981329948e-05,4.74376356578432e-05,-1.3652629852294922,1.0592030803498094,1039.0057373046875,0.32
1.0,7.969000339508057,0.0010132292518392,-6.936360108511509e-08,0.9783304333686828,4.84884440083988e-05,-0.1807521730661392,20176.568940822763,0.0002053895441349,3.9116541302064434e-05,4.720534707303159e-05,-1.2245365381240845,0.8286464082458089,794.2393188476562,0.32
1.0,8.392000198364258,0.0012785937869921,-7.497315124282977e-08,0.9864298105239868,4.8312536819139495e-05,-0.16181480884552,20417.677801038237,6.85447157593444e-05,4.12551271438133e-05,4.731250373879448e-05,-1.061101317405701,0.8719709143184837,609.4149780273438,0.32
1.0,8.8149995803833,0.0013166589196771,-2.113543757786829e-07,0.9921215176582336,4.809267556993291e-05,-0.1528214216232299,20629.36831650304,6.08304217166733e-05,1.8874550733016804e-05,4.62452408100944e-05,-0.7747134566307068,0.4081403924465427,465.7454528808594,0.32
1.0,9.236000061035156,0.0011154351523146,-1.323360123706152e-07,0.9958272576332092,4.784757038578391e-05,-0.1442882865667343,20812.493708752278,7.349192310357466e-05,4.45924379164353e-05,4.695442839874886e-05,-0.7174974679946899,0.949696108272154,356.4826965332031,0.32
1.0,9.66100025177002,0.0012551186373457,-1.30416495380814e-07,0.9984059929847716,4.731988155981526e-05,-0.1432338953018188,21099.08055713801,0.0001084577888832,3.052222746191546e-05,4.638021709979512e-05,-0.473830372095108,0.6580872055049154,273.33795166015625,0.32
1.0,10.086000442504885,0.0012889076024293,-7.227092879702468e-08,0.999721348285675,4.694954623118974e-05,-0.1593780517578125,21293.525252892337,6.636459147557616e-05,1.6627931472612545e-05,4.440241900738329e-05,-0.3477240204811096,0.3744825584806006,209.26370239257807,0.32
1.0,10.508999824523926,0.0012432549847289,6.668214780347625e-08,1.000828504562378,4.644815271603875e-05,-0.1725933402776718,21547.21869523968,7.399502646876499e-05,2.605548252176959e-05,4.42778218712192e-05,-0.4745764434337616,0.5884544772222813,160.2567596435547,0.32
1.0,10.9399995803833,0.0012776306830346,3.8895187515208824e-08,1.0013031959533691,4.53666943940334e-05,-0.1871080100536346,22071.32808170965,8.481180702801794e-05,3.548848326317966e-05,4.453221481526271e-05,-0.1392264366149902,0.7969170949704606,122.6834945678711,0.32
1.0,11.369999885559082,0.0013876748271286,-7.324012329945617e-08,1.001455307006836,4.478366463445127e-05,-0.2237829267978668,22362.0669541285,9.571243572281674e-05,2.378712997597177e-05,4.404530409374274e-05,-1.1264146566390991,0.5400605232590746,93.71041870117188,0.32
1.0,11.784000396728516,0.0010406884830445,-7.795515699626776e-08,1.0018975734710691,4.3475305574247614e-05,-0.2515255808830261,23045.21061410408,0.0001026720710797,2.234516796306707e-05,4.192996857455e-05,-0.7293730974197388,0.532916401388142,71.7684555053711,0.32
1.0,12.208000183105469,0.0012381398119032,1.0909830905347917e-07,1.0017600059509275,4.244291631039232e-05,-0.2898513376712799,23602.525298329765,5.722482819692232e-05,2.90569932985818e-05,4.172452463535592e-05,-0.8202905058860779,0.6964008230775602,54.94721221923828,0.32
1.0,12.61299991607666,0.0012695781188085,-1.484196303636054e-07,1.002119779586792,4.081751467310824e-05,-0.3239089548587799,24551.219926357197,7.231800555018708e-05,2.7052978111896664e-05,3.998307875008322e-05,-0.9441902041435242,0.6766106802578417,42.11589431762695,0.32
1.0,13.01099967956543,0.0011347162071615,-4.71495624765339e-08,1.0020735263824463,3.91051362385042e-05,-0.3720097243785858,25625.112779834068,5.605091428151354e-05,3.32054914906621e-05,3.842098522000015e-05,-0.8055636882781982,0.8642540346252466,32.19432830810547,0.32
1.0,13.44499969482422,0.0011405429104343,-1.110674752169416e-08,1.0021450519561768,3.699494118336588e-05,-0.4163540303707123,27088.70510130108,8.246397919720039e-05,3.8231315556913614e-05,3.664359246613458e-05,-0.4595327377319336,1.043328805499799,24.660675048828125,0.32
1.0,13.897000312805176,0.0010957246413454,9.139304069094578e-08,1.0021018981933594,3.5151384508935735e-05,-0.4583948254585266,28508.177193948588,7.365962665062398e-05,3.179860141244717e-05,3.456413105595857e-05,-0.2925713062286377,0.9199884516398208,18.87075424194336,0.32
1.0,14.34000015258789,0.001358444453217,4.619961302410047e-08,1.002078413963318,3.282261604908854e-05,-0.5080833435058594,30530.12022151552,8.548261394025758e-05,2.546401447034441e-05,3.230715083191171e-05,-0.5267988443374634,0.7881850864172174,14.467611312866213,0.32
1.0,14.734000205993652,0.0013455268926918,4.972164546757085e-08,1.002145290374756,3.022613600478508e-05,-0.5552141666412354,33154.92559869734,6.896397098898888e-05,2.1398702301667072e-05,2.9608183467644267e-05,-0.2934167981147766,0.7227293199210113,11.065899848937988,0.32
1.0,15.239999771118164,0.0012168497778475,-3.7795018670294667e-08,1.0023568868637085,2.77469189313706e-05,-0.6031870245933533,36124.97983444375,8.682423504069448e-05,1.7801243302528746e-05,2.7357171347830445e-05,-0.8772903680801392,0.6506975109449856,8.473396301269531,0.32
1.0,15.586000442504885,0.0012998015154153,1.1217098006000017e-07,1.001864314079285,2.554445745772682e-05,-0.638004720211029,39220.41858736896,6.108197703724727e-05,3.610862768255174e-05,2.5310093406005763e-05,-0.6275691986083984,1.4266493253629646,6.488784790039063,0.32
1.0,16.031999588012695,0.0014099804684519,-4.280920506971597e-08,1.0020323991775513,2.28474527830258e-05,-0.6802594661712646,43857.51044956737,6.762234988855198e-05,2.905285509768873e-05,2.259257780679036e-05,-0.6518375277519226,1.2859468869000283,4.969782829284668,0.32
1.0,16.604999542236328,0.0013266297755762,1.1110176778572622e-08,1.0020709037780762,2.0736788428621367e-05,-0.7107137441635132,48323.341255437415,4.410214023664594e-05,0.0001152106269728,2.0702940673800185e-05,-0.6939657330513,5.564940207679754,3.814697265625,0.32
