Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0495691932737827,-1.040292190168657e-07,0.0089275296777486,0.0001883075165096,1.0302515029907229,47.40931133936108,0.0002077926765196,0.0005519487312994,0.0001280358992516,1.5735232830047607,4.310890418432107,6999983.5,0.24
1.0,0.3240000009536743,-0.0279690567404031,-1.6064843677554563e-08,0.0053532565943896,0.0002939615224022,0.464234322309494,18.21073911525249,0.0002610380761325,0.0011855686316266,0.0002259102475363,1.5216772556304932,5.247963049731797,5358937.0,0.24
1.0,0.481000006198883,-0.0011248438386246,3.900680312085569e-08,0.0094572389498353,0.0003624916716944,-1.773419737815857,26.08953443158592,0.0002502212882973,0.0016309069469571,0.0002757678739726,1.8278743028640747,5.914057078014951,4102609.0,0.24
1.0,0.6380000114440918,0.0339111126959323,-2.833812118296919e-07,0.0487129725515842,0.0007274129311554,-1.3133020401000977,66.96742725512067,0.000325100205373,0.0021457683760672,0.0004418142198119,2.3112850189208984,4.856720947054801,3140812.25,0.24
1.0,0.7950000166893005,-0.0040603280067443,-1.5829377275622394e-07,0.0695533379912376,0.0005571907386183,-1.5722547769546509,124.82859669151014,0.0002633020339999,0.0012510878732427,0.0002583054592832,2.7465968132019043,4.843443405006339,2404484.0,0.24
1.0,0.953000009059906,-0.0004359414160717,-3.267621480063099e-07,0.1086851954460144,0.0007475855527445,-1.3225791454315186,145.3816155850053,0.0002742026699706,0.0003686170384753,0.0001110869125113,2.9652600288391118,3.3182760249780108,1840781.125,0.24
1.0,1.1109999418258667,0.0013437216402962,-1.545416523640597e-07,0.1507196128368377,0.0007611087057739,-1.3634997606277466,198.0263945129564,0.0002576001861598,0.00060359260533,0.0002023548586294,-3.1064186096191406,2.982842168546469,1409249.875,0.24
1.0,1.2680000066757202,0.0024648357648402,-9.105962561761773e-08,0.219974473118782,0.0007518763304688,-1.3475676774978638,292.5673600891591,0.0002632181858643,0.0010004901560023,0.0003717252984642,-2.909663438796997,2.6914771745039925,1078859.25,0.24
1.0,1.4259999990463257,0.0028656499926,-1.5142134657253337e-07,0.2485258877277374,0.0006812591454945,-1.1614316701889038,364.8037451993743,0.0002353796589886,0.0004306151240598,0.0001348255027551,-3.0008552074432373,3.1938699671823563,825937.4375,0.24
1.0,1.5830000638961792,0.0034863052424043,-2.8070363100596296e-07,0.3563978374004364,0.0010223295539617,-1.0902116298675537,348.61345445733787,0.0002619604056235,0.0032304753549396,0.0015533325495198,-1.9803768396377563,2.0797062135460287,632312.4375,0.24
