Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0535180941224098,-1.49893438106119e-07,0.0090988716110587,0.0001854323490988,0.9903821349143982,49.06841581459166,0.0002182256139349,0.0005570988287217,0.0001276112161576,1.55402934551239,4.365594541732502,6999983.5,0.47
1.0,0.3230000138282776,-0.0318750292062759,-9.31264168002599e-08,0.0054647331126034,0.0002912659547291,0.4752641022205353,18.76200436018946,0.0002390206645941,0.001187767018564,0.0002235867868876,1.5344455242156982,5.312330997274478,5358937.0,0.47
1.0,0.481000006198883,-0.0045143850147724,-4.17100608274268e-07,0.0090069668367505,0.0003645856340881,-1.8002384901046753,24.7046674213525,0.0002519336994737,0.0016373220132663,0.0002783572417683,1.818044900894165,5.882088796628958,4102609.0,0.47
1.0,0.6380000114440918,0.0296978950500488,-2.1269336514251338e-07,0.0484075993299484,0.0007280516438186,-1.329224705696106,66.48923842277382,0.0003258902870584,0.0021563195623457,0.000443136668764,2.3101072311401367,4.866037307090607,3140812.25,0.47
1.0,0.7950000166893005,-0.0078086350113153,-3.937274470899865e-07,0.0689272359013557,0.0005565168685279,-1.580969214439392,123.85471096980856,0.0002381821541348,0.0012515407288447,0.0002582329034339,2.745396375656128,4.84655794130724,2404484.0,0.47
1.0,0.953000009059906,-0.0043134083971381,-1.425784432740329e-07,0.1081050187349319,0.0007501238724216,-1.3380473852157593,144.11622227929942,0.0002418716030661,0.0003734241472557,0.0001119954467867,2.96079158782959,3.3342797226993834,1840781.125,0.47
1.0,1.1100000143051147,-0.0021588811650872,-3.152432554998086e-07,0.1499829739332199,0.0007644674042239,-1.382967472076416,196.19276519117216,0.000237092084717,0.000591961259488,0.0001959182118298,-3.1112751960754395,3.021471327035814,1409249.875,0.47
1.0,1.2669999599456787,-0.0014359396882355,-2.685898152776645e-07,0.2203895300626754,0.0007554338662885,-1.371351718902588,291.73901237107765,0.0002310548152308,0.0010125041007995,0.0003753658093046,-2.905107021331787,2.6973796645869568,1078859.25,0.47
1.0,1.4240000247955322,-0.0006744725396856,-2.369249330058665e-07,0.2494973987340927,0.0006835120730102,-1.168171525001526,365.0226654158415,0.0002237597800558,0.000431663065683,0.000135468202643,-3.003072023391724,3.1864530366609576,825937.4375,0.47
1.0,1.5820000171661377,-0.000522167305462,-2.392933993178304e-07,0.3574307560920715,0.001039101742208,-1.1349446773529053,343.9805185318631,0.0002363374078413,0.0032480370718985,0.001541914884001,-1.9974629878997805,2.106495699341364,632312.4375,0.47
1.0,1.7400000095367432,-0.0003302479744888,-3.112806723493122e-07,0.4897838532924652,0.0011045696446672,-1.2322155237197876,443.4159997580147,0.0002452256157994,0.0033406401053071,0.0025721909478306,-1.9001271724700928,1.2987527648849384,484078.09375,0.47
1.0,1.897000074386597,-0.0003008535131812,-5.6760750766216006e-08,0.6407904624938965,0.0011351775610819,-1.1624596118927002,564.4847858718723,0.0002243467024527,0.0034500246401876,0.0058191050775349,-1.7256932258605957,0.5928789039240238,370593.71875,0.47
1.0,2.055000066757202,-0.0001820029428927,-1.1638269370450872e-07,0.7934232950210571,0.0011969131883233,-1.168641209602356,662.8912629264908,0.0002017069346038,0.0033325743861496,0.0181652829051017,-2.623917818069458,0.1834584357182613,283703.09375,0.47
1.0,2.213000059127808,0.0001338366710115,-1.8416004365917613e-07,0.9206562638282776,0.0011612459784373,-1.1949527263641355,792.8176122230045,0.000212691433262,0.0028583414386957,0.0091748451814055,2.6083648204803467,0.311541108561562,217203.125,0.47
1.0,2.369999885559082,-0.0001266226463485,-1.0878978429218479e-07,0.9774942398071288,0.0010167871369048,-1.2301838397979736,961.35582790969,0.0002110144123435,0.002426840364933,0.0039181974716484,2.134371519088745,0.6193767370055495,166281.25,0.47
1.0,2.5269999504089355,5.359891656553373e-05,-1.4826703420567358e-07,0.9818778038024902,0.000831815355923,-1.2716888189315796,1180.4035556820734,0.0001965081901289,0.0019096193136647,0.0018523576436564,2.210422992706299,1.0309128586503795,127296.859375,0.47
1.0,2.684999942779541,0.0001822146878112,-4.7020115800933127e-08,0.9662818908691406,0.0006567225209437,-1.3150761127471924,1471.370114550911,0.0001914771419251,0.0014770908746868,0.0011143243173137,2.2650606632232666,1.3255484527589034,97453.1171875,0.47
1.0,2.8420000076293945,-0.0003514496202114,2.418162239337107e-07,0.9495121836662292,0.0005111675127409,-1.355217695236206,1857.536247902051,0.0001861945202108,0.0011690211249515,0.0007098671630956,2.3333897590637207,1.646816736604095,74609.375,0.47
1.0,2.999000072479248,-0.0002520526468288,4.9275872271437044e-08,0.9364951252937316,0.000396139192162,-1.387992262840271,2364.055725419266,0.0001904709206428,0.0009496210841462,0.0004835053405258,2.428194761276245,1.9640343229991095,57109.375,0.47
1.0,3.1560001373291016,6.50852671242319e-05,3.66934784779005e-08,0.9283013343811036,0.0003076340944971,-1.416710615158081,3017.5502357707173,0.0001901355281006,0.0007976837223395,0.000348243076587,2.50151801109314,2.290594633372616,43718.74609375,0.47
1.0,3.312999963760376,0.0001811245601857,-4.4158237955116426e-08,0.9229440093040466,0.0002340739738428,-1.4280157089233398,3942.958690159629,0.0001910578866954,0.000682987330947,0.0002505575539544,2.588744640350342,2.7258700452962983,33468.75,0.47
1.0,3.470000028610229,3.884190664393827e-05,4.5444352281265317e-08,0.919703245162964,0.0001820029283408,-1.4457327127456665,5053.233228427972,0.0001753777469275,0.0005872205947525,0.0001892935688374,2.695962905883789,3.102168754907979,25624.99609375,0.47
1.0,3.628000020980835,0.0001911020226543,-2.125784988038504e-07,0.9179506897926332,0.0001407788950018,-1.4555320739746094,6520.513531382065,0.0002019585081143,0.0004937403136864,0.0001441413332941,2.820622444152832,3.425390222241247,19625.0,0.47
