Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0503950081765651,-9.270502232539002e-07,0.0091629205271601,0.000186358418432,0.98020339012146,49.16826727900379,0.0001711519580567,0.0005577261908911,0.0001276514085475,1.565821886062622,4.369134639696731,6999983.5,0.5
1.0,0.3240000009536743,-0.0288074910640716,-3.320451185118145e-07,0.0055763199925422,0.0002905562287196,0.5000757575035095,19.19187902842268,0.0001937917259056,0.0011829347349703,0.000223539667786,1.5335686206817627,5.291833644945109,5358937.0,0.5
1.0,0.481000006198883,-0.0018811540212482,4.6629118344299065e-08,0.0101903490722179,0.0003646113327704,-1.7457324266433716,27.948525337345696,0.0002127420448232,0.0016293755033984,0.0002769994025584,1.8308690786361692,5.882234720902595,4102609.0,0.5
1.0,0.6389999985694885,0.0328595899045467,4.554403290057962e-07,0.0457102917134761,0.0007112078019417,-1.344459056854248,64.27135865027802,0.0002593631797935,0.0021363976411521,0.0004346711502876,2.3095004558563232,4.914974549699311,3140812.25,0.5
1.0,0.7960000038146973,-0.0044469716958701,-3.8023452475499653e-07,0.0783928334712982,0.000591012823861,-1.531031608581543,132.64151014381903,0.0002219656598754,0.0011948789469897,0.0002569336211308,2.8073432445526123,4.650535580865439,2404484.0,0.5
1.0,0.953000009059906,-0.0009758933447301,-1.3836681489465266e-07,0.108426496386528,0.0007463490474037,-1.3316943645477295,145.27585553126346,0.00021508987993,0.0003521731996443,0.0001068564233719,2.9640207290649414,3.295760690197317,1840781.125,0.5
1.0,1.1100000143051147,0.0007261306745931,-1.4675150339371612e-07,0.1505450159311294,0.0007618207018822,-1.3764197826385498,197.61213571536632,0.0002032668853644,0.0006202472141012,0.0002085006417473,-3.0998566150665283,2.974797626056014,1409249.875,0.5
1.0,1.2669999599456787,0.0017446203855797,-2.323049841379543e-07,0.2205291539430618,0.0007514609606005,-1.3609204292297363,293.4672132093561,0.0002100588171742,0.0010004729265347,0.0003722922992892,-2.9102141857147217,2.687331777865716,1078859.25,0.5
1.0,1.4249999523162842,0.0025517400354146,-1.5354595461758438e-07,0.2450593560934066,0.0006761322147212,-1.132996678352356,362.4429523660877,0.0001895991736091,0.0003894933906849,0.0001185485816677,-3.0013253688812256,3.2855170867981496,825937.4375,0.5
1.0,1.5830000638961792,0.0023562209680676,-5.033765848594385e-09,0.3581432700157165,0.0010327380150556,-1.1213414669036863,346.7900520699003,0.0002256550797028,0.0032702109310775,0.0015807168092578,-1.9779493808746336,2.068815180508481,632312.4375,0.5
1.0,1.7400000095367432,0.0029730168171226,-2.89997984737056e-07,0.4866380393505096,0.001095455372706,-1.213886260986328,444.2335593721074,0.0002176892303396,0.0033360107336193,0.0026366251986473,-1.8912341594696045,1.2652578513361494,484078.09375,0.5
1.0,1.897000074386597,0.0030855000950396,-4.5636275558536e-07,0.6339167356491089,0.0011215179692953,-1.1392550468444824,565.2310110085713,0.0001833103160606,0.0034209829755127,0.0059203351847827,-1.716928482055664,0.577836029335944,370593.71875,0.5
1.0,2.053999900817871,0.0028723722789436,-8.173953602863548e-08,0.7811939716339111,0.0011786030372604,-1.1402230262756348,662.8134723373076,0.0001849034888437,0.003297418821603,0.0186295267194509,-2.790766954421997,0.1769996023656494,283703.09375,0.5
1.0,2.211999893188477,0.0031406308989971,-6.615661618525337e-08,0.9044604301452636,0.0011424369877204,-1.1599340438842771,791.6939313650773,0.0001680494315223,0.0028382544405758,0.0086827613413333,2.534147024154663,0.3268838482366918,217203.125,0.5
