Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0525675043463707,3.030457378372376e-07,0.009206966497004,0.0001861939235823,0.9944217205047609,49.44826511985128,0.000186396180652,0.0005128009943291,0.0001212393908645,1.6506059169769287,4.229656637769335,6999983.5,0.67
1.0,0.3240000009536743,-0.0309966262429952,2.176729196889937e-07,0.0055236872285604,0.0002952409267891,0.4605070054531097,18.70908375960296,0.0002110483765136,0.0011202313471585,0.0002220170863438,1.5555922985076904,5.045698804566957,5358937.0,0.67
1.0,0.481000006198883,-0.0037802762817591,3.858515729149303e-09,0.0092545980587601,0.0003592990688048,-1.7805171012878418,25.757367224870887,0.0002309210540261,0.0016106797847896,0.0002716580638661,1.840875625610352,5.929070397788753,4102609.0,0.67
1.0,0.6389999985694885,0.0306178834289312,-5.146981152392983e-08,0.0483773201704025,0.0007303921738639,-1.2945717573165894,66.23471869156957,0.0002851726312655,0.0021007917821407,0.0004357438010629,2.3280913829803467,4.821162749799743,3140812.25,0.67
1.0,0.796999990940094,-0.0069174459204077,-3.4231220524816315e-08,0.068608283996582,0.0005557666881941,-1.5504968166351318,123.44799617176332,0.0002204396878369,0.0013020138721913,0.000262390676653,2.790560245513916,4.962119419788313,2404484.0,0.67
1.0,0.9550000429153442,-0.0037627080455422,-6.702664023805482e-08,0.1067525446414947,0.0007508851704187,-1.3296079635620115,142.16893454156084,0.0002218651497969,0.0003913055697921,0.0001183055064757,2.98323917388916,3.307585432402704,1840781.125,0.67
1.0,1.1119999885559082,-0.0015300805680453,-2.979859630158899e-07,0.1487845480442047,0.0007645139703527,-1.3753987550735474,194.61324948131792,0.0002242129849037,0.0006159460172057,0.000205586591619,-3.1016972064971924,2.996041776630096,1409249.875,0.67
1.0,1.2699999809265137,-0.0006226833211258,-2.904877476339607e-07,0.218886598944664,0.0007536198827438,-1.3599387407302856,290.4469533735416,0.000227902419283,0.0009924179175868,0.0003649735590443,-2.9105725288391118,2.7191501767567785,1078859.25,0.67
1.0,1.4270000457763672,-0.00021226881654,1.1114684639323968e-07,0.2486470192670822,0.0006755453068763,-1.1460562944412231,368.0686058153782,0.0002082812861772,0.0003002127632498,8.988078479887918e-05,-3.0366945266723637,3.340121739275443,825937.4375,0.67
1.0,1.5839999914169312,0.000206113763852,-1.821915702748811e-07,0.3517880737781524,0.0010384588968008,-1.118696928024292,338.7597476047314,0.0002301663771504,0.0033200944308191,0.0015111701795831,-1.9658632278442385,2.197035433649853,632312.4375,0.67
1.0,1.741000056266785,0.0005837464123032,-4.028782143450371e-07,0.4818709194660187,0.0011003810213878,-1.214716911315918,437.9127866620695,0.0002146539336536,0.0033592202235013,0.0025278823450207,-1.8696813583374023,1.3288673146193133,484078.09375,0.67
1.0,1.89900004863739,0.0003360376867931,-3.572305340426851e-09,0.6295786499977112,0.0011277681915089,-1.139061689376831,558.2518240342794,0.0001931042206706,0.0034393742680549,0.0057516978122293,-1.6976356506347656,0.5979754813860498,370593.71875,0.67
1.0,2.055999994277954,0.0006276899366639,-1.6793138968296264e-07,0.7775972485542297,0.001187959453091,-1.1403286457061768,654.565479091859,0.0001991415047086,0.0033121139276772,0.0187444612383842,-2.583606004714966,0.1766982729220749,283703.09375,0.67
1.0,2.21399998664856,0.0005642634350806,-3.602036358074656e-08,0.9028545618057252,0.0011542503489181,-1.1599302291870115,782.1999470495772,0.0001702129084151,0.0028465487994253,0.009064226411283,2.587996482849121,0.3140421112917061,217203.125,0.67
1.0,2.371000051498413,0.0007767653441987,-1.1302131497359369e-07,0.9615322351455688,0.0010150434682145,-1.185093879699707,947.2818310302246,0.0001682843430899,0.0024271269794553,0.003762800944969,2.1521530151367188,0.6450319894546828,166281.25,0.67
1.0,2.5290000438690186,0.0007870359113439,-3.182327956707809e-09,0.9691604375839232,0.0008352323202416,-1.2150672674179075,1160.3483415291548,0.0001672781363595,0.0019435911672189,0.0018092787358909,2.2103962898254395,1.0742353450928368,127296.859375,0.67
1.0,2.687000036239624,0.000722350901924,1.014751234151845e-07,0.9564499258995056,0.0006640487117692,-1.2433593273162842,1440.3309711288389,0.0001791011309251,0.0014996292302384,0.0010879623005166,2.310490608215332,1.3783834509029722,97453.1171875,0.67
1.0,2.844000101089477,0.0007788193761371,7.956843717238371e-08,0.940803587436676,0.0005206606001593,-1.2639999389648438,1806.9421560778728,0.0001681166613707,0.0011876110220327,0.0007013424183242,2.39656138420105,1.693339788103067,74609.375,0.67
1.0,3.000999927520752,0.0006883523310534,5.335749264645529e-08,0.9292279481887816,0.0004064314998686,-1.2735607624053955,2286.3088822818386,0.0001614085776964,0.0009747854201123,0.0004830666584894,2.497101306915283,2.0179107851503466,57109.375,0.67
1.0,3.1589999198913574,0.0009335103677585,6.9130319246824e-09,0.9218552708625792,0.0003189062699675,-1.2748744487762451,2890.6777874149807,0.0001421228516846,0.0008274287101812,0.0003510644310154,2.5977468490600586,2.3569141077267517,43718.74609375,0.67
1.0,3.317000150680542,0.0008626205381006,-4.000100162215858e-08,0.9165116548538208,0.0002459553943481,-1.249057650566101,3726.3328063322488,0.000154700508574,0.0007018492324277,0.0002556355611886,2.73378849029541,2.7455070380828026,33468.75,0.67
1.0,3.4739999771118164,0.0008361678337678,9.356375585412025e-08,0.913805603981018,0.0001951257145265,-1.2223273515701294,4683.1633964720695,0.0001656011299928,0.0005955888773314,0.0001966001727851,2.8923678398132324,3.0294422883466128,25624.99609375,0.67
1.0,3.63100004196167,0.0007023960351943,4.611428749967673e-08,0.9123297333717346,0.0001546671701362,-1.1789857149124146,5898.6644196575535,0.0001614085776964,0.0005182849126867,0.0001535249612061,3.059196710586548,3.375899974929278,19625.0,0.67
1.0,3.796000003814697,0.0008179743308573,1.6107051692415553e-08,0.911712884902954,0.0001235630334122,-1.1200919151306152,7378.524626062293,0.0001467346592107,0.0004360366729088,0.0001209089241456,-2.961318016052246,3.606323321375727,15022.91015625,0.67
1.0,4.000999927520752,0.0008514279033988,-1.710224495354851e-07,0.9118480682373048,0.0001005886006169,-1.0468775033950806,9065.12331064366,0.0001940266229212,0.0003453389799688,9.806363232200964e-05,-2.7394189834594727,3.521580547157566,11516.697265625,0.67
1.0,4.257999897003174,0.0005864404374733,8.604757795183104e-08,0.9125840663909912,8.293266000691801e-05,-0.9570990204811096,11003.916506655713,0.0001796042488422,0.0002551286888774,8.096018427750096e-05,-2.7093138694763184,3.1512859210271014,8801.966796875,0.67
1.0,4.585000038146973,0.0006282359245233,-8.525894656941092e-08,0.9139241576194764,7.031727727735415e-05,-0.858013391494751,12997.149392099796,0.0001816166768549,0.000220067158807,6.865974137326702e-05,-2.5176262855529785,3.2051847910506868,6740.5849609375,0.67
1.0,5.006999969482422,0.0008064035791903,1.7892809012209913e-08,0.9165772199630736,6.0972328356001526e-05,-0.7539151906967163,15032.675390242905,0.0002013216580962,0.0001666857569944,5.971781138214283e-05,-2.4961602687835693,2.791223474814998,5159.66845703125,0.67
1.0,5.429999828338623,0.00067543995101,3.542306004078455e-09,0.9201870560646056,5.4773376177763566e-05,-0.6485211253166199,16799.89659717517,0.0002123061422025,0.0001362113689538,5.366124969441444e-05,-2.282878875732422,2.538356257625273,3951.206787109375,0.67
1.0,5.853000164031982,0.0005211686366237,1.7499701243650636e-07,0.9258843660354614,5.017909643356688e-05,-0.5487616062164307,18451.59502346277,0.0002037533413385,0.0001013564833556,4.8930294724414125e-05,-2.060811758041382,2.071446410173729,3022.096923828125,0.67
1.0,6.276000022888184,0.0007880420307628,1.3493842487832808e-08,0.934147834777832,4.751524102175608e-05,-0.464999109506607,19659.962039340357,0.0002021601685555,7.057619950501248e-05,4.620278923539445e-05,-2.05970311164856,1.5275311441791994,2312.779296875,0.67
1.0,6.698999881744385,0.0008169683278538,4.174662393552353e-08,0.944197416305542,4.590005482896231e-05,-0.3875483572483063,20570.72523821401,0.0002068558242172,6.116343138273805e-05,4.460564014152624e-05,-1.6260956525802612,1.3712039820228277,1772.8358154296875,0.67
1.0,7.122000217437744,0.0007589482702314,-3.2948193506854295e-08,0.9558359384536744,4.48033788416069e-05,-0.3287154734134674,21334.014602622607,0.0001858930772868,5.123608571011573e-05,4.338816870586015e-05,-1.4111385345458984,1.1808768896760469,1357.1678466796875,0.67
1.0,7.545000076293945,0.0006877654232084,-2.1747711187458666e-08,0.9677144885063172,4.399532917886973e-05,-0.2829964160919189,21995.846072021104,0.0002242129849037,5.167819108464755e-05,4.321608139434829e-05,-1.800004005432129,1.195809277872332,1039.0057373046875,0.67
1.0,7.967999935150146,0.0007549659349024,2.5458257724153558e-08,0.9781633615493774,4.347733920440078e-05,-0.246101438999176,22498.23423992717,0.0001900856295833,3.256754644098692e-05,4.262909715180285e-05,-1.7062592506408691,0.7639745764498225,794.2393188476562,0.67
