Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0537189431488513,-1.3142472710114816e-07,0.0090652462095022,0.0001908531558001,0.9758700728416444,47.49853976213635,0.0002980995050165,0.000548803131096,0.0001316914858762,1.5160737037658691,4.167339501445893,6999983.5,0.49
1.0,0.3230000138282776,-0.0318251848220825,-1.749588278698866e-07,0.0051545207388699,0.000291422184091,0.4573275446891784,17.68746862887851,0.0003332330670673,0.0011906047584488,0.0002246312069473,1.515065312385559,5.300264262604461,5358937.0,0.49
1.0,0.481000006198883,-0.004963953513652,-1.2685724470884452e-07,0.0095849186182022,0.0003596991009544,-1.8879189491271973,26.64704635838321,0.0003385995223652,0.0016442500054836,0.0002789782593026,1.8091758489608765,5.89382846388653,4102609.0,0.49
1.0,0.6389999985694885,0.0291618835180997,-1.9634926218259355e-07,0.0488611683249473,0.0007285676547326,-1.3241631984710691,67.06469606158878,0.0003939411835744,0.0021482603624463,0.0004463513323571,2.2955691814422607,4.81293592449132,3140812.25,0.49
1.0,0.796999990940094,-0.0078853517770767,-2.070839428824911e-07,0.0698814392089843,0.0005474810604937,-1.605277180671692,127.64174736193225,0.0003485777997411,0.0012443343875929,0.000255797553109,2.7435784339904785,4.864528110097727,2404484.0,0.49
1.0,0.9550000429153442,-0.0045436429791152,-3.8255947742982244e-07,0.1089112758636474,0.0007449225522577,-1.3409390449523926,146.2048310036388,0.0003506740613374,0.000346926099155,0.0001053638625307,2.96211838722229,3.29264788535732,1840781.125,0.49
1.0,1.1130000352859497,-0.0025444352068006,-4.509722373313707e-07,0.1510419100522995,0.0007604313432238,-1.3827447891235352,198.62662342657683,0.000353608833393,0.0005877347430214,0.0001980063825612,-3.1138532161712646,2.9682616056050994,1409249.875,0.49
1.0,1.2699999809265137,-0.0016630718018859,-1.2005770599898824e-07,0.2223094403743744,0.0007496967446058,-1.3698831796646118,296.53248726755265,0.0003638386842794,0.0010291539365425,0.0003842249279841,-2.89585542678833,2.678519433764979,1078859.25,0.49
1.0,1.4279999732971191,-0.0011650826781988,-2.3295572759707286e-07,0.2486475557088852,0.0006705494015477,-1.152742862701416,370.8116883483272,0.0003314721980132,0.0003877748677041,0.0001179726605187,-3.0005972385406494,3.286989256655914,825937.4375,0.49
1.0,1.5850000381469729,-0.0008525523589923,-1.742153870054608e-07,0.361997127532959,0.0010325941257178,-1.139315128326416,350.5705857868327,0.0003565436345525,0.0033052640501409,0.0015863759908825,-1.9631059169769287,2.0835313123354995,632312.4375,0.49
1.0,1.743000030517578,-0.000774911546614,-2.4372363327529456e-07,0.4926496148109436,0.0010960947256535,-1.2273519039154053,449.4589776601736,0.0003366709279362,0.0033876623492687,0.0026552504859864,-1.853977084159851,1.2758353184182618,484078.09375,0.49
1.0,1.899999976158142,-0.0005494074430316,-7.029070303588014e-08,0.6432545185089111,0.0011228771181777,-1.1566591262817385,572.8627897884606,0.0003206553810741,0.0034688415471464,0.0059697744436562,-1.6446884870529177,0.58106743896038,370593.71875,0.49
1.0,2.056999921798706,-0.0004702569567598,1.5654894269800934e-08,0.7930693030357361,0.0011804682435467,-1.1607686281204224,671.826037990581,0.0003287050931248,0.0033555331174284,0.0269554127007722,-2.5855109691619877,0.1244845758689602,283703.09375,0.49
1.0,2.2149999141693115,-0.0003212656301911,-3.687805261165522e-08,0.9175065755844116,0.0011424103286117,-1.1852576732635498,803.1322481996244,0.000322248582961,0.002861438319087,0.0099549004808068,2.4694340229034424,0.28744017326983,217203.125,0.49
1.0,2.372999906539917,-0.0003858247946482,-1.701622807104286e-07,0.9733371138572692,0.0009993427665904,-1.2169114351272583,973.9772442423596,0.0003067361540161,0.0024223709478974,0.0038216491229832,2.079110860824585,0.633854880430914,166281.25,0.49
1.0,2.5309998989105225,-7.79099646024406e-05,1.511816094534879e-08,0.9776561260223388,0.0008186597260646,-1.2549465894699097,1194.215490142641,0.0003025436017196,0.0019267607713118,0.0018159913597628,2.161132574081421,1.0609966622106823,127296.859375,0.49
1.0,2.687999963760376,7.066086982376873e-05,-1.385618446647641e-07,0.9629151821136476,0.0006478084251284,-1.2942949533462524,1486.4196647684878,0.0002946616150438,0.0014772679423913,0.0010829318780452,2.2678959369659424,1.3641374608511387,97453.1171875,0.49
1.0,2.845000028610229,-0.0001316951093031,-2.468686375323159e-07,0.946654498577118,0.0005053619970567,-1.326573610305786,1873.220590567692,0.0002945777669083,0.0011641129385679,0.0006960202590562,2.343395471572876,1.6725273775025744,74609.375,0.49
1.0,3.002000093460083,-4.412085763760842e-05,-1.8871114093599322e-07,0.9342734217643738,0.0003929965023417,-1.3539340496063232,2377.307218251123,0.000277891405858,0.000948651577346,0.0004822194750886,2.4077811241149902,1.9672610219063569,57109.375,0.49
1.0,3.1589999198913574,-0.0002601853047963,1.35000377099459e-07,0.9265601634979248,0.0003063121112063,-1.3766818046569824,3024.889090571188,0.0002825870760716,0.0008114494266919,0.0003444391768425,2.514296293258667,2.3558569444115847,43718.74609375,0.49
1.0,3.315999984741211,-0.0002954834490083,-4.494083327699627e-08,0.9212716817855836,0.0002340065402677,-1.3779864311218262,3936.948432003444,0.0002706802333705,0.0006807788740843,0.0002496680535841,2.6054277420043945,2.726736017328845,33468.75,0.49
1.0,3.4739999771118164,-0.0002688218082766,1.3307284518759846e-07,0.9182690382003784,0.0001829758402891,-1.38353168964386,5018.526143939512,0.0002804069372359,0.0005947991157881,0.0001892937871161,2.7276411056518555,3.142200939870866,25624.99609375,0.49
1.0,3.63100004196167,-0.0002375064505031,1.6691481619091064e-07,0.916736900806427,0.0001420375192537,-1.3797346353530884,6454.188341380534,0.0002685000945348,0.0004919678322039,0.0001444056106265,2.878217458724976,3.40684707518876,19625.0,0.49
1.0,3.797000169754028,-0.0002258520107716,9.234761222387533e-08,0.915654957294464,0.0001104934999602,-1.3675516843795776,8286.957672836712,0.000287869683234,0.000417114875745,0.0001110235461965,3.064561128616333,3.7569947099933416,15022.91015625,0.49
1.0,4.001999855041504,-0.0001842658384703,8.930249428829029e-09,0.9158517122268676,8.62455417518504e-05,-1.3471989631652832,10619.11947706234,0.0003036336565855,0.0003179423511028,8.614031685283408e-05,-3.011850595474243,3.690981908576164,11516.697265625,0.49
1.0,4.258999824523926,-0.0003573183203116,4.885135407306507e-09,0.9166338443756104,6.737307558069006e-05,-1.317575216293335,13605.343625404104,0.0002982672012876,0.000259890948655,6.76533454679884e-05,-3.0439236164093018,3.841509194516576,8801.966796875,0.49
1.0,4.585999965667725,-0.0002473576168995,-9.05716035504156e-08,0.9179977774620056,5.291210254654288e-05,-1.277210354804993,17349.485907397284,0.000306233036099,0.0002003874833462,5.297874668031e-05,-2.8692896366119385,3.782412682494652,6740.5849609375,0.49
1.0,5.007999897003174,-0.0004279566346667,3.246843789384002e-07,0.9203272461891174,4.176931906840764e-05,-1.2230018377304075,22033.570733625147,0.0003116833686362,0.000146127786138,4.202903073746711e-05,-2.913153171539306,3.476829790600624,5159.66845703125,0.49
1.0,5.431000232696533,-0.0002150355867343,-1.4795398328715237e-07,0.9239668250083924,3.351043415023014e-05,-1.1583646535873413,27572.51132188172,0.0003204038657713,0.0001153731718659,3.3767475542845204e-05,-2.8009884357452397,3.416695207776225,3951.206787109375,0.49
1.0,5.854000091552734,-0.0002647558576427,-1.560052567128878e-07,0.9295799732208252,2.7639076506602574e-05,-1.0810070037841797,33632.815951674864,0.0003296274808235,8.906489529181272e-05,2.775015855149832e-05,-2.6041977405548096,3.2095274384298547,3022.096923828125,0.49
1.0,6.276999950408936,-0.0002059809194179,-6.908533123350935e-08,0.9373406171798706,2.2544230887433517e-05,-0.985752284526825,41577.84853518148,0.00031528895488,8.188426727429032e-05,2.2617867216467857e-05,-2.437764406204224,3.6203354848007576,2312.779296875,0.49
1.0,6.700000286102295,-0.000411439104937,-1.522626646988101e-08,0.9472561478614808,1.911643266794272e-05,-0.8584579825401306,49551.93075588736,0.0003270281013101,5.612781023955904e-05,1.907964542624541e-05,-2.022207736968994,2.9417638004085367,1772.8358154296875,0.49
1.0,7.123000144958496,-0.0001964643452083,-4.329284308823844e-08,0.9586817622184752,1.6887628589756787e-05,-0.7582235336303711,56768.287928831225,0.0003237579076085,3.978658060077578e-05,1.6900996342883445e-05,-2.261970996856689,2.3540967522621137,1357.1678466796875,0.49
1.0,7.546000003814697,-0.0003717390936799,-8.004388973859022e-08,0.9699585437774658,1.5218505723169072e-05,-0.6510091423988342,63735.465322378805,0.000329543632688,3.981365080107935e-05,1.5181190065050032e-05,-1.860034823417664,2.622564544049672,1039.0057373046875,0.49
1.0,7.969000339508057,-0.0002183055330533,-6.899254145764645e-08,0.9798471331596376,1.4219426702766214e-05,-0.536455512046814,68909.04630979394,0.0003232547896914,4.1261871956521645e-05,1.41766367960372e-05,-1.4537781476974487,2.91055435433428,794.2393188476562,0.49
1.0,8.392000198364258,-8.298207103507593e-05,3.0208973100798175e-08,0.9871100187301636,1.3166448297852185e-05,-0.4421926140785217,74971.62457176768,0.0001942081289598,2.784770913422108e-05,1.3087098523101304e-05,-0.7851124405860901,2.1278749514313198,609.4149780273438,0.49
1.0,8.8149995803833,-0.0001055776447174,-2.0557885704874934e-07,0.9926114678382874,1.2855718523496762e-05,-0.3736644387245178,77211.66779002381,0.000322248582961,2.339102684345562e-05,1.278527361137094e-05,-1.2893420457839966,1.8295288434540935,465.7454528808594,0.49
1.0,9.236000061035156,-0.000223210081458,-9.393411382063732e-09,0.9960747957229614,1.2547866390377749e-05,-0.3215219676494598,79382.00525364176,0.0002154224348487,2.3480839445255697e-05,1.249929755431367e-05,-1.672669768333435,1.878572723244928,356.4826965332031,0.49
1.0,9.66100025177002,-0.0001748741342453,-1.1085001005994854e-07,0.9985975623130798,1.2290808626858052e-05,-0.2690087854862213,81247.50719256421,0.0002256522566312,2.327598485862836e-05,1.2240213436598424e-05,-1.0049514770507812,1.9015995904967489,273.33795166015625,0.49
1.0,10.086000442504885,-9.756983490660788e-05,3.188620567584621e-08,0.9999314546585084,1.2087031791452318e-05,-0.2329747229814529,82727.62675826151,0.000190434831893,2.097348624374717e-05,1.1961506970692426e-05,-0.6664195656776428,1.753415041694622,209.26370239257807,0.49
1.0,10.508999824523926,0.0001864913647295,-4.2386713516862073e-07,1.0007030963897705,1.180642175313551e-05,-0.2290661931037902,84759.21979697254,0.0001817981683416,2.1039893908891827e-05,1.1679211638693232e-05,-0.6843426823616028,1.801482373963209,160.2567596435547,0.49
1.0,10.9399995803833,-0.0001560085074743,2.35184227648233e-08,1.0011688470840454,1.1654639820335431e-05,-0.2182714939117431,85903.02767977181,0.0002041863917838,1.3762703019892795e-05,1.155164591182256e-05,0.5655946135520935,1.1914062398508358,122.6834945678711,0.49
1.0,11.369999885559082,-2.521304486435838e-05,-1.2234873736360896e-07,1.0015649795532229,1.1389823157514913e-05,-0.2247375547885894,87935.07727926385,0.0002252330014016,1.9743440134334375e-05,1.1246023859712295e-05,-0.2098093032836914,1.7555929438370823,93.71041870117188,0.49
1.0,11.784000396728516,3.129795004497282e-05,-1.220505652099746e-07,1.0018047094345093,1.119029548135586e-05,-0.2363195419311523,89524.41971738951,0.0001830559340305,3.1749135814607143e-05,1.111356687033549e-05,-0.6632364392280579,2.8567908201778534,71.7684555053711,0.49
1.0,12.208000183105469,-2.5925692170858383e-05,-9.892278285406064e-08,1.002017855644226,1.0730583198892418e-05,-0.2254101336002349,93379.62691046017,0.0001892609143396,2.40017816395266e-05,1.067700668500038e-05,-0.8142606616020203,2.2479878815890943,54.94721221923828,0.49
1.0,12.61299991607666,-0.0002321002684766,-3.859676667161693e-08,1.0018683671951294,1.0483258847671095e-05,-0.2837859392166137,95568.40880807776,0.0001803727063816,1.6304824384860694e-05,1.0373694749432616e-05,-0.6444413065910339,1.57174707552991,42.11589431762695,0.49
1.0,13.01099967956543,-0.0001598682429175,-1.6409433101216567e-07,1.00193452835083,1.0133630894415546e-05,-0.2717076539993286,98872.21458825556,0.0001778571750037,3.679801739053801e-05,1.0084459972858896e-05,-0.2571950852870941,3.648982443241921,32.19432830810547,0.49
1.0,13.44499969482422,-3.35586337314453e-05,-1.645602907274224e-07,1.0020108222961426,9.692452294984832e-06,-0.3184675276279449,103380.52659950808,0.0001857391762314,1.8494121832191013e-05,9.587655767973048e-06,-0.49039027094841,1.9289513807921064,24.660675048828125,0.49
1.0,13.897000312805176,-2.1486790501512587e-05,-5.700958993770656e-08,1.00187087059021,9.552695701131595e-06,-0.3401618301868438,104878.34030676071,0.0001839783071773,3.469001239864156e-05,9.523217158857731e-06,-0.8732742667198181,3.642677870300972,18.87075424194336,0.49
1.0,14.34000015258789,0.0001753306423779,-1.387116270734623e-07,1.001896619796753,8.882763722795062e-06,-0.4325657486915588,112791.0919464933,0.0001781925820978,1.659254849073477e-05,8.831746526993811e-06,-0.5912771821022034,1.8787392097384636,14.467611312866213,0.49
1.0,14.734000205993652,-9.248980495613068e-05,-7.150890724005876e-08,1.0019687414169312,8.604170943726785e-06,-0.4359250068664551,116451.5149652456,0.000168717422639,3.167338945786469e-05,8.581222573411651e-06,-0.5980918407440186,3.691011296688957,11.065899848937988,0.49
