Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0499112755060195,-2.877096392239764e-07,0.0093118008226156,0.0001852834539022,1.0090997219085691,50.25705548175539,0.000305932277115,0.000561612076126,0.0001281871664104,1.5419737100601196,4.381188006976991,6999983.5,0.32
1.0,0.3230000138282776,-0.0285477023571729,4.7520103407805445e-09,0.0053733806125819,0.0002917011443059,0.4289338886737823,18.4208417329532,0.0003166652168147,0.0011914885835722,0.0002246514195576,1.5157078504562378,5.303721587508376,5358937.0,0.32
1.0,0.4800000190734863,-0.0012231922009959,1.7089661241698198e-07,0.0096367094665765,0.0003604386583901,-1.8356322050094604,26.73605963804338,0.0003299975069239,0.0016350816003978,0.0002775667235255,1.8148324489593504,5.8907695404902105,4102609.0,0.32
1.0,0.6380000114440918,0.0333780758082866,-2.3742397559090025e-07,0.0489513650536537,0.0007265349267981,-1.319769263267517,67.37647874601168,0.0003907056525349,0.0021379860118031,0.0004434029979165,2.3015639781951904,4.8217671550462935,3140812.25,0.32
1.0,0.7960000038146973,-0.0041317204013466,-1.552187285369655e-07,0.0694165453314781,0.0005462921108119,-1.6148734092712402,127.068548048971,0.0003513795381877,0.0012524290941655,0.000256724684732,2.7356505393981934,4.878491117723367,2404484.0,0.32
1.0,0.953000009059906,-0.0007668716134503,-2.5635175759930465e-08,0.1094793975353241,0.0007444332586601,-1.335322618484497,147.06408702422797,0.0003692397731356,0.0003383309522178,0.0001028439437504,2.9576454162597656,3.2897508582385955,1840781.125,0.32
1.0,1.1109999418258667,0.0012211425928398,-1.5456012647518946e-07,0.1516804844141006,0.0007594823255203,-1.3815743923187256,199.71562117680008,0.0003493670956231,0.0006052365642972,0.0002044285065494,-3.1063337326049805,2.9606270402940726,1409249.875,0.32
1.0,1.2690000534057615,0.0023815792519599,-2.0258008248674741e-07,0.2233477234840393,0.0007485595415346,-1.3690142631530762,298.37001746868526,0.0003382149152457,0.0010276034008711,0.0003859420539811,-2.8985416889190674,2.662584681485405,1078859.25,0.32
1.0,1.4259999990463257,0.0027334289625287,-1.0134557726360073e-07,0.2483710050582885,0.0006669699796475,-1.1424124240875244,372.3870828332296,0.0003237086930312,0.0003506760986056,0.0001058902853401,-3.014004945755005,3.3116928288481424,825937.4375,0.32
1.0,1.5839999914169312,0.0029161279089748,-2.1933389859896127e-07,0.3644334077835083,0.0010328040225431,-1.1423999071121216,352.8582381836034,0.0003581714408937,0.0033024381846189,0.001611455110833,-1.9644900560379028,2.0493516464828736,632312.4375,0.32
