Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0538623370230197,9.532437417192341e-08,0.0091180680319666,0.000181547991815,0.9877010583877563,50.22400931461124,0.0003060577146243,0.0005059654940851,0.0001186571971629,1.6484606266021729,4.264094434913746,6999983.5,0.45
1.0,0.3230000138282776,-0.0319543704390525,-6.01772214281482e-08,0.0053437785245478,0.0002904000575654,0.4374538958072662,18.40143755255275,0.000339933525538,0.0011233519762754,0.0002188015932915,1.553989052772522,5.134112413790673,5358937.0,0.45
1.0,0.481000006198883,-0.0050319326110184,2.1414056305957277e-08,0.009263115003705,0.0003711139434017,-1.7796733379364014,24.960299035915963,0.0003586322709452,0.0016114949248731,0.0002757709880825,1.865352988243103,5.843598473059608,4102609.0,0.45
1.0,0.6380000114440918,0.029179299250245,-2.4595928493909014e-07,0.0467397980391979,0.0007286254549399,-1.3629002571105957,64.14790716178464,0.0004173279739916,0.0020859725773334,0.0004360770981293,2.320688247680664,4.783494905561086,3140812.25,0.45
1.0,0.7960000038146973,-0.0081208497285842,-1.999462995172508e-07,0.0712960883975029,0.0005393742467276,-1.5800073146820068,132.1829672626168,0.0003776664671022,0.0013560624793171,0.0002645859203767,2.813605785369873,5.1252253989422405,2404484.0,0.45
1.0,0.9539999961853028,-0.0046729110181331,-1.9839464471260729e-07,0.116364948451519,0.00073211803101,-1.3898212909698486,158.94288014049,0.0003626571269705,0.0005046476144343,0.0001493342861067,3.030341625213623,3.379315143165571,1840781.125,0.45
1.0,1.1109999418258667,-0.0026480895467102,-2.287332705463996e-07,0.1526417434215545,0.0007586820283904,-1.3284156322479248,201.19330326748585,0.0003635794855654,0.000692443747539,0.0002378146891715,-3.069908142089844,2.911694605372825,1409249.875,0.45
1.0,1.2680000066757202,-0.0016852719709277,-8.058595568627426e-08,0.2083978205919265,0.0007568003493361,-1.3164277076721191,275.36697198242297,0.0003505825879983,0.0010126155102625,0.0003911677049472,-2.92407488822937,2.588699162674976,1078859.25,0.45
1.0,1.4249999523162842,-0.0008908125455491,-1.938009717150635e-07,0.2465227246284485,0.0006678959471173,-1.1629210710525513,369.1034893869944,0.0003233310126233,0.0001962631940841,5.4077001550467685e-05,-3.0556790828704834,3.6293283365758304,825937.4375,0.45
1.0,1.5830000638961792,-0.000790950958617,-8.848775934211518e-08,0.3551412224769592,0.001025189529173,-1.1028337478637695,346.4151870175832,0.0003535173600539,0.0034361027646809,0.0015721841482445,-1.8964208364486692,2.185559985780038,632312.4375,0.45
