Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0562660470604896,-2.631282427500992e-07,0.009309927932918,0.0001854985603131,0.991183876991272,50.18868026362156,0.0003473026736173,0.0005060092662461,0.0001202541025122,1.6534020900726318,4.207833709411374,6999983.5,0.38
1.0,0.3230000138282776,-0.0345468930900096,-2.509394789740327e-07,0.0052837082184851,0.0002858770312741,0.4414416551589966,18.482450985781856,0.0003712002071551,0.0011222037719562,0.0002154288667952,1.5614176988601685,5.209161560612798,5358937.0,0.38
1.0,0.481000006198883,-0.0072090541943907,-2.6661157903618005e-07,0.0090285679325461,0.0003706166171468,-1.7666834592819214,24.36093665214158,0.0003765666624531,0.0016179180238395,0.0002750037238001,1.8664549589157104,5.883258602764128,4102609.0,0.38
1.0,0.6389999985694885,0.0269368216395378,4.3296314089502637e-08,0.0465880185365676,0.0007324318867176,-1.3630681037902832,63.60730517256342,0.0004390356771182,0.0021128936205059,0.0004392284317873,2.321126699447632,4.810466417003064,3140812.25,0.38
1.0,0.796999990940094,-0.0103642921894788,-2.040276001480379e-07,0.0702692791819572,0.0005394533509388,-1.5938796997070312,130.26015884350636,0.0003633182204794,0.0014053521445021,0.0002696846495382,2.8018910884857178,5.211094316670721,2404484.0,0.38
1.0,0.9539999961853028,-0.0067785559222102,-3.449327152793558e-07,0.1160218119621276,0.000732734624762,-1.4060993194580078,158.34083451399457,0.0003727095318026,0.0005407311837188,0.0001560987147968,3.023092746734619,3.4640335407161467,1840781.125,0.38
1.0,1.1109999418258667,-0.0051174475811421,1.0483972090469253e-07,0.152353748679161,0.0007590728928335,-1.3416399955749512,200.71030083876164,0.0003824362356681,0.0006707019056193,0.0002232327824458,-3.0764951705932617,3.004495568575608,1409249.875,0.38
1.0,1.2680000066757202,-0.003912447951734,-2.733610529048747e-07,0.2085111141204834,0.0007584652630612,-1.3289302587509155,274.9118836094301,0.0003503213229123,0.0009754027123562,0.0003669891739264,-2.931795120239258,2.6578514617215445,1078859.25,0.38
1.0,1.4249999523162842,-0.0033300288487225,-1.2001927984783833e-07,0.2453940510749817,0.0006727229338139,-1.1736657619476318,364.77729350439535,0.0003611380816437,0.0001827244850574,4.975315823685378e-05,-3.0641589164733887,3.6726208251450494,825937.4375,0.38
1.0,1.5820000171661377,-0.0031437664292752,-3.4535283077730134e-08,0.3571196794509887,0.0010355914710089,-1.133995532989502,344.8460994981487,0.000363569764886,0.0034013586118817,0.0015039356658235,-1.9316331148147583,2.261638372688788,632312.4375,0.38
1.0,1.7390000820159912,-0.0027991265524178,-1.959217570401961e-07,0.4885081648826599,0.0010981879895552,-1.2237192392349243,444.8310940647572,0.0003718709922395,0.0034116629976779,0.0025153667666018,-1.825783371925354,1.3563282472269425,484078.09375,0.38
1.0,1.897000074386597,-0.0027398001402616,-4.394405550556258e-07,0.6370663642883301,0.0011281900806352,-1.151928186416626,564.679990742001,0.0003657498746179,0.0034631956368684,0.005497233942151,-1.6404101848602295,0.6299887676807379,370593.71875,0.38
1.0,2.055000066757202,-0.0028693773783743,-8.483196012321059e-08,0.7869524955749512,0.0011866587447002,-1.1541197299957275,663.1666425495675,0.0003355635271873,0.0033391322940587,0.0220651812851429,-2.4482228755950928,0.1513303811515534,283703.09375,0.38
1.0,2.213000059127808,-0.0026515934150666,-1.5859141910823382e-07,0.9119086265563964,0.0011505774455145,-1.1765034198760986,792.5660546462574,0.0003329641476739,0.0028575377073138,0.0101962620392441,2.5384342670440674,0.2802534591907877,217203.125,0.38
1.0,2.371000051498413,-0.0026666005142033,-3.8688378367623965e-07,0.969072163105011,0.0010080650681629,-1.2054848670959473,961.3190593648636,0.000324579043081,0.0024385517463088,0.0037943879142403,2.0982446670532227,0.642673285237101,166281.25,0.38
1.0,2.5280001163482666,-0.0024392590858042,-2.619306087581208e-07,0.974454402923584,0.0008269918034784,-1.2402368783950806,1178.312044720256,0.00032650763751,0.001928964164108,0.0018023159354925,2.200085163116455,1.0702697158258845,127296.859375,0.38
1.0,2.684999942779541,-0.0024406840093433,-2.966172587548499e-07,0.9603803753852844,0.0006547085940837,-1.2744895219802856,1466.882188600659,0.0003092343104071,0.0014904442941769,0.0010792396496981,2.2911860942840576,1.3810132852271235,97453.1171875,0.38
1.0,2.8429999351501465,-0.0025607482530176,6.098704830037606e-08,0.9444373846054076,0.0005108655313961,-1.3017170429229736,1848.700541656037,0.0003251660091336,0.0011889626039192,0.0006923005566932,2.36606502532959,1.71740812920661,74609.375,0.38
1.0,3.000999927520752,-0.0024227839894592,-2.42868310351696e-07,0.932283878326416,0.0003976639709435,-1.32105553150177,2344.40116894266,0.0003164455119986,0.0009726809803396,0.0004803850897587,2.440561056137085,2.024794276666788,57109.375,0.38
1.0,3.157999992370605,-0.0025143411476165,9.18012403872126e-08,0.9244688153266908,0.000310345669277,-1.3332377672195437,2978.835881552181,0.0003151038836222,0.0008119888952933,0.0003450108633842,2.561281681060791,2.353516893144981,43718.74609375,0.38
1.0,3.315999984741211,-0.0025842660106718,1.1022616064337853e-07,0.919338583946228,0.000237807733356,-1.3215991258621216,3865.890191930338,0.0003180386847816,0.0006918454309925,0.0002511689090169,2.6537649631500244,2.7545026719279435,33468.75,0.38
1.0,3.4739999771118164,-0.0024685210082679,9.341453477418329e-08,0.9162036180496216,0.0001862284407252,-1.3091561794281006,4919.783543703503,0.000306215690216,0.0006042954628355,0.0001897123001981,2.8257594108581543,3.185325686338732,25624.99609375,0.38
1.0,3.63100004196167,-0.0025992742739617,-2.7574563077337192e-08,0.9145655035972596,0.0001456296886317,-1.284204363822937,6280.075939116647,0.000319044891512,0.0005084878648631,0.0001466002140659,2.956490993499756,3.468534258989964,19625.0,0.38
1.0,3.797000169754028,-0.0025847274810075,4.197571179531678e-09,0.9141212105751038,0.0001145257920143,-1.2469381093978882,7981.793397777234,0.0003231535956729,0.0004286574840079,0.0001133856567321,-3.059753656387329,3.780526535385969,15022.91015625,0.38
1.0,4.001999855041504,-0.0025283014401793,-1.660467177089231e-07,0.9139878749847412,9.0705587354023e-05,-1.193960428237915,10076.423091969578,0.0003516629221849,0.000339510384947,8.969862392405048e-05,-2.8822479248046875,3.785012189646648,11516.697265625,0.38
1.0,4.258999824523926,-0.002725961850956,-1.808821110671488e-07,0.9144477248191832,7.252769864862785e-05,-1.1241211891174316,12608.255078509705,0.0003436970582697,0.0002582907618489,7.208594615804031e-05,-2.9136078357696533,3.583094564405637,8801.966796875,0.38
1.0,4.585999965667725,-0.0026678168214857,-1.50673642451693e-07,0.915987193584442,5.9061891079181805e-05,-1.0421770811080933,15508.937774383425,0.0003395045059733,0.0002220953028881,5.852819958818145e-05,-2.6885433197021484,3.794671704424678,6740.5849609375,0.38
1.0,5.007999897003174,-0.002611054573208,8.219806169051935e-09,0.9184640645980836,4.8834699555300176e-05,-0.9508357644081116,18807.61165650296,0.000360551115591,0.0001416488812537,4.815333886654116e-05,-2.5519120693206787,2.9416211749380814,5159.66845703125,0.38
1.0,5.431000232696533,-0.0024411040358245,-1.1766937291213253e-07,0.9221327304840088,4.160890239290893e-05,-0.8399670124053955,22161.909530234578,0.0003571132256183,0.0001175525248982,4.1128652810584754e-05,-2.38157057762146,2.8581661898720943,3951.206787109375,0.38
1.0,5.854000091552734,-0.0025883328635245,7.250223532651033e-09,0.927694857120514,3.688572905957699e-05,-0.7325690984725952,25150.50890337893,0.0003704455448314,0.0001016643218463,3.639444912550971e-05,-2.1374313831329346,2.7934018590508027,3022.096923828125,0.38
1.0,6.276999950408936,-0.0029099145904183,4.2621856266578106e-08,0.935811460018158,3.298473893664777e-05,-0.6225600838661194,28371.043403300137,0.0003521660109981,8.453994087176397e-05,3.2592903153272346e-05,-2.110797166824341,2.5938143795968087,2312.779296875,0.38
1.0,6.700000286102295,-0.0025312774814665,-1.110168312834503e-07,0.945817530155182,3.069099329877645e-05,-0.5179987549781799,30817.42975692118,0.0003628150734584,6.569045217474923e-05,3.0224895454011858e-05,-1.7834458351135254,2.1733888964049304,1772.8358154296875,0.38
1.0,7.123000144958496,-0.0026080359239131,-7.922317735165053e-08,0.957190215587616,2.953864714072552e-05,-0.4362082481384277,32404.67347835707,0.0003498182049952,4.905803871224634e-05,2.902040432672948e-05,-1.6376150846481323,1.6904670989391088,1357.1678466796875,0.38
1.0,7.546000003814697,-0.0025175269693136,4.694522814929769e-08,0.9688966870307922,2.867318289645482e-05,-0.3645635545253753,33791.0405876352,0.0003530045214574,3.2552608900005e-05,2.778490306809545e-05,-1.416714072227478,1.17159339444967,1039.0057373046875,0.38
1.0,7.969000339508057,-0.0025816250126808,8.172067111900105e-08,0.978993833065033,2.7754309485317208e-05,-0.3105937242507934,35273.579174540355,0.0003508244117256,3.814506999333389e-05,2.747110011114273e-05,-1.7027242183685305,1.3885526913376731,794.2393188476562,0.38
1.0,8.392000198364258,-0.0023263632319867,-1.1386806164637164e-08,0.9867655634880066,2.717446841415949e-05,-0.2669183015823364,36312.23060002321,0.0002517963876016,2.4553317416575737e-05,2.669940295163542e-05,-1.2414559125900269,0.9196204672086786,609.4149780273438,0.38
1.0,8.8149995803833,-0.0023809038102626,3.7850579559517434e-08,0.992415189743042,2.6856103431782685e-05,-0.2302095890045166,36953.05956293624,0.0001176348159788,3.004656900884584e-05,2.649837188073434e-05,-0.7737110257148743,1.1339024580106831,465.7454528808594,0.38
1.0,9.236000061035156,-0.0025062495842576,5.4884186084791515e-08,0.996186912059784,2.6347195671405643e-05,-0.2017348557710647,37809.978886706944,0.0002631162642501,4.026427632197738e-05,2.605695954116527e-05,-0.905491590499878,1.5452407737121872,356.4826965332031,0.38
1.0,9.66100025177002,-0.0022404238115996,-1.5561436583766408e-08,0.9983874559402466,2.6064413759741e-05,-0.196351408958435,38304.61966815276,0.0002270603581564,2.99126586469356e-05,2.5808218197198585e-05,-0.912764310836792,1.1590361805830725,273.33795166015625,0.38
1.0,10.086000442504885,-0.0023314347490668,5.4474135424698034e-08,0.999695360660553,2.5547911718604155e-05,-0.1830985248088836,39130.21822181139,0.0002384640974923,3.150762495351955e-05,2.5193759938701987e-05,-0.7831417918205261,1.2506122559784485,209.26370239257807,0.38
1.0,10.508999824523926,-0.0023350825067609,-7.847796723581268e-08,1.0008971691131592,2.514501647965517e-05,-0.1899883449077606,39804.9915744929,0.0002323429653188,2.002311157411896e-05,2.4623866920592263e-05,-0.7754363417625427,0.813158698375444,160.2567596435547,0.38
1.0,10.9399995803833,-0.002314498880878,-1.447304498469748e-07,1.0011240243911743,2.47407970164204e-05,-0.1780111938714981,40464.50175904725,0.0002206876815762,2.6698076908360235e-05,2.448759914841503e-05,-0.3033786714076996,1.0902692724814669,122.6834945678711,0.38
1.0,11.369999885559082,-0.0023134085349738,-1.857864475596216e-07,1.0015910863876345,2.423532168904785e-05,-0.1990439891815185,41327.74052841485,0.0002496162778697,2.178448266931809e-05,2.371785194554832e-05,-0.5163444876670837,0.9184846384626706,93.71041870117188,0.38
1.0,11.784000396728516,-0.0023191524669528,-1.019432449567148e-08,1.001823902130127,2.3566162781207826e-05,-0.2208686619997024,42511.11695320222,0.0002727591490838,2.492594285286032e-05,2.311462776560802e-05,-0.1462294459342956,1.0783622866705789,71.7684555053711,0.38
1.0,12.208000183105469,-0.0024800898972898,-7.037130700382478e-08,1.0019463300704956,2.3003063688520345e-05,-0.2225690484046936,43557.08194515481,0.0002299951447639,2.2155178157845512e-05,2.3771821361151524e-05,-1.7765580415725708,0.9319932966538286,54.94721221923828,0.38
1.0,12.61299991607666,-0.0022517847828567,-2.580585487521603e-07,1.001931071281433,2.2234416974242777e-05,-0.2508322298526764,45062.169718329445,0.0002240417234133,2.7853608116856776e-05,2.192290594393853e-05,-0.0508142262697219,1.2705253668507404,42.11589431762695,0.38
1.0,13.01099967956543,-0.0025770994834601,-2.510352814510952e-08,1.0019240379333496,2.1795374777866527e-05,-0.2906831800937652,45969.571440947,0.0002249640820082,2.679863064258825e-05,2.155940273951273e-05,-0.7839913368225098,1.243013592091463,32.19432830810547,0.38
1.0,13.44499969482422,-0.0024859614204615,2.1170530217773376e-08,1.002100706100464,2.081778075080365e-05,-0.3001308143138885,48136.76914441415,0.0002224485506303,2.3764023353578523e-05,2.05868582270341e-05,-0.4116895198822021,1.1543297715225074,24.660675048828125,0.38
1.0,13.897000312805176,-0.0022198925726115,-1.472094339760588e-07,1.0019075870513916,2.0128924006712623e-05,-0.317891776561737,49774.52280694557,0.0002223647024948,1.9473969587124884e-05,1.9787232304224744e-05,-0.052875205874443,0.9841684419385436,18.87075424194336,0.38
1.0,14.34000015258789,-0.0023846486583352,-7.21049673302332e-08,1.002050757408142,1.923960007843561e-05,-0.3774494528770447,52082.72278649253,0.0002316721656825,1.8425609596306455e-05,1.890290150186047e-05,0.108604609966278,0.9747503363170444,14.467611312866213,0.38
1.0,14.734000205993652,-0.0025533433072268,-9.161743008689882e-08,1.001944065093994,1.84345062734792e-05,-0.38552987575531,54351.5541034826,0.0002268926473334,2.9817641916451976e-05,1.8306287529412657e-05,-0.1546850204467773,1.6288197084495728,11.065899848937988,0.38
1.0,15.239999771118164,-0.002389021217823,-1.7598429735699028e-07,1.0020127296447754,1.719223291729577e-05,-0.417710930109024,58282.87311281877,0.0002331814757781,2.0070838218089196e-05,1.7093381757149473e-05,-0.986244261264801,1.1741876770343802,8.473396301269531,0.38
