Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0536277443170547,-2.2632133322986195e-07,0.009197698906064,0.0001892044092528,1.0150176286697388,48.612497681130975,0.0003316102083772,0.0005115082603879,0.0001222380378749,1.6600435972213743,4.1845261039883415,6999983.5,0.33
1.0,0.3230000138282776,-0.0319159291684627,-2.905977680711658e-07,0.0053059100173413,0.0002898044185712,0.4459077417850494,18.308589094324297,0.0003491350507829,0.0011145438766106,0.0002179892617277,1.5570244789123535,5.112838438814994,5358937.0,0.33
1.0,0.481000006198883,-0.0047104344703257,-2.2533194510288013e-07,0.0092571675777435,0.0003702288959175,-1.8062487840652464,25.00390347652789,0.000350895919837,0.001615842222236,0.0002783915260806,1.844465732574463,5.804207638733526,4102609.0,0.33
1.0,0.6389999985694885,0.0293944831937551,-6.369527483229831e-08,0.0470620729029178,0.0007275942480191,-1.372507929801941,64.68175501805044,0.0003980201727245,0.0020855008624494,0.0004380619793664,2.311363935470581,4.760743823203965,3140812.25,0.33
1.0,0.796999990940094,-0.0074700145050883,-1.388560519899329e-07,0.0714083611965179,0.0005389782600104,-1.6125805377960205,132.4883886692004,0.0003411692159716,0.0013603027909994,0.0002651098475325,2.806526899337769,5.131091144519687,2404484.0,0.33
1.0,0.9550000429153442,-0.0041902661323547,-2.159688534675297e-07,0.1172009110450744,0.0007303222664631,-1.4065605401992798,160.4783482950011,0.0003557592863216,0.0004965098341926,0.0001473603770136,3.029282569885254,3.369357789757753,1840781.125,0.33
1.0,1.1130000352859497,-0.0020255935378372,-3.788867957155162e-07,0.1540193706750869,0.0007571386522613,-1.3457138538360596,203.4229400587029,0.000356765493052,0.0007002503261901,0.0002412652975181,-3.066569328308105,2.902407985705346,1409249.875,0.33
1.0,1.2710000276565552,-0.0013279310660436,-2.2153305678784818e-07,0.2107725441455841,0.0007564751431345,-1.3347525596618652,278.62454709643106,0.0003593648725654,0.0010221353732049,0.0003969913523178,-2.921980381011963,2.5747043789169606,1078859.25,0.33
1.0,1.4290000200271606,-0.0006059960578568,-8.741213974872153e-09,0.2479221522808075,0.0006704241386614,-1.183258056640625,369.7989645417497,0.0003362220013514,0.000177853507921,4.933654417982325e-05,-3.0628981590271,3.604904049883472,825937.4375,0.33
1.0,1.587000012397766,-0.0003966769727412,-2.854748686331732e-07,0.3616500794887543,0.0010318327695131,-1.135993480682373,350.4929191766207,0.0003492188989184,0.0034866796340793,0.0015827743336558,-1.8868839740753172,2.202891189185468,632312.4375,0.33
1.0,1.7440000772476196,-0.0003247379499953,-2.1597402621864606e-07,0.4932590126991272,0.0010956921614706,-1.2283086776733398,450.18028789862734,0.0003385698073543,0.0034920987673103,0.0026181209832429,-1.7706564664840698,1.3338187156595116,484078.09375,0.33
1.0,1.902000069618225,-2.293597390234936e-05,-3.757969579964993e-07,0.6433272361755371,0.001125217648223,-1.1590731143951416,571.7358212355515,0.0003342934069223,0.0035583900753408,0.0057594450190663,-1.4962118864059448,0.6178355837343715,370593.71875,0.33
1.0,2.059999942779541,3.5379500332055613e-05,-1.808105878353672e-07,0.7942804098129272,0.0011836524354293,-1.164531707763672,671.0419258545146,0.0003335387445986,0.0034110040869563,0.0365365296602249,-2.071288585662842,0.0933587321696218,283703.09375,0.33
1.0,2.2179999351501465,-2.7544090698938817e-05,-1.3861377112789341e-07,0.919617772102356,0.0011456891661509,-1.1900792121887207,802.6765018577142,0.0003277530486229,0.0028950157575309,0.0117701385170221,2.374418020248413,0.2459627601955675,217203.125,0.33
1.0,2.375999927520752,3.663853931357153e-05,1.500302886370264e-07,0.975365936756134,0.0010013716528192,-1.2234262228012085,974.0299058897194,0.0003190325514879,0.0024295595940202,0.0041796015575528,1.9999759197235107,0.581289761850594,166281.25,0.33
1.0,2.532999992370605,0.0002192914835177,-1.3537103882299564e-07,0.9797216057777404,0.0008189168875105,-1.263572096824646,1196.3626843207546,0.0003187809779774,0.001908175763674,0.0019033225253224,2.128026247024536,1.0025498770108976,127296.859375,0.33
1.0,2.690000057220459,0.0002209265658166,1.7741037083851552e-08,0.964251697063446,0.0006469101062975,-1.304286003112793,1490.5497497667543,0.0003021784941665,0.0014724003849551,0.0011135297827422,2.2244198322296143,1.322281997100306,97453.1171875,0.33
1.0,2.8470001220703125,-0.0001195616787299,2.8484135938811054e-08,0.9476577043533324,0.0005035775247961,-1.3384840488433838,1881.8506738103308,0.0003223027451895,0.0011433000909164,0.0007089943974278,2.3127803802490234,1.6125657622460157,74609.375,0.33
