Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.049957413226366,5.9505236293944115e-08,0.0092594465240836,0.0001872042921604,0.9818134903907776,49.46172129508143,0.0002739788906183,0.0005023127305321,0.0001212599672726,1.6415081024169922,4.142444879625951,6999983.5,0.28
1.0,0.3240000009536743,-0.0280082337558269,-9.374139864348765e-08,0.00547188334167,0.0002894183562602,0.4668943881988525,18.90648337712542,0.0003069323138333,0.0011252511758357,0.0002174460532842,1.5716575384140017,5.174852147649377,5358937.0,0.28
1.0,0.4819999933242798,-0.0011510686017572,-2.037695878698287e-07,0.0092728994786739,0.0003706753486767,-1.7968052625656128,25.016229192949798,0.0003015658585354,0.0016082995571196,0.0002767644764389,1.856951117515564,5.811076543539629,4102609.0,0.28
1.0,0.6389999985694885,0.0330117419362068,1.977712038581103e-08,0.0466290041804313,0.000729929015506,-1.376381516456604,63.88155997347705,0.0003771994670387,0.002089899033308,0.0004367726505734,2.3215370178222656,4.784866979570204,3140812.25,0.28
1.0,0.796999990940094,-0.0039888331666588,-3.937648216378875e-07,0.0696119591593742,0.0005363614181987,-1.6125051975250244,129.78554533833685,0.0003138081228826,0.0013837104197591,0.0002669495297595,2.792619228363037,5.183415835215446,2404484.0,0.28
1.0,0.9539999961853028,-0.0009211251162923,-2.423952309982269e-07,0.1171668022871017,0.0007315061520785,-1.411296010017395,160.1719984913083,0.0003163236251566,0.0005100946873426,0.0001499430363764,3.026390552520752,3.4019231547494098,1840781.125,0.28
1.0,1.1119999885559082,0.0010190980974584,9.034057768531056e-08,0.1536322683095932,0.0007590199820697,-1.3477373123168943,202.40872696218304,0.0003164074732922,0.0006821022252552,0.0002304785593878,-3.072756290435791,2.9595040296454824,1409249.875,0.28
1.0,1.2699999809265137,0.0023337646853178,-8.694077280324565e-08,0.21033276617527,0.0007583388360217,-1.338581085205078,277.3598768575337,0.0003069323138333,0.0009666426922194,0.0003681847592815,-2.9435014724731445,2.6254283151362308,1078859.25,0.28
1.0,1.4279999732971191,0.0027779680676758,-2.1038719921762095e-07,0.246964082121849,0.0006685043335892,-1.1858516931533811,369.4277953231645,0.0002903298300225,0.0001947597775142,5.260771285975352e-05,-3.061508893966675,3.7021145175703136,825937.4375,0.28
1.0,1.5850000381469729,0.0028826086781919,-1.2089641643342477e-07,0.3622423112392425,0.0010339251020923,-1.145380616188049,350.3564334652315,0.000311460258672,0.0034400725271552,0.0015544141642749,-1.9110369682312007,2.213099060867044,632312.4375,0.28
1.0,1.743000030517578,0.003349618287757,-1.7471283797476644e-07,0.4945588111877441,0.0010988964932039,-1.23496675491333,450.0504044250888,0.0003135565493721,0.0034514996223151,0.0025683301500976,-1.8036633729934688,1.3438691369892597,484078.09375,0.28
1.0,1.901000022888184,0.0030535324476659,9.164098457858928e-08,0.6455578804016113,0.0011289339745417,-1.1656243801116943,571.8296153357129,0.0003200130595359,0.0035128730814903,0.0056650438345968,-1.579227328300476,0.6200963636039324,370593.71875,0.28
1.0,2.059000015258789,0.0033599408343434,-7.394810097594019e-08,0.7978001236915588,0.0011881969403475,-1.17221999168396,671.4376182943201,0.0002780875656753,0.0033800043165683,0.0271542519330978,-2.2949042320251465,0.1244742195401283,283703.09375,0.28
1.0,2.2170000076293945,0.0034684357233345,-5.8103317712721045e-09,0.924081027507782,0.0011497609084472,-1.198869228363037,803.7158166699085,0.0002561186265666,0.0028836142737418,0.0112191252410411,2.453416585922241,0.2570266586554505,217203.125,0.28
1.0,2.375,0.0038119845557957,9.009517043523375e-08,0.9793915748596193,0.0010038333712145,-1.234644889831543,975.6515403294708,0.0002584664616733,0.0024063906166702,0.0041537689976394,2.0625362396240234,0.5793270203609782,166281.25,0.28
1.0,2.532000064849853,0.0037228169385343,-3.7585792256322754e-08,0.9826578497886658,0.0008194903493858,-1.276688814163208,1199.108507531606,0.0002640844613779,0.0019132386660203,0.0018964865012094,2.1290268898010254,1.008833263405889,127296.859375,0.28
1.0,2.690000057220459,0.0036043876316398,-9.573561499109928e-08,0.9666617512702942,0.0006463202880695,-1.3205486536026,1495.6388792274429,0.0002398515352979,0.0014659907901659,0.0011003470281139,2.2479820251464844,1.332298586454863,97453.1171875,0.28
1.0,2.8470001220703125,0.0034048401284962,1.7110853889334979e-07,0.9495086669921876,0.0005025991704314,-1.360160231590271,1889.196645861968,0.0002636652207002,0.0011630479712039,0.0007050200365483,2.2999155521392822,1.649666549759283,74609.375,0.28
1.0,3.005000114440918,0.00362673192285,2.680297654933384e-07,0.9367765784263612,0.0003891689993906,-1.394351601600647,2407.1202482548088,0.0002449664461892,0.0009236297919414,0.0004841720510739,2.384092330932617,1.9076478906469545,57109.375,0.28
1.0,3.1619999408721924,0.0037101141642779,-6.811789887706254e-08,0.9284008145332336,0.0003022994787897,-1.4240293502807615,3071.129392117845,0.0002361621009185,0.000786154938396,0.0003439690335653,2.482266902923584,2.285539864583931,43718.74609375,0.28
1.0,3.319000005722046,0.0036978314165025,-4.807205655765756e-08,0.9228166937828064,0.000229920449783,-1.4367064237594604,4013.6346925790494,0.0002323049557162,0.0006654863245785,0.0002482499112375,2.549591541290283,2.68071122870144,33468.75,0.28
1.0,3.476999998092652,0.0037800814025104,-7.198378426664932e-08,0.9199199080467224,0.0001786191569408,-1.455086350440979,5150.174952126808,0.000240186942392,0.000575432088226,0.0001870721025625,2.6525983810424805,3.075990916570553,25624.99609375,0.28
1.0,3.634000062942505,0.0033845917787402,3.259015954881761e-07,0.9182206392288208,0.0001379714522045,-1.467169165611267,6655.1494860529,0.0002469788887538,0.0004887282266281,0.0001413422287441,2.81824803352356,3.4577651065112565,19625.0,0.28
1.0,3.799999952316284,0.0036488662008196,-2.2396937637836345e-08,0.917222797870636,0.0001066847980837,-1.4734768867492676,8597.50230909876,0.0002380906662438,0.0004012342542409,0.0001080306319636,2.9858689308166504,3.71407856223662,15022.91015625,0.28
1.0,4.005000114440918,0.0035419659689068,9.191809624553573e-08,0.9173370599746704,8.253828127635643e-05,-1.4792553186416626,11114.079985542989,0.0002706248487811,0.0003264818224124,8.33100057207048e-05,-3.1391496658325195,3.918878886012626,11516.697265625,0.28
1.0,4.26200008392334,0.0034615183249115,-2.1659018045738779e-07,0.9179430603981018,6.368709728121758e-05,-1.4834861755371094,14413.328595348294,0.0002579633437562,0.0002637930447235,6.477673741756007e-05,3.027309894561768,4.072342251866172,8801.966796875,0.28
1.0,4.5889997482299805,0.0036439194809645,-1.5881823856034316e-07,0.9190470576286316,4.916460966342129e-05,-1.4756320714950562,18693.264604771328,0.0002468111633788,0.0001847479288699,4.991750756744296e-05,-0.0035182237625122,3.701064774123584,6740.5849609375,0.28
1.0,5.011000156402588,0.003566951258108,-7.309125038545973e-08,0.921609103679657,3.802594437729567e-05,-1.4765400886535645,24236.3238775978,0.0002889043535105,0.0001580789685249,3.8581980334129184e-05,-3.0655014514923096,4.097222774879132,5159.66845703125,0.28
1.0,5.434000015258789,0.0035300599411129,-1.7738111068865694e-07,0.9250943660736084,2.959959056170192e-05,-1.4694013595581057,31253.620354822146,0.0002795130421873,0.0001147102229879,3.016419032064732e-05,0.0444049835205078,3.80286100069475,3951.206787109375,0.28
1.0,5.85699987411499,0.0034529662225395,-9.41326305792245e-08,0.930327296257019,2.2860289391246624e-05,-1.4566960334777832,40696.216934736105,0.0002806030970532,9.119834430748595e-05,2.3276266801985912e-05,0.1384857892990112,3.918082959063908,3022.096923828125,0.28
1.0,6.28000020980835,0.0035143399145454,-1.2130475113281136e-07,0.9382893443107604,1.7767590179573745e-05,-1.434931993484497,52809.03796337285,0.0002862211258616,7.465950329788029e-05,1.8056269254884683e-05,-2.8702762126922607,4.134824433772939,2312.779296875,0.28
1.0,6.703000068664551,0.0036897824611514,9.708979398226349e-09,0.9480528235435486,1.390795750921825e-05,-1.4104140996932983,68166.21512649686,0.0002796807384584,6.784682773286477e-05,1.4155185454001185e-05,-2.956110954284668,4.7930723305138185,1772.8358154296875,0.28
1.0,7.125999927520752,0.0035772647242993,-2.94288213353866e-07,0.9592145085334778,1.0994765034411104e-05,-1.4141550064086914,87242.83834455357,0.0002868919400498,5.276160300127231e-05,1.1151888429594692e-05,-2.48136305809021,4.731181031299996,1357.1678466796875,0.28
1.0,7.549000263214111,0.0034997095353901,-8.106918159000999e-08,0.9703117609024048,8.670125680509955e-06,-1.361986756324768,111914.38240435444,0.0002598919090814,3.851388100883924e-05,8.807823178358376e-06,-2.66133713722229,4.372690076643608,1039.0057373046875,0.28
1.0,7.972000122070312,0.0034073139540851,-1.1970250568538177e-07,0.9798781871795654,6.774356734240428e-06,-1.2818583250045776,144645.20036667865,0.0002873950288631,3.406902760616504e-05,6.876276074763155e-06,-2.4406392574310303,4.954575301477916,794.2393188476562,0.28
1.0,8.394999504089355,0.0036426205188035,-2.478651310866553e-07,0.9875149726867676,5.412202426668955e-06,-1.2860642671585083,182460.83476492448,0.0001510533329565,2.294968180649448e-05,5.485334895638516e-06,-2.008110523223877,4.183825097851758,609.4149780273438,0.28
1.0,8.817999839782715,0.0037989469710737,-2.849602154242348e-08,0.9926826357841492,4.332130174589111e-06,-1.1441093683242798,229144.23061590063,0.0001667334727244,3.6718400224344805e-05,4.390489721117774e-06,-2.1496644020080566,8.363167335920028,465.7454528808594,0.28
1.0,9.23900032043457,0.0037016472779214,-5.151198223529718e-08,0.9960951805114746,3.515091975714313e-06,-1.076144456863403,283376.7046192454,0.0001654757070355,2.485536424501333e-05,3.552875796231092e-06,-1.4714386463165283,6.995843837654,356.4826965332031,0.28
1.0,9.663999557495115,0.0036522638984024,8.990105726525145e-08,0.998364269733429,3.00543479170301e-06,-0.9391462802886964,332186.3021249289,0.0001809881359804,2.513254548830446e-05,3.034210067198728e-06,-1.4729235172271729,8.283060477585048,273.33795166015625,0.28
1.0,10.08899974822998,0.0036632472183555,-1.0437367414795062e-08,0.999625563621521,2.3867621621320723e-06,-0.917444348335266,418820.7687726057,0.0001467769325245,2.457003756717313e-05,2.4098924313875614e-06,-1.8085689544677732,10.195491403334657,209.26370239257807,0.28
1.0,10.51200008392334,0.0037096547894179,9.342330287154257e-08,1.0007610321044922,1.949140369106317e-06,-0.6549710631370544,513437.127446774,0.0001257303374586,1.6269736079266295e-05,1.957078438863391e-06,-0.9654126763343812,8.313277463071557,160.2567596435547,0.28
1.0,10.942999839782717,0.0038578475359827,-4.321882585145431e-08,1.0010656118392944,1.9815945506707067e-06,-0.5374170541763306,505181.8554408447,0.0001502148224972,3.016026494151447e-05,1.989059683182859e-06,-0.727944552898407,15.16307690338006,122.6834945678711,0.28
1.0,11.373000144958496,0.0038715978153049,-2.15885108900693e-07,1.0015720129013062,1.5320284774134052e-06,-0.4460992813110351,653755.4801803075,0.00014686078066,3.183921944582835e-05,1.5367274954769528e-06,-0.9700169563293456,20.718845429355994,93.71041870117188,0.28
1.0,11.786999702453612,0.0035998194944113,-4.5250178715150475e-08,1.001595139503479,1.980036813620245e-06,-0.5344140529632568,505846.72598697286,0.0001766278874129,2.495869921403937e-05,1.9816939129668758e-06,-0.786094069480896,12.59462879243176,71.7684555053711,0.28
1.0,12.211000442504885,0.0038593565113842,-5.0952948527083215e-08,1.0016531944274902,1.6157212030520895e-06,-0.2219074219465255,619941.8516854097,0.0001466930843889,2.174553446820937e-05,1.615051246517396e-06,-0.1103234887123107,13.464299981254586,54.94721221923828,0.28
1.0,12.616000175476074,0.003750609466806,1.2145244454586648e-07,1.0018872022628784,1.5985577874744197e-06,-0.1625247597694397,626744.4380886423,0.0001290843792958,2.9664155590580776e-05,1.5979154568412923e-06,-0.3379093408584595,18.564283525500105,42.11589431762695,0.28
1.0,13.013999938964844,0.0034963958896696,-5.391612134530988e-08,1.001975178718567,1.4063725757296195e-06,-0.4428804516792297,712453.581654027,0.0001332769315922,2.492646490281913e-05,1.4069757980905706e-06,-0.7005150318145752,17.71634233982364,32.19432830810547,0.28
1.0,13.447999954223633,0.0038599399849772,1.3447927926790726e-07,1.002007246017456,1.5228443999149022e-06,-0.3369747996330261,657983.9976253969,0.0001542396639706,2.7797645088867284e-05,1.522989464319835e-06,-0.4388174414634704,18.252027174253417,24.660675048828125,0.28
1.0,13.90000057220459,0.0037656577769666,-2.4899243555864814e-08,1.0020430088043213,1.5272736391125363e-06,0.0212100446224212,656099.1973819345,0.0001656434033066,1.6042818970163353e-05,1.5221614830807084e-06,-0.6085636615753174,10.539498698715086,18.87075424194336,0.28
1.0,14.343000411987305,0.0035558377858251,1.921216750133681e-07,1.0021166801452637,1.5496212881771498e-06,-0.4894486665725708,646684.8950714102,0.000161283154739,2.869713534892071e-05,1.54927897710877e-06,-0.3592704534530639,18.52289727862613,14.467611312866213,0.28
1.0,14.737000465393066,0.0036769728176295,1.5458170299353922e-09,1.0020194053649902,1.544075416859414e-06,-0.1334113478660583,648944.6010370767,0.0001458545739296,1.5386260201921687e-05,1.545965005789185e-06,1.4460572004318235,9.952528125995515,11.065899848937988,0.28
1.0,15.243000030517578,0.0038568486925214,-1.6422502824298138e-07,1.00214946269989,1.371702524011198e-06,-0.2617932260036468,730588.0430761015,0.0001675719686318,2.305956331838388e-05,1.3711293149754056e-06,-0.5030102133750916,16.817934724703562,8.473396301269531,0.28
1.0,15.589000701904297,0.0036696491297334,4.433499611877778e-08,1.0022687911987305,1.3439367876344477e-06,-0.0453662872314453,745770.7835819349,0.0001305936893913,3.491386087262072e-05,1.3432013474812263e-06,-0.3811764717102051,25.99302103001255,6.488784790039063,0.28
1.0,16.03499984741211,0.0037171908188611,-6.506071059675378e-08,1.0019925832748413,1.5272883047146024e-06,-0.1255032420158386,656059.8808894036,0.0001505502295913,2.7887217584066093e-05,1.5262335182342213e-06,0.1179452538490295,18.27192054878356,4.969782829284668,0.28
1.0,16.607999801635742,0.0038254281971603,5.563775928862925e-08,1.002034068107605,1.388384134770604e-06,-0.0370334312319755,721726.8211388531,0.0001112241006921,0.0001066832846845,1.388145619785064e-06,-0.0385162830352783,76.85309319426338,3.814697265625,0.28
1.0,17.35099983215332,0.0039345948025584,-2.8891284031828945e-08,1.0020203590393066,1.4566427353202016e-06,-0.0652040541172027,687897.1313573612,0.0001132532488554,0.0001171435433207,1.4564070625056047e-06,-0.0662617683410644,80.43324310661751,2.915114164352417,0.28
1.0,18.312000274658203,0.0040103029459714,-2.2375750141634403e-09,1.0020076036453247,1.4167769677442266e-06,0.0047277808189392,707244.4191697356,0.0001215137381223,9.681278606876732e-05,1.4164551203066369e-06,0.0306094884872436,68.34864351212843,2.232141733169556,0.28
1.0,19.56399917602539,0.0038758697919547,5.711522632623201e-08,1.0019713640213013,1.3580065569840372e-06,-0.0658196210861206,737825.1296860852,0.0001273420784855,0.0001050236242008,1.357777136945515e-06,-0.0259184315800666,77.34967789861523,1.7087682485580444,0.28
