Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0525823421776294,-5.211679194871977e-07,0.0092203021049499,0.0001891016145236,0.9545639157295228,48.75845258209257,8.103635627776384e-05,0.0005165191832929,0.0001221538841491,1.670650839805603,4.228430286034024,6999983.5,0.56
1.0,0.3240000009536743,-0.0310490280389785,-3.653110809409554e-07,0.0053213569335639,0.0002937600074801,0.4129371643066406,18.114640516283867,0.0001203624779009,0.0011046606814488,0.0002169617655454,1.589517593383789,5.091499318655845,5358937.0,0.56
1.0,0.481000006198883,-0.003896313952282,-1.027416445253948e-07,0.0096660014241933,0.0003741128894034,-1.7309575080871582,25.83712483043772,0.0001184338980237,0.0016185026615858,0.0002748583210632,1.88632071018219,5.888497955328535,4102609.0,0.56
1.0,0.6389999985694885,0.0306198559701442,-3.553569172254356e-08,0.045210126787424,0.0007195639773271,-1.380661964416504,62.82989172881606,0.0001788066001608,0.0021050085779279,0.000431576219853,2.3298864364624023,4.877489725093915,3140812.25,0.56
1.0,0.796999990940094,-0.0071043306961655,-3.1728089311400254e-07,0.076230876147747,0.0005639822920784,-1.5551913976669312,135.16537171196376,0.0001236326643265,0.0013790418161079,0.0002724645892158,2.8543472290039062,5.061361625292197,2404484.0,0.56
1.0,0.9550000429153442,-0.003510421141982,-2.237216278899723e-07,0.1165950670838356,0.0007347220089286,-1.3851771354675293,158.69276497358513,0.0001212848364957,0.0005399689543992,0.0001566482387715,3.027867794036865,3.4470158019876846,1840781.125,0.56
1.0,1.1130000352859497,-0.0015963988844305,-2.583836931080441e-07,0.1526406109333038,0.0007604888523928,-1.326294183731079,200.7138046179367,9.285934356739745e-05,0.0006752628833055,0.0002255184808745,-3.075117588043213,2.994268499356542,1409249.875,0.56
1.0,1.2710000276565552,-0.000726941099856,-2.2555830980763858e-07,0.2082188874483108,0.0007576112984679,-1.3103119134902954,274.8360377800193,8.690592221682891e-05,0.0009438905981369,0.0003504055785015,-2.9409921169281006,2.6937088221408847,1078859.25,0.56
1.0,1.4290000200271606,-0.0002486555604264,-3.1967098834684293e-07,0.2439991235733032,0.0006695846677757,-1.1567177772521973,364.4036898034377,8.774443267611787e-05,0.0001894290180644,5.069266626378521e-05,-3.0684735774993896,3.736813074275597,825937.4375,0.56
1.0,1.5859999656677246,0.0003123871865682,-3.384396336514328e-07,0.3546154201030731,0.00102679815609,-1.0978914499282837,345.3603982436085,0.000116840681585,0.0033468194305896,0.0015117686707526,-1.9389455318450928,2.213843622598316,632312.4375,0.56
1.0,1.7440000772476196,0.0004179893294349,-1.5473548842237508e-07,0.4796865284442901,0.0010827548103407,-1.1815959215164185,443.0241490161108,0.0001035922250594,0.003323724027723,0.0025421844329684,-1.860541820526123,1.3074283614591946,484078.09375,0.56
1.0,1.902000069618225,0.0004034911107737,-5.4599315291170576e-08,0.6202172636985779,0.0011048815213143,-1.0999528169631958,561.3427790526886,9.168537508230656e-05,0.0033646172378212,0.0057426923885941,-1.713742971420288,0.5858954319935117,370593.71875,0.56
1.0,2.059999942779541,0.0006127670640125,-1.8040435634247842e-07,0.7588997483253479,0.0011547360336408,-1.0902730226516724,657.2062585875926,8.11201534816064e-05,0.0032242052257061,0.0171061679720878,-2.891578435897827,0.1884820277087795,283703.09375,0.56
1.0,2.2179999351501465,0.0004606344737112,9.640743314776047e-08,0.8757932782173157,0.0011174065293744,-1.095745325088501,783.7731883557437,5.948660691501573e-05,0.0027799643576145,0.0074090459384024,2.5196850299835205,0.3752121907093952,217203.125,0.56
1.0,2.375999927520752,0.0006844552117399,-9.87855059975118e-08,0.9330578446388244,0.0009856857359409,-1.103158950805664,946.607839209654,5.780959327239543e-05,0.0023849906865507,0.0032703313045203,2.1876776218414307,0.7292810619077392,166281.25,0.56
1.0,2.5339999198913574,0.000646264583338,-5.78622199043366e-08,0.9437910914421082,0.0008177777053788,-1.109286904335022,1154.0924694259093,6.275681516854092e-05,0.0019358170684427,0.0016144369728863,2.278971672058105,1.1990663624246714,127296.859375,0.56
1.0,2.690999984741211,0.0006276931962929,-4.1931865979449874e-08,0.9351935386657716,0.0006576676387339,-1.107271432876587,1421.985032540188,5.521023558685556e-05,0.0015343405539169,0.0009951137471944,2.386081457138061,1.5418745427272609,97453.1171875,0.56
1.0,2.8480000495910645,0.0008019197848625,-9.978786863484856e-08,0.9231387972831726,0.0005239749443717,-1.089984893798828,1761.799504344732,4.674128649639897e-05,0.0012325949501246,0.0006554930587299,2.5168795585632324,1.88040885209814,74609.375,0.56
1.0,3.005000114440918,0.0004653299110941,2.7825842963125073e-08,0.9138785004615784,0.000418354087742,-1.0520141124725342,2184.4617448200243,4.053631346323528e-05,0.001039202674292,0.0004652182105928,2.6521413326263428,2.2337962070910478,57109.375,0.56
1.0,3.1619999408721924,0.0006647092523053,7.079913189045328e-08,0.9075236320495604,0.0003390868660062,-0.997454047203064,2676.3750620551,4.305184484110214e-05,0.0009022863814607,0.0003500297898426,2.811566114425659,2.577741688403992,43718.74609375,0.56
1.0,3.319000005722046,0.0004902729997411,1.844643193749107e-08,0.9031490683555604,0.000275890371995,-0.9053272008895874,3273.5795085004825,4.112327587790787e-05,0.0007873681606724,0.0002704023791011,3.005092144012451,2.911838879856807,33468.75,0.56
1.0,3.476999998092652,0.0005926038138568,-4.030055578141401e-08,0.900796353816986,0.0002336868928978,-0.8141657114028931,3854.714924943836,4.07040206482634e-05,0.0006672669551335,0.0002208360965596,-3.027388334274292,3.0215484041273504,25624.99609375,0.56
1.0,3.634999990463257,0.0006393052753992,-7.090228137940359e-08,0.8993370532989502,0.000203717907425,-0.7107468247413635,4414.61953279672,3.818848927039653e-05,0.0005865997518412,0.0001893359149107,-2.7695634365081787,3.098195881736045,19625.0,0.56
1.0,3.8010001182556152,0.0008644664776511,-2.441841502331954e-07,0.8992865085601807,0.0001823790807975,-0.6056859493255615,4930.864354769152,4.414191425894387e-05,0.000472389452625,0.0001675224775681,-2.509819984436035,2.819857128921443,15022.91015625,0.56
1.0,4.00600004196167,0.0005189058138057,2.5297874017837785e-08,0.8993077874183655,0.0001681142894085,-0.5070717334747314,5349.383390205913,7.575374183943495e-05,0.0003930027596652,0.0001542450481792,-2.269670963287353,2.547911678878875,11516.697265625,0.56
1.0,4.263000011444092,0.0006227457779459,-2.072476377179555e-07,0.9001541137695312,0.0001587873557582,-0.4206406474113464,5668.928167932943,8.246182551374659e-05,0.000288105715299,0.0001451789721613,-2.252591848373413,1.9844865341709317,8801.966796875,0.56
1.0,4.590000152587891,0.0006060610176064,-1.2696234819031818e-07,0.902035355567932,0.0001525685220258,-0.3487776517868042,5912.329382172363,6.53562237857841e-05,0.0002487303281668,0.0001397723244735,-2.027757167816162,1.779539183480077,6740.5849609375,0.56
1.0,5.01200008392334,0.0008215804118663,-8.154569286489277e-08,0.904710292816162,0.0001484823442297,-0.2958650588989258,6093.049631655561,9.529102680971846e-05,0.0001768858492141,0.0001348658115603,-1.9004817008972168,1.3115692343946443,5159.66845703125,0.56
1.0,5.434999942779541,0.0005515208467841,9.623445151873966e-09,0.9093875885009766,0.0001461997453588,-0.2532520294189453,6220.1721779238505,9.529102680971846e-05,0.000132245288114,0.0001329420047113,-1.8161256313323972,0.9947592440868,3951.206787109375,0.56
1.0,5.857999801635742,0.0006819812697358,4.4100779916789186e-08,0.9159595966339112,0.0001446510868845,-0.2267168760299682,6332.199891211041,8.18748667370528e-05,0.0001096994747058,0.0001319850707659,-1.6919578313827517,0.8311506299101042,3022.096923828125,0.56
1.0,6.281000137329102,0.0008227962534874,2.9415190283543783e-08,0.9251445531845092,0.0001439602783648,-0.2137016803026199,6426.387637567441,9.67164960457012e-05,0.0001027848120429,0.0001330975646851,-1.6422392129898071,0.7722516357537588,2312.779296875,0.56
1.0,6.703999996185303,0.0007700595306232,-1.2414879790867417e-07,0.9373770356178284,0.0001433381694369,-0.2107418775558471,6539.619134946931,0.000103424572444,7.38904345780611e-05,0.0001319868606515,-1.430376410484314,0.5598317454731321,1772.8358154296875,0.56
1.0,7.127000331878662,0.0006371673080138,-1.1138300237689692e-07,0.9508622884750366,0.0001431151176802,-0.2175837308168411,6644.038057525545,9.705189586384222e-05,5.2949453674955294e-05,0.0001306552876485,-1.7158470153808594,0.4052607026313676,1357.1678466796875,0.56
1.0,7.550000190734863,0.0003938955487683,-6.626417103916539e-08,0.9644798636436462,0.0001422780187567,-0.2314647436141967,6778.839571082769,8.623511530458927e-05,4.307258132030256e-05,0.000129895779537,-1.3268625736236572,0.3315933856651696,1039.0057373046875,0.56
1.0,7.973000049591064,0.0006468935171142,-9.813266643732277e-08,0.9766653776168824,0.0001401916524628,-0.2564249336719513,6966.64430769812,9.076307469513269e-05,2.500639129721094e-05,0.0001241575519088,-0.5366553664207458,0.2014085403002001,794.2393188476562,0.56
1.0,8.395999908447266,0.001063218107447,-2.452858325341367e-07,0.985873818397522,0.0001368797384202,-0.2884443998336792,7202.481753513389,-4.03799131163396e-05,3.156415914418176e-05,0.000127967170556,-1.5154399871826172,0.2466582562310399,609.4149780273438,0.56
