Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0520492643117904,-4.979656296200119e-07,0.0091861998662352,0.0001903787342598,1.0214271545410156,48.25223732024676,7.376624125754461e-05,0.0005066331941634,0.0001213188370456,1.6912853717803955,4.176047236363056,6999983.5,0.8
1.0,0.3230000138282776,-0.0303716138005256,-3.970488933191519e-07,0.0052605150267481,0.0002942372520919,0.4448976218700409,17.878480679610067,0.0001222321152454,0.0011127452598884,0.0002177777059841,1.5908832550048828,5.10954624514803,5358937.0,0.8
1.0,0.4800000190734863,-0.003595064394176,-1.6133454039390926e-07,0.0097129866480827,0.0003744364366866,-1.7736512422561646,25.940281704503924,0.0001234060327988,0.0016089542768895,0.0002751646970864,1.889746069908142,5.847240921258644,4102609.0,0.8
1.0,0.6370000243186951,0.0310408752411603,-3.17898631863045e-08,0.0451331846415996,0.0007203561835922,-1.385592699050903,62.65398377859704,0.0001823532656999,0.0021055878605693,0.0004315879195928,2.3315372467041016,4.878699715589084,3140812.25,0.8
1.0,0.7940000295639038,-0.0064480039291083,-2.3017433647964938e-07,0.0760210379958152,0.0005642882897518,-1.5737295150756836,134.72021194918838,0.0001343905023531,0.0013913885923102,0.0002738535113167,2.8561718463897705,5.08077689280076,2404484.0,0.8
1.0,0.9520000219345092,-0.0029307273216545,-3.830441244190297e-07,0.1172644644975662,0.0007339267758652,-1.400917887687683,159.77679021087394,0.0001333842956228,0.0005588671192526,0.0001606737787369,3.0283658504486084,3.478272084255845,1840781.125,0.8
1.0,1.1100000143051147,-0.0012284098193049,-2.989179108681128e-07,0.1534887254238128,0.0007594260969199,-1.338599681854248,202.1114708150425,0.0001188780806842,0.0006664984975941,0.0002205466444138,-3.0781311988830566,3.0220296453184745,1409249.875,0.8
1.0,1.2669999599456787,-7.044680387480184e-05,-3.43061032026526e-07,0.2095781415700912,0.0007578873774036,-1.3255934715270996,276.5293997744771,0.0001241606951225,0.0009501477470621,0.0003537461452651,-2.939593553543091,2.685959295329967,1078859.25,0.8
1.0,1.4240000247955322,0.0005841616657562,-4.621276445959666e-07,0.2427272051572799,0.0006694011972285,-1.1607186794281006,362.6034822796945,9.556750592309982e-05,0.0002200874587288,5.7499164540786296e-05,-3.072507381439209,3.8276635927935336,825937.4375,0.8
1.0,1.5809999704360962,0.0007796884747222,-3.2598998700450466e-07,0.3599277436733246,0.0010332275414839,-1.130884051322937,348.35283538453723,0.0001412662531947,0.0033736696932464,0.0015117115108296,-1.938790798187256,2.231688830228602,632312.4375,0.8
1.0,1.7380000352859497,0.0007043565856292,6.8616103909846515e-09,0.489121675491333,0.0010932353325188,-1.2138656377792358,447.4074894418166,0.0001322941971011,0.0033523694146424,0.0025016532745212,-1.858405828475952,1.3400615699967584,484078.09375,0.8
1.0,1.8960000276565552,0.0008831602754071,-7.843510019256429e-08,0.635477602481842,0.0011191252851858,-1.1391175985336304,567.8341923766799,0.0001035332970786,0.0033989662770181,0.0054352865554392,-1.6994068622589111,0.6253518084739718,370593.71875,0.8
1.0,2.053999900817871,0.0012277169153094,-1.5470108394310958e-07,0.7817623615264893,0.0011738986941054,-1.1385819911956787,665.95385568788,9.908919309964404e-05,0.0032695734407752,0.0179534535855054,-2.6348352432250977,0.1821138994346429,283703.09375,0.8
1.0,2.2109999656677246,0.0014169114874675,-4.269942621704104e-07,0.9036587476730348,0.0011355458991602,-1.1568059921264648,795.7923570868743,8.44991227495484e-05,0.0027969481889158,0.0087082926183938,2.598784923553467,0.3211821549275982,217203.125,0.8
1.0,2.368000030517578,0.00126934715081,-2.682639603790449e-07,0.9599952101707458,0.0009952672990038,-1.1808122396469116,964.5601851196608,7.527552952524275e-05,0.0023972017224878,0.0036667101085186,2.130657434463501,0.6537745421757131,166281.25,0.8
1.0,2.526000022888184,0.0014955986989662,-2.870153537060105e-07,0.9667230248451232,0.0008177441777661,-1.2089589834213257,1182.182705948392,7.158609514590353e-05,0.0018947144271805,0.0017570569179952,2.229668617248535,1.0783455036518907,127296.859375,0.8
1.0,2.684000015258789,0.0012132141273468,-9.74319718238803e-08,0.9538729786872864,0.00064923602622,-1.233534812927246,1469.2237339953504,7.745567563688383e-05,0.001501124119386,0.0010356409475207,2.320223331451416,1.4494638542244636,97453.1171875,0.8
1.0,2.8410000801086426,0.0013138679787516,6.7172534201631615e-09,0.9389533996582032,0.0005085244774818,-1.249872803688049,1846.427146059514,6.890287477290258e-05,0.0011880010133609,0.0006740185199305,2.4083468914031982,1.762564348355506,74609.375,0.8
1.0,2.997999906539917,0.0014999165432527,-3.337396208280552e-07,0.9275468587875366,0.0003969777317252,-1.252552151679993,2336.521131189319,8.575693209422752e-05,0.0009964206255972,0.0004659631231334,2.503338098526001,2.1384109087790657,57109.375,0.8
1.0,3.1549999713897705,0.0011523433495312,3.5817489418832344e-08,0.9201107025146484,0.0003116704174317,-1.2451093196868896,2952.191324722563,7.670102786505595e-05,0.0008233857224695,0.000340650731232,2.6169915199279785,2.417096594777982,43718.74609375,0.8
1.0,3.312999963760376,0.0013756186235696,-1.5142875042784e-07,0.9152219891548156,0.0002410686429357,-1.2088985443115234,3796.520269120496,6.881903391331434e-05,0.0007062987424433,0.0002492487546987,2.7550618648529053,2.8337102157115464,33468.75,0.8
1.0,3.470000028610229,0.0011536009842529,-5.964597704632979e-08,0.912243902683258,0.0001914912572829,-1.1674201488494873,4763.893222213939,7.267617911566049e-05,0.0006125411600805,0.0001918631896842,2.9274702072143555,3.192593436441437,25624.99609375,0.8
1.0,3.627000093460083,0.0013884466607123,-2.418238409518381e-08,0.910898983478546,0.00015313187032,-1.1078159809112549,5948.461163405378,7.183766865637153e-05,0.0005240288446657,0.0001507109118392,-0.0084637403488159,3.4770464744092635,19625.0,0.8
1.0,3.7920000553131104,0.0013057348551228,1.527305641957355e-07,0.9105339646339417,0.000124221041915,-1.0329322814941406,7329.94950450453,6.445877806982026e-05,0.0004345694615039,0.0001205099470098,-2.869873523712158,3.606087898026181,15022.91015625,0.8
1.0,3.996999979019165,0.0014410163275897,-3.5535652642693094e-08,0.9105446934700012,0.0001027898179017,-0.9421080350875854,8858.316047800981,0.0001290240470552,0.0003456810663919,9.96236049104482e-05,-2.6759636402130127,3.469871088310073,11516.697265625,0.8
1.0,4.254000186920166,0.0012434812961146,-1.965361207112437e-07,0.9111193418502808,8.709343092050403e-05,-0.839709997177124,10461.401419378231,9.816688543651252e-05,0.0002737345639616,8.47944975248538e-05,-2.673865795135498,3.2282114046538437,8801.966796875,0.8
1.0,4.580999851226807,0.0012174895964562,2.974669932598317e-08,0.912669599056244,7.604934216942638e-05,-0.7325664758682251,12001.018983477265,8.265444921562448e-05,0.0002139251737389,7.336877752095461e-05,-2.353226661682129,2.9157521900630403,6740.5849609375,0.8
1.0,5.002999782562256,0.0010983903193846,2.4658499242491416e-08,0.9152021408081056,6.841526919743046e-05,-0.6250947117805481,13377.162021639442,0.0001147693837992,0.0001611475599929,6.595942977583036e-05,-2.254013538360596,2.4431314906851824,5159.66845703125,0.8
1.0,5.426000118255615,0.0012721557868644,-3.022246346517932e-07,0.919205129146576,6.280719389906153e-05,-0.52734375,14635.347833304662,0.0001166141082649,0.0001159067105618,6.063773616915569e-05,-2.168954610824585,1.911461704943864,3951.206787109375,0.8
