Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0537171624600887,-3.806493964475522e-07,0.0091690486297011,0.0001923390082083,1.0275605916976929,47.67128995366424,9.060369484359398e-05,0.0005050601903349,0.0001222422288265,1.6869966983795166,4.131634339322477,6999983.5,0.43
1.0,0.3230000138282776,-0.0321035683155059,-3.1428459124072106e-07,0.0054605086334049,0.0002937411773018,0.4798353016376495,18.589523891618537,0.0001074577448889,0.0011117184767499,0.0002178848371841,1.594994068145752,5.102321442453622,5358937.0,0.43
1.0,0.4800000190734863,-0.0055493307299911,-4.091191274646633e-10,0.0096195954829454,0.0003743229899555,-1.748760461807251,25.69864993888804,0.0001108117794501,0.001606881734915,0.0002755534660536,1.880323052406311,5.831469870177742,4102609.0,0.43
1.0,0.6380000114440918,0.0294623542577028,-4.7610029696443245e-07,0.0448556244373321,0.0007222865824587,-1.3856990337371826,62.10225349145674,0.0001758801372488,0.0020693007390946,0.0004298623243812,2.3309810161590576,4.813868584722353,3140812.25,0.43
1.0,0.7960000038146973,-0.0081504881381988,-2.9815993229931337e-07,0.0754998475313186,0.0005658079753629,-1.5738004446029663,133.43722750263953,0.0001367217337246,0.0013688792241737,0.0002717577153816,2.8558919429779053,5.037131042447656,2404484.0,0.43
1.0,0.9539999961853028,-0.0045879357494413,-3.9655552086514955e-07,0.1165509521961212,0.0007361568277701,-1.4035793542861938,158.32353623501018,0.0001317745336564,0.0005236212164163,0.0001538676588097,3.032094240188598,3.403062218966767,1840781.125,0.43
1.0,1.1109999418258667,-0.0030590062960982,-3.531685308644228e-07,0.1532565206289291,0.0007607866427861,-1.3450535535812378,201.4448098979244,0.0001273304369533,0.0007070193532854,0.0002403667895123,-3.0631887912750244,2.941418632415298,1409249.875,0.43
1.0,1.2680000066757202,-0.0021708095446228,7.24806825669333e-10,0.2092124223709106,0.0007599742384627,-1.33089280128479,275.28883451904824,0.0001280012365896,0.0009908000938594,0.0003743171982932,-2.926657199859619,2.646953168000382,1078859.25,0.43
1.0,1.4259999990463257,-0.0012798046227544,-2.2134553034902643e-07,0.2433632463216781,0.0006738891243003,-1.1691497564315796,361.1324734975526,0.0001031813517329,0.0001851764391176,5.0305272452533245e-05,-3.0639333724975586,3.6810542929146832,825937.4375,0.43
1.0,1.5839999914169312,-0.0012148218229413,-3.249464270993485e-07,0.3608471751213074,0.0010414080461487,-1.1500978469848633,346.4993154755949,0.0001306844351347,0.0034608317073434,0.0015454193344339,-1.9140644073486328,2.239412714873939,632312.4375,0.43
1.0,1.741000056266785,-0.0007035843445919,-3.675434641081665e-07,0.4932512640953064,0.0011045011924579,-1.2365721464157104,446.5828262236797,0.000118526040751,0.0034528826363384,0.0025541100185364,-1.812865138053894,1.3518926793596138,484078.09375,0.43
1.0,1.89900004863739,-0.0006887369672767,-2.982324929234892e-07,0.6440026760101318,0.0011346942046657,-1.1661925315856934,567.5561515711224,0.0001065353426383,0.003510222537443,0.005449793767184,-1.5940489768981934,0.6441019031912506,370593.71875,0.43
1.0,2.055999994277954,-0.0007736265542916,-2.642993024437601e-07,0.7964217066764832,0.0011943592689931,-1.1717078685760498,666.8192120683061,0.0001066191907739,0.0033699686173349,0.0227899011224508,-2.2682676315307617,0.1478711381514127,283703.09375,0.43
1.0,2.21399998664856,-0.0007853211718611,1.824739683797816e-07,0.9224166870117188,0.0011566372122615,-1.1981089115142822,797.4987119843131,9.731173486215994e-05,0.0028688590973615,0.0115933800116181,2.55739426612854,0.2474566601359206,217203.125,0.43
1.0,2.371999979019165,-0.0009534268756397,1.1842040237297624e-08,0.9784656763076782,0.0010103420354425,-1.2324917316436768,968.4499327785082,9.261609375244008e-05,0.0024287023115903,0.0041333734989166,2.058595895767212,0.5875835591017571,166281.25,0.43
1.0,2.5290000438690186,-0.000914271804504,-3.3896238704755894e-08,0.9821742177009584,0.0008254771819338,-1.2747455835342407,1189.826005123544,8.322478970512748e-05,0.0018998143495991,0.001895343302749,2.1712453365325928,1.0023589641220143,127296.859375,0.43
