Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0534862168133258,-1.0529651461865797e-07,0.0095478678122162,0.0001949671423062,1.029171586036682,48.97167645416792,1.3735381799051538e-05,0.000517199281603,0.0001238113472936,1.698221206665039,4.177317288829396,6999983.5,0.88
1.0,0.3230000138282776,-0.0318010188639164,-1.3912105600866198e-07,0.0051172142848372,0.0002870487805921,0.4452092051506042,17.82698492667639,3.645900142146274e-05,0.0011296775192022,0.0002144715545,1.5842450857162476,5.26726036856307,5358937.0,0.88
1.0,0.481000006198883,-0.0049773082137107,2.2737244975701287e-08,0.009829668328166,0.0003783178108278,-1.5761854648590088,25.982568218651718,3.545278013916686e-05,0.0016376374987885,0.000273371086223,1.90376877784729,5.990529289013185,4102609.0,0.88
1.0,0.6389999985694885,0.0298352073878049,-2.2801251020609925e-07,0.0464283004403114,0.0007212173077277,-1.3287421464920044,64.37491161517622,9.616090392228216e-05,0.0021311659365892,0.0004282195295672,2.3560376167297363,4.976806963341381,3140812.25,0.88
1.0,0.7960000038146973,-0.0078018670901656,-1.631390205147909e-07,0.0708563104271888,0.000594621466007,-1.4974576234817505,119.16204590290518,3.704595292219892e-05,0.0013701602583751,0.000277278071735,2.8666234016418457,4.941466340274931,2404484.0,0.88
1.0,0.953000009059906,-0.0044856467284262,-2.2060909543597523e-07,0.1032038927078247,0.0007497312617488,-1.3640434741973877,137.65451432169397,3.553664646460675e-05,0.0004749736399389,0.0001400978508172,3.004876613616944,3.390299259897557,1840781.125,0.88
1.0,1.1109999418258667,-0.002377652330324,-1.5724394586413837e-07,0.149061307311058,0.0007637812523171,-1.3169742822647097,195.16230184865304,2.9331669793464243e-05,0.0006680015940219,0.0002233889827039,-3.079108238220215,2.990306799988066,1409249.875,0.88
1.0,1.2690000534057615,-0.0013708170736208,-2.7690180104400497e-07,0.2136252075433731,0.0007530902512371,-1.317739725112915,283.6648159930846,2.1365820430219173e-05,0.0009535427088849,0.0003471422242,-2.9248225688934326,2.746835856923488,1078859.25,0.88
1.0,1.4259999990463257,-0.0009826614987105,-1.366246777934066e-07,0.2698618471622467,0.0006415189127437,-1.1431666612625122,420.6607814694773,1.5412402717629448e-05,0.0001735094556352,4.65226621599868e-05,-3.071625232696533,3.7295685066028814,825937.4375,0.88
1.0,1.5839999914169312,-0.0006041478482075,-3.2982930520120135e-07,0.3463237881660461,0.0010292902588844,-1.0739846229553225,336.46853759346794,3.922603355022147e-05,0.00338642927818,0.0014907720033079,-1.9267792701721191,2.271594362293972,632312.4375,0.88
1.0,1.7419999837875366,-0.0005061335978098,-5.832908556158146e-08,0.4695287644863128,0.0010824832133948,-1.1621544361114502,433.751543373849,2.522291470086202e-05,0.0033105402253568,0.0024740882217884,-1.8608018159866333,1.3380849543690796,484078.09375,0.88
1.0,1.899999976158142,-0.000458965281723,-7.69627632735137e-08,0.6051450371742249,0.0011031631147488,-1.0719027519226074,548.554451362317,2.497135938028805e-05,0.0033501191064715,0.0057916496880352,-1.7308237552642822,0.5784395270647019,370593.71875,0.88
1.0,2.056999921798706,-8.485282160108909e-05,-2.097190474614763e-07,0.7407014966011047,0.001155930920504,-1.0595674514770508,640.7835307996851,-6.870487254673208e-07,0.0032048751600086,0.0150547763332724,-2.947285413742065,0.2128809547921078,283703.09375,0.88
1.0,2.21399998664856,-0.0003250629233662,-7.374253385705742e-08,0.8569685816764832,0.0011242354521527,-1.0591659545898438,762.2678861758732,-1.812805021472741e-05,0.0027777871582657,0.006990470457822,2.557673454284668,0.3973676986442974,217203.125,0.88
1.0,2.371999979019165,-0.0002715280279517,3.5975183720893256e-08,0.9169976115226746,0.0010010710684582,-1.059503197669983,916.016495147477,-8.401325430895668e-06,0.002409681212157,0.0031735377851873,2.23227858543396,0.7593044026147446,166281.25,0.88
1.0,2.5299999713897705,-0.0002456202637404,9.0335142033382e-08,0.931388258934021,0.0008397902711294,-1.0567848682403564,1109.0724564853183,-5.969632184132934e-06,0.0019676014780998,0.0016085180686786,2.3265388011932373,1.2232386545188867,127296.859375,0.88
1.0,2.687999963760376,-0.0001287007617065,-2.878201996736607e-07,0.925820767879486,0.0006836159736849,-1.0450140237808228,1354.2994949181457,-1.3432363630272448e-05,0.0015664843376725,0.0009923822944983,2.464730978012085,1.5785089540159487,97453.1171875,0.88
1.0,2.845000028610229,-0.0002405897976132,-8.504405002440762e-08,0.9154366850852966,0.0005516167730093,-1.0159997940063477,1659.5519387331292,-6.388872861862183e-06,0.0012735992204397,0.0006688317516818,2.5889370441436768,1.9042146507505977,74609.375,0.88
1.0,3.002000093460083,-0.0001448828988941,-8.328377276711764e-08,0.9072526693344116,0.0004484242235776,-0.967719793319702,2023.20173985294,-2.9447899578372017e-05,0.0010705386521294,0.0004856379237025,2.734358549118042,2.2043967323792946,57109.375,0.88
1.0,3.1600000858306885,-0.0001510452275397,4.548172505280945e-09,0.9014785885810852,0.0003716040810104,-0.9050725698471068,2425.911432753464,-2.3913729819469157e-05,0.0009219743078574,0.0003731700126081,2.9136688709259038,2.4706548669695207,43718.74609375,0.88
1.0,3.318000078201294,-7.508320413762704e-05,-2.374667644744477e-07,0.8973339796066284,0.0003111078694928,-0.8082267045974731,2884.317844705852,-4.69727601739578e-05,0.0007906648679636,0.0002963198930956,3.1214020252227783,2.668281429584753,33468.75,0.88
1.0,3.4750001430511475,-0.0002013092307606,-1.0654850512992199e-07,0.8952947854995728,0.0002714281727094,-0.7226843237876892,3298.4593182154235,-4.294790778658353e-05,0.0006903637549839,0.0002503800205886,-2.9318830966949463,2.757263751959784,25624.99609375,0.88
1.0,3.633000135421753,-0.0001079079447663,7.77058701828537e-08,0.8942784070968628,0.0002427632280159,-0.6321344375610352,3683.747387961154,-4.579884262057021e-05,0.0005994020029902,0.0002207827928941,-2.703195810317993,2.7148945582800192,19625.0,0.88
1.0,3.799000024795532,-0.0001639996480662,-7.110686084388362e-08,0.8941315412521362,0.0002226542419521,-0.5484635829925537,4015.784893262608,-5.969607627775986e-06,0.0004999770317226,0.0002003397530643,-2.4351158142089844,2.4956456423410263,15022.91015625,0.88
1.0,4.004000186920166,-3.433553865761496e-05,-2.442207289732323e-07,0.8949315547943115,0.0002085328451357,-0.4779309332370758,4291.56162048051,1.6083211448858492e-05,0.0003982442431151,0.0001868632243713,-2.213348388671875,2.1312071674616506,11516.697265625,0.88
1.0,4.261000156402588,-0.0002019382664002,-1.2081076761205622e-07,0.8961237668991089,0.0001982727699214,-0.4216902554035187,4519.651222172796,-7.395074590021977e-06,0.0003106983785983,0.0001781261526048,-2.197861194610596,1.7442603124518004,8801.966796875,0.88
1.0,4.5879998207092285,-0.0001232093054568,-2.923168906932005e-08,0.898468017578125,0.0001903755619423,-0.3804112076759338,4719.450376988084,2.080090780509636e-06,0.0002485106815584,0.0001700957509456,-1.9414832592010496,1.4610046410733062,6740.5849609375,0.88
1.0,5.010000228881836,-0.0002187491190852,4.4568214008222646e-08,0.9019042253494264,0.000183890806511,-0.3557984530925751,4904.563977184242,2.958322511403821e-05,0.0001748510549077,0.0001638703979551,-1.9792015552520752,1.0670081789610382,5159.66845703125,0.88
1.0,5.433000087738037,-6.133275746833533e-05,-5.2788450943808136e-08,0.9074262380599976,0.00017794535961,-0.3438388109207153,5099.465589036328,2.782235424092505e-05,0.0001429358526365,0.000159763614647,-1.7821645736694336,0.894670873291901,3951.206787109375,0.88
1.0,5.855999946594238,-0.0001211131602758,-1.560716356152625e-07,0.915071427822113,0.0001723591703921,-0.3441154360771179,5309.096265316902,1.4238488802220672e-05,9.991120168706402e-05,0.0001536184136057,-1.7472498416900637,0.6503855842665667,3022.096923828125,0.88
1.0,6.279000282287598,-0.0002371944574406,-7.446294603141723e-08,0.9254740476608276,0.0001670443161856,-0.3527541160583496,5540.2905575807645,3.24341599480249e-05,9.374693763675168e-05,0.000152070846525,-1.7854844331741333,0.6164688352762413,2312.779296875,0.88
1.0,6.702000141143799,-0.0003294219786766,1.1534853427974669e-07,0.938501000404358,0.0001612319465493,-0.3706996738910675,5820.812937446834,2.639688682393171e-05,7.746011397102848e-05,0.0001483466330682,-1.6340044736862185,0.5221561984178811,1772.8358154296875,0.88
1.0,7.125,-0.0002173653192585,-2.4182522651017283e-08,0.9528016448020936,0.0001551562454551,-0.390080451965332,6140.917125231284,3.679441215354018e-05,5.5552300182171166e-05,0.0001406260271323,-1.5444025993347168,0.3950356937117663,1357.1678466796875,0.88
1.0,7.548000335693359,-0.0001909964048536,-6.773609584342921e-08,0.9666744470596312,0.0001482496154494,-0.4125580191612243,6520.586539998092,2.991863038914744e-05,4.520476795732975e-05,0.0001364060735795,-1.4801045656204224,0.3313984984030944,1039.0057373046875,0.88
1.0,7.97100019454956,-0.0001946431148098,-8.603331380641066e-09,0.9785800576210022,0.0001403385249432,-0.442279040813446,6972.996602443594,3.8890688301762566e-05,3.73823095287662e-05,0.0001309549843426,-1.5434752702713013,0.2854592340750101,794.2393188476562,0.88
1.0,8.394000053405762,0.0001217821627506,-2.9234561438329365e-08,0.9873650074005128,0.0001320206793025,-0.4711312055587768,7478.866285319241,-8.529268234269693e-05,3.0234215955715623e-05,0.000123330639326,-1.3331990242004397,0.2451476463670487,609.4149780273438,0.88
1.0,8.817000389099121,-8.677820733282715e-05,7.00404072517813e-08,0.9932340979576112,0.0001227781176567,-0.4985213875770569,8089.667091449724,-9.552250412525608e-05,3.1074196158442646e-05,0.0001187660018331,-1.5659526586532593,0.2616421844536032,465.7454528808594,0.88
1.0,9.23799991607666,0.0002754673478193,-3.427564934099792e-07,0.997090220451355,0.0001137651561293,-0.5280491709709167,8764.460528823536,-8.596348925493658e-05,2.839139779098332e-05,0.0001075089166988,-1.2831759452819824,0.2640841212316288,356.4826965332031,0.88
1.0,9.663000106811523,0.000129076783196,3.2785408166091656e-08,0.999298632144928,0.0001046007746481,-0.5566456317901611,9553.453456788122,-8.009391603991389e-05,2.178957947762683e-05,9.953187691280618e-05,-0.9882447123527528,0.2189206127069758,273.33795166015625,0.88
1.0,10.088000297546388,0.0001461817446397,-2.8155856313105687e-08,1.000704646110535,9.580252662999555e-05,-0.5895500183105469,10445.493259018249,-0.0001081001610145,2.0006520571769212e-05,9.178535401588306e-05,-1.1170637607574463,0.217970729494677,209.26370239257807,0.88
1.0,10.51099967956543,2.7333398975315504e-05,7.227551179767033e-08,1.001439094543457,8.738147880649194e-05,-0.621125340461731,11460.541847330876,-1.410315599059686e-05,2.547957956267055e-05,8.036733925109729e-05,-0.5427700281143188,0.3170389837476505,160.2567596435547,0.88
1.0,10.94200038909912,2.5237210138584487e-05,-7.060086737453731e-09,1.0016350746154783,7.888225081842393e-05,-0.6568306088447571,12697.85109100277,-7.757838466204703e-05,1.603851887921337e-05,8.402146340813488e-05,0.7510927319526672,0.190885973995789,122.6834945678711,0.88
1.0,11.371999740600586,0.0001859233889263,-1.848705153406627e-07,1.0016443729400637,7.119617657735944e-05,-0.689204216003418,14068.79443661851,-0.0001055846296367,2.3375569071504287e-05,6.751421460648999e-05,-0.4884443283081054,0.3462318151481132,93.71041870117188,0.88
1.0,11.78600025177002,0.0003596046881284,-8.999325729064368e-08,1.001982808113098,6.335465150186792e-05,-0.7152619957923889,15815.457655600176,-7.967466081026942e-05,2.266115006932523e-05,6.086445500841364e-05,-0.9959022998809814,0.3723215802424034,71.7684555053711,0.88
1.0,12.210000038146973,0.0001230403286172,-4.099865691387095e-08,1.001966118812561,5.639339360641316e-05,-0.7426019310951233,17767.437898942397,-0.0001045784156303,3.108519740635529e-05,5.531590068130754e-05,-0.8537255525588989,0.5619577196337628,54.94721221923828,0.88
1.0,12.614999771118164,6.254702748265117e-05,-4.981399470693759e-08,1.0021125078201294,4.979898221790791e-05,-0.775520920753479,20123.15238562779,-0.0001117896099458,2.796059379761573e-05,4.837062442675233e-05,-0.753648579120636,0.5780490561984883,42.11589431762695,0.88
1.0,13.01300048828125,8.195552072720602e-05,-1.6510943723346827e-08,1.002071499824524,4.383805935503915e-05,-0.8060921430587769,22858.48220855006,-0.0001119573062169,4.004927541245706e-05,4.311590237193741e-05,-0.8071292638778687,0.9288748051003032,32.19432830810547,0.88
1.0,13.44700050354004,-4.071909643243998e-06,-1.3466620885083105e-07,1.0020458698272705,3.810365160461515e-05,-0.8318648934364319,26297.896071092087,-9.392933861818165e-05,2.670286994543858e-05,3.799154364969581e-05,-1.3431999683380127,0.7028635159354042,24.660675048828125,0.88
1.0,13.89900016784668,6.945479253772646e-05,-9.955547852769089e-08,1.0019515752792358,3.3409840398235247e-05,-0.8585055470466614,29989.714507350964,-0.0001133827754529,2.9106415240676146e-05,3.3067597541958094e-05,-0.9693585634231568,0.8802095526820244,18.87075424194336,0.88
1.0,14.342000007629396,9.527266229270026e-05,8.311821630968552e-08,1.0020228624343872,2.874115489248652e-05,-0.8682490587234497,34863.69515013243,-0.0001105318442569,2.970759669551626e-05,2.845438757503871e-05,-0.6616531014442444,1.0440427374222214,14.467611312866213,0.88
1.0,14.736000061035156,6.854879029560834e-05,-6.744581781958915e-08,1.0019782781600952,2.458281414874364e-05,-0.8939454555511475,40759.299244480666,-0.0001141374377766,4.506770346779376e-05,2.445355676172767e-05,-0.7962035536766052,1.8429917539983125,11.065899848937988,0.88
