Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0522600077092647,-2.3502452961565726e-07,0.0092418612912297,0.0001968899741768,1.0056558847427368,46.939217346470585,5.2522242185659707e-05,0.0005079664988443,0.0001245524908881,1.684192776679993,4.078332719178071,6999983.5,1.41
1.0,0.3230000138282776,-0.0308662075549364,-1.1955283696352126e-07,0.0050270329229533,0.0002888396265916,0.4649088978767395,17.40423563855503,6.73638642183505e-05,0.001105528906919,0.0002153284294763,1.578378438949585,5.134152093188622,5358937.0,1.41
1.0,0.4800000190734863,-0.0038694003596901,3.4701823636851266e-08,0.0096129849553108,0.0003775850054807,-1.645544171333313,25.45912792026837,5.9649562899721786e-05,0.0016420346219092,0.0002743819204624,1.900265455245972,5.984485490667863,4102609.0,1.41
1.0,0.6370000243186951,0.0307712350040674,-4.94384693183747e-08,0.0463154725730419,0.0007223388529382,-1.343980312347412,64.11876141598091,0.0001215316005982,0.0021363263949751,0.0004299623542465,2.35198712348938,4.968635913995119,3140812.25,1.41
1.0,0.7950000166893005,-0.0068254256621003,-2.699628964819567e-07,0.0708555355668068,0.0005955037777312,-1.5275661945343018,118.98419156425328,7.60005132178776e-05,0.001348354271613,0.0002750913263298,2.863091468811035,4.901478682015128,2404484.0,1.41
1.0,0.9520000219345092,-0.0031498523894697,-3.212828687537695e-07,0.1045790240168571,0.0007485094829462,-1.394095540046692,139.71636485514952,5.889491876587272e-05,0.0004874360747635,0.0001432014687452,3.007511615753174,3.4038482917425843,1840781.125,1.41
1.0,1.1100000143051147,-0.0015414395602419,-1.441424331005692e-07,0.151309847831726,0.0007618486997671,-1.3456467390060425,198.6087892228124,5.545702515519224e-05,0.0006719747325405,0.000221756636165,-3.0765469074249268,3.030235054793621,1409249.875,1.41
1.0,1.2680000066757202,-0.0005387963610701,-2.404862868843338e-07,0.2171652764081955,0.0007534543983638,-1.3477295637130735,288.2261711920229,5.378000423661433e-05,0.0009505731868557,0.0003426227485761,-2.9230973720550537,2.7744018481149344,1078859.25,1.41
1.0,1.4259999990463257,-3.661366281448864e-05,-6.710446864843789e-09,0.2715675830841064,0.0006484087207354,-1.173154592514038,418.8216080377199,4.916820034850389e-05,0.0001474444870837,4.046144749736413e-05,-3.0747640132904053,3.644073462604336,825937.4375,1.41
1.0,1.5830000638961792,0.0003582492936402,-1.6444936079551553e-07,0.3574612140655517,0.0010413883719593,-1.1336162090301514,343.2544703692086,6.065572961233556e-05,0.0034428171347826,0.0014732438139617,-1.9268815517425537,2.3368957005999493,632312.4375,1.41
1.0,1.741000056266785,0.0005455571226775,-2.3181490860224585e-07,0.4900692105293274,0.0011037376243621,-1.2284162044525146,444.0087931337447,6.166194361867383e-05,0.0033968815114349,0.002427943283692,-1.8400553464889529,1.399077784992372,484078.09375,1.41
1.0,1.8980000019073489,0.0006157836760394,-1.9813624874132077e-07,0.6377778053283691,0.0011298051103949,-1.1516544818878174,564.5024964574786,5.000664896215312e-05,0.0034248910378664,0.0051723266951739,-1.6809518337249756,0.6621567506673651,370593.71875,1.41
1.0,2.055999994277954,0.0006634091841988,-1.5770019956562464e-07,0.7882946729660034,0.0011897477088496,-1.156823754310608,662.572969968752,3.944142736145295e-05,0.0032936367206275,0.0168121140450239,-2.424678325653076,0.1959085402232566,283703.09375,1.41
1.0,2.213000059127808,0.0007409233949147,-1.200519363919739e-07,0.9139801263809204,0.0011523377615958,-1.1805024147033691,793.1529772270684,1.1435190572228748e-05,0.002814800478518,0.0097792418673634,2.6781201362609863,0.2878342223963111,217203.125,1.41
1.0,2.369999885559082,0.0007374027045443,1.710349977201986e-07,0.970922589302063,0.0010092076845467,-1.211634397506714,962.0642055833712,8.751973837206606e-06,0.0023957670200616,0.0038772823754698,2.1568603515625,0.6178985144901449,166281.25,1.41
1.0,2.5280001163482666,0.0009048373904079,3.7947643249935936e-08,0.9762057662010192,0.0008263611816801,-1.2480560541152954,1181.3306189144198,2.191659950767644e-05,0.0019040420884266,0.0018420234555378,2.200967311859131,1.0336687530782205,127296.859375,1.41
1.0,2.684999942779541,0.0008149574859999,2.1673763228591273e-08,0.961336314678192,0.000653323426377,-1.2834632396697998,1471.4554474331858,6.152616151666734e-06,0.0014590020291507,0.0010814992710947,2.312516927719116,1.349055027724411,97453.1171875,1.41
1.0,2.8420000076293945,0.001008006860502,2.179240681243755e-07,0.9453189373016356,0.0005092654610052,-1.3135002851486206,1856.240035276715,5.3979615586285945e-06,0.0011748903198167,0.0006934950943104,2.364978313446045,1.6941580833890444,74609.375,1.41
1.0,2.999000072479248,0.0010389452800154,-7.230815413095115e-08,0.9331539273262024,0.0003950772224925,-1.3344762325286863,2361.9532440744765,1.1519088729983196e-05,0.0009514397825114,0.0004767756036017,2.455398797988892,1.995571449805685,57109.375,1.41
1.0,3.157000064849853,0.0009034958784468,-1.7723734702101979e-09,0.9251153469085692,0.0003074312990065,-1.3482619524002075,3009.1774972099047,1.20541528758622e-06,0.0007930719293653,0.0003443070163484,2.542501211166382,2.3033859076596457,43718.74609375,1.41
1.0,3.315000057220459,0.0009077301947399,3.940751014397392e-08,0.9193603992462158,0.0002347476693103,-1.3366806507110596,3916.377112272535,-7.766642738715746e-06,0.0006926807691343,0.0002477731613907,2.6545960903167725,2.79562469658202,33468.75,1.41
1.0,3.4720001220703125,0.0010535340989008,3.9611055768773447e-08,0.9165773391723632,0.0001832977868616,-1.3276504278182983,5000.482301862921,-5.167260496818926e-06,0.0005814546602778,0.0001877480972325,2.7946815490722656,3.0969936252276886,25624.99609375,1.41
1.0,3.630000114440918,0.000951076624915,-7.472492313809198e-08,0.9151903986930848,0.0001426827366231,-1.3058122396469116,6414.163481532997,2.379331817792263e-06,0.0004972210153937,0.0001434670703019,2.9693520069122314,3.465750114971302,19625.0,1.41
1.0,3.796000003814697,0.0010037310421466,-6.209231884213295e-08,0.914307177066803,0.0001115498889703,-1.267020344734192,8196.397015778179,1.0429030226077884e-05,0.0004030099662486,0.0001107314164983,-3.092946767807007,3.639526874965914,15022.91015625,1.41
1.0,4.000999927520752,0.0008969980990514,-2.5007838644341973e-07,0.9143249988555908,8.794810128165409e-05,-1.214982986450195,10396.188041939213,3.877067501889542e-05,0.0003384140727575,8.715213334653527e-05,-2.8958818912506104,3.883026837816822,11516.697265625,1.41
1.0,4.257999897003174,0.0008731028065085,-6.144158959386914e-08,0.9150534868240356,6.9834066380281e-05,-1.1470520496368408,13103.25367337364,2.9630913559230976e-05,0.0002570325450506,6.942836625967175e-05,-2.8946003913879395,3.7021257865879873,8801.966796875,1.41
1.0,4.585000038146973,0.0007601653924211,-3.829628525409135e-08,0.9164040088653564,5.6627388403285295e-05,-1.0653414726257324,16183.05266594619,3.5416636819718406e-05,0.0002036163641605,5.616558337351307e-05,-2.715437889099121,3.625287087404764,6740.5849609375,1.41
1.0,5.006999969482422,0.0008364208624698,-1.2778873781371658e-07,0.9184939861297609,4.700604768004269e-05,-0.9624512195587158,19539.91095745165,4.757503120345064e-05,0.000159398667165,4.667852044804022e-05,-2.640366792678833,3.4148183283253686,5159.66845703125,1.41
1.0,5.429999828338623,0.0009099935996346,-2.903543929733132e-07,0.92241632938385,3.958373417844996e-05,-0.8532431125640869,23302.91339431106,5.067752135801129e-05,0.000121339711768,3.929777449229732e-05,-2.462010145187378,3.087699324852876,3951.206787109375,1.41
