Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0521572567522525,-1.6116844392399798e-07,0.0095456736162304,0.0001940431975526,1.037197232246399,49.193549357169765,2.453812703606673e-05,0.0005112460348755,0.0001232666836585,1.6888900995254517,4.147479429977397,6999983.5,0.36
1.0,0.3240000009536743,-0.0306054539978504,-1.5695607658017252e-07,0.0050684455782175,0.0002896976075135,0.4902966022491455,17.49564182362471,5.9168592997593805e-05,0.0011270868126302,0.0002165920450352,1.5841525793075562,5.203731339473043,5358937.0,0.36
1.0,0.481000006198883,-0.0037448508664965,-9.444850235240665e-08,0.0099603654816746,0.0003769028990063,-1.6329059600830078,26.42687415759576,8.474313654005527e-05,0.0016337718116119,0.000272527715424,1.913571119308472,5.994883159203335,4102609.0,0.36
1.0,0.6389999985694885,0.0309056360274553,-1.631578072647244e-07,0.0461491644382476,0.0007233110372908,-1.340834379196167,63.802654817904056,0.0001294357061851,0.0021384877618402,0.0004295696562621,2.355962991714477,4.978209542191374,3140812.25,0.36
1.0,0.7960000038146973,-0.0065729729831218,-2.781256114303688e-07,0.0700295865535736,0.0005957907997071,-1.525790095329285,117.54056388247773,8.88518407009542e-05,0.0013685916783288,0.0002773585438262,2.8649139404296875,4.934377212428962,2404484.0,0.36
1.0,0.9539999961853028,-0.0032834990415722,-1.2942123817083484e-07,0.1039785891771316,0.0007482349756173,-1.3955827951431274,138.9651547514703,7.023692887742072e-05,0.000482997536892,0.0001419962209183,3.005856513977051,3.4014816293577743,1840781.125,0.36
1.0,1.1109999418258667,-0.0014229267835617,-2.50649605959552e-07,0.1504357457160949,0.0007633063360117,-1.3453885316848757,197.08436654950245,7.275246025528759e-05,0.0006595104932785,0.0002180380106437,-3.082208633422852,3.024750094404109,1409249.875,0.36
1.0,1.2690000534057615,-0.0003770622424781,-1.8886365182879675e-07,0.2163558304309845,0.0007535126642324,-1.34869647026062,287.12965382125907,7.359096343861893e-05,0.000954320654273,0.0003434734535403,-2.920654296875,2.7784407919632987,1078859.25,0.36
1.0,1.4259999990463257,0.0001074293031706,-1.446384487735486e-07,0.2703865468502044,0.0006407886394299,-1.162954568862915,421.9590208258677,4.365616041468456e-05,0.0002024137065745,5.306460298015736e-05,-3.074430227279663,3.814476981016485,825937.4375,0.36
1.0,1.5830000638961792,0.0004441469791345,-3.8508588318109115e-07,0.3563423156738281,0.0010418171295896,-1.1373262405395508,342.0392173952785,6.889525684528053e-05,0.0034178781788796,0.0014718676684424,-1.9366209506988523,2.322136868796441,632312.4375,0.36
1.0,1.741000056266785,0.0005601460579782,-1.978970800564639e-07,0.488190621137619,0.001103998394683,-1.2273783683776855,442.2022925837638,6.126481457613409e-05,0.003377015935257,0.0024107177741825,-1.8528257608413696,1.4008342127075315,484078.09375,0.36
1.0,1.8980000019073489,0.0005424202536232,-2.2418961975745333e-07,0.6353057026863098,0.0011325179366394,-1.1508415937423706,560.9674532585751,4.114056719117798e-05,0.0034351421054452,0.0052444417960941,-1.6824092864990234,0.6550062407029863,370593.71875,0.36
1.0,2.055999994277954,0.0008408218272961,-1.4662926162145598e-07,0.786035418510437,0.0011939383111894,-1.1558457612991333,658.3551353900193,3.728342562681064e-05,0.0032909321598708,0.0158435273915529,-2.532012462615967,0.2077146129482153,283703.09375,0.36
1.0,2.213000059127808,0.0009330508182756,-1.815688932538251e-07,0.9126006960868835,0.0011586748296394,-1.1794049739837646,787.6245109862502,3.6193370760884136e-05,0.0028280930127948,0.0092802438884973,2.674628257751465,0.3047433932528657,217203.125,0.36
