Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0526116453111171,-3.754498152375163e-07,0.0095270127058029,0.0001992664911085,1.0209592580795288,47.81041033442974,6.286706775426865e-05,0.0005213935510255,0.0001266941690118,1.6796566247940063,4.115371331545444,6999983.5,0.44
1.0,0.3230000138282776,-0.0310104172676801,-1.382078380629537e-07,0.0047693266533315,0.0002926800516434,0.4234286844730377,16.295359477189177,9.43111881497316e-05,0.0011089507024735,0.000217238193727,1.5711067914962769,5.104768565083084,5358937.0,0.44
1.0,0.481000006198883,-0.004047735594213,-3.277762630204961e-07,0.0096852071583271,0.0003762583073694,-1.6492339372634888,25.740846032185456,9.288571163779125e-05,0.0016382841859012,0.00027372315526,1.9000394344329836,5.985186691073397,4102609.0,0.44
1.0,0.6380000114440918,0.0305744539946317,-3.497827663068165e-07,0.0462241731584072,0.0007207919261418,-1.351091980934143,64.12970440142223,0.0001577025250298,0.0021409778855741,0.0004303186724428,2.3492977619171143,4.9753311270931375,3140812.25,0.44
1.0,0.7960000038146973,-0.007189474068582,-3.027070931693743e-07,0.0709887444972992,0.0005965921445749,-1.5395418405532837,118.9904110250625,0.0001076435000868,0.0013664589496329,0.0002773863379843,2.86264443397522,4.92619412896255,2404484.0,0.44
1.0,0.953000009059906,-0.0034041916951537,-3.438330793414935e-07,0.1046183556318283,0.0007467827526852,-1.3953107595443726,140.092088704039,0.0001037025067489,0.0004864286747761,0.0001423773210262,3.0028553009033203,3.4164758212180075,1840781.125,0.44
1.0,1.1109999418258667,-0.0018650332931429,-1.5890253735051377e-07,0.151459589600563,0.0007618386298418,-1.3476415872573853,198.80796755083628,0.0001020254858303,0.0006555969594046,0.0002175920672016,-3.083611011505127,3.012963513955534,1409249.875,0.44
1.0,1.2690000534057615,-0.000702416873537,-1.9380249227651802e-07,0.2175116389989853,0.0007517636404372,-1.3473337888717651,289.335141125562,9.607206447981298e-05,0.0009462187299504,0.0003394302621018,-2.922436475753784,2.7876675582528456,1078859.25,0.44
1.0,1.4270000457763672,-0.0003019364085048,-2.162209682410321e-07,0.271113783121109,0.0006446099141612,-1.166144609451294,420.58581037164015,6.831738573964685e-05,0.0001828524691518,4.847816671826877e-05,-3.0752525329589844,3.7718519805934103,825937.4375,0.44
1.0,1.5850000381469729,0.000291887205094,-4.6125245489747613e-07,0.3589463531970978,0.001041199080646,-1.1390460729599,344.74324830788413,9.892294474411756e-05,0.00342429545708,0.0014608261408284,-1.9349696636199951,2.344081449102559,632312.4375,0.44
1.0,1.7419999837875366,0.0001496064651291,-2.819654696395446e-07,0.4910777807235718,0.0011036715004593,-1.230093240737915,444.9492267574189,9.86713930615224e-05,0.0033782159443944,0.0024023381993174,-1.8510836362838743,1.4062199674276823,484078.09375,0.44
1.0,1.899999976158142,0.0003461424203123,-3.244539641400479e-07,0.6393494009971619,0.0011304342187941,-1.154428005218506,565.5785983541695,9.615586168365552e-05,0.0034112688153982,0.0051174224354326,-1.7013999223709106,0.6665990268418787,370593.71875,0.44
1.0,2.056999921798706,0.0004324624605942,-1.0631944036276765e-07,0.7906433939933777,0.0011912923073396,-1.161329984664917,663.6854692355403,6.85688792145811e-05,0.0032739182934165,0.0151677187532186,-2.4676640033721924,0.2158477716183761,283703.09375,0.44
1.0,2.2149999141693115,0.0004842370690312,-1.0160051999719145e-07,0.9166966080665588,0.001154187368229,-1.1858409643173218,794.2355230183509,5.7752109569264576e-05,0.0028116726316511,0.0098566673696041,2.7033534049987797,0.2852559111735646,217203.125,0.44
1.0,2.372999906539917,0.0005216735880821,-1.302595364904846e-07,0.973424196243286,0.0010114283068105,-1.2186869382858276,962.425304580298,5.783597225672565e-05,0.002409900072962,0.0038767124060541,2.1443655490875244,0.6216349887596978,166281.25,0.44
1.0,2.5299999713897705,0.0006483186152763,-2.414677169326751e-07,0.9783107042312622,0.0008280432084575,-1.2576653957366943,1181.4730128076883,5.540430720429868e-05,0.0018922094022855,0.0018525931518524,2.214919090270996,1.0213842150897587,127296.859375,0.44
1.0,2.687999963760376,0.000624926527962,-9.230608810639752e-08,0.963558793067932,0.0006548156379722,-1.2968119382858276,1471.4963070396786,5.112791404826567e-05,0.0014690093230456,0.0010900031775236,2.297920227050781,1.347711046478842,97453.1171875,0.44
1.0,2.845999956130981,0.0005441011744551,-2.257337570199525e-07,0.9469571113586426,0.0005102184368297,-1.330754280090332,1855.983717959278,4.802543116966263e-05,0.0011682712938636,0.0006984402425587,2.3619396686553955,1.6726861121056291,74609.375,0.44
1.0,3.003999948501587,0.0005834233597852,-1.0855562493361505e-07,0.9346798658370972,0.0003960173635277,-1.3582009077072144,2360.1992031632417,3.662169547169469e-05,0.0009530643001198,0.0004807171644642,2.439899682998657,1.982588454443809,57109.375,0.44
1.0,3.1619999408721924,0.0004885965608991,5.1285883984064646e-08,0.9265226125717164,0.0003080008900724,-1.3794691562652588,3008.181607377233,5.389500802266412e-05,0.0008185099577531,0.0003445315524004,2.531963348388672,2.3757184270942746,43718.74609375,0.44
1.0,3.319000005722046,0.0006672672461718,-1.5439502121239457e-08,0.9210377931594848,0.0002348504349356,-1.379740834236145,3921.805779971608,4.869624535785988e-05,0.0006778866518288,0.0002502400020603,2.614570617675781,2.708945996833516,33468.75,0.44
1.0,3.476999998092652,0.0004562749818433,-2.092003370535167e-08,0.9179289937019348,0.0001830284745665,-1.382657527923584,5015.225067443199,4.961860759067349e-05,0.0005800916114822,0.0001882447832031,2.7699737548828125,3.0815813411215744,25624.99609375,0.44
1.0,3.634999990463257,0.0006294535705819,-2.329853288074446e-07,0.9163999557495116,0.0001420150074409,-1.3761911392211914,6452.83883909711,3.670555088319816e-05,0.000481614813907,0.0001434338191756,2.934203863143921,3.357749355590417,19625.0,0.44
1.0,3.799999952316284,0.0004564844130072,1.304952768066414e-08,0.915769338607788,0.0001103648755815,-1.3605259656906128,8297.65207256412,5.666209472110495e-05,0.0004092801827937,0.0001104166512959,-0.0299590826034545,3.7066889639379768,15022.91015625,0.44
1.0,4.005000114440918,0.0006482764147222,-2.940477905610805e-08,0.9155189990997314,8.631765376776457e-05,-1.3332425355911257,10606.393468048978,9.79167816694826e-05,0.000335620745318,8.629707008367404e-05,-3.0150182247161865,3.889132562584002,11516.697265625,0.44
