Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0523058697581291,-4.0625585029374633e-07,0.009436429478228,0.0001948032295331,1.0113928318023682,48.44082667850721,5.458526720758528e-05,0.0005073164938949,0.0001237535761902,1.6775715351104736,4.0994087566015285,6999983.5,0.77
1.0,0.3230000138282776,-0.0310563631355762,-2.179716744876714e-07,0.0050578922964632,0.0002904610300902,0.4184381067752838,17.41332492999865,7.236167584778741e-05,0.0011176153784617,0.0002165462210541,1.5720345973968506,5.161093890353588,5358937.0,0.77
1.0,0.481000006198883,-0.003947249148041,-6.067928381980893e-08,0.0095100095495581,0.0003785908338613,-1.644900679588318,25.11949233572889,8.72032978804782e-05,0.0016207819571718,0.0002738532202783,1.902258276939392,5.918433077121321,4102609.0,0.77
1.0,0.6389999985694885,0.0309515818953514,-2.408530122011143e-07,0.0465054102241992,0.000721854972653,-1.349521517753601,64.4248664704411,0.0001474083110224,0.0021393299102783,0.0004297115956433,2.353922128677368,4.978524973419851,3140812.25,0.77
1.0,0.7960000038146973,-0.0070277820341289,-5.144539159118722e-07,0.0708232820034027,0.0005960006383247,-1.5290316343307495,118.8308828031998,9.231820877175778e-05,0.0013734891545027,0.0002779966744128,2.8594417572021484,4.940667572385913,2404484.0,0.77
1.0,0.953000009059906,-0.0033201805781573,-2.2450426229170267e-07,0.1045899093151092,0.0007472751312889,-1.3932325839996338,139.9617154858484,8.024366979952902e-05,0.0004971436574123,0.0001450999698136,3.0056960582733154,3.426214754221009,1840781.125,0.77
1.0,1.1109999418258667,-0.0014756224118173,-2.257716502640505e-08,0.1513247191905975,0.0007626051665283,-1.3475843667984009,198.4312798187255,7.462565554305911e-05,0.0006661090883426,0.0002182890311814,-3.079138994216919,3.0515005025096147,1409249.875,0.77
1.0,1.2690000534057615,-0.0005401376984082,-2.669125365173386e-07,0.2172665148973465,0.0007539967191405,-1.347223877906799,288.1531303544623,7.923745579319075e-05,0.0009435594547539,0.0003383737930562,-2.9249234199523926,2.78851221376114,1078859.25,0.77
1.0,1.4270000457763672,6.752000626875088e-05,-1.0147613238586929e-07,0.2719510793685913,0.0006525546195916,-1.1785738468170166,416.74837814918345,4.9554208089830354e-05,0.000142125529237,3.932034087483771e-05,-3.0760083198547363,3.614554860790691,825937.4375,0.77
1.0,1.5850000381469729,0.0004233119252603,-3.121799068139808e-07,0.357185423374176,0.0010424325009807,-1.133205771446228,342.6460927092264,9.692997264210136e-05,0.0034323502331972,0.0014412211021408,-1.9354374408721924,2.3815570200149514,632312.4375,0.77
1.0,1.7419999837875366,0.0006222322117537,-2.632731650464848e-07,0.4904381036758423,0.0011044268030673,-1.230149507522583,444.0657382759524,8.108212932711467e-05,0.0033760988153517,0.0023806081153452,-1.851787567138672,1.4181665573555005,484078.09375,0.77
1.0,1.89900004863739,0.0005159258726052,-1.957132127472505e-07,0.6384984850883484,0.0011313527356833,-1.153753399848938,564.3672967323528,8.250759856309742e-05,0.0034049490932375,0.0050459504127502,-1.7069662809371948,0.6747884570236365,370593.71875,0.77
1.0,2.056999921798706,0.0007587384316138,-2.2361622598054967e-07,0.7894682288169861,0.0011917722877115,-1.1597412824630735,662.4321080102989,5.953242362011224e-05,0.003254025708884,0.0139540480449795,-2.4950602054595947,0.2331958223445234,283703.09375,0.77
1.0,2.2149999141693115,0.0007484281086362,-1.73183735796556e-07,0.9155068397521972,0.001155235688202,-1.1842328310012815,792.4849007885302,5.089577825856395e-05,0.002808048389852,0.0097249615937471,2.718890905380249,0.2887464760434158,217203.125,0.77
1.0,2.372999906539917,0.0008773369481787,-3.040253773178847e-07,0.97265625,0.0010124844266101,-1.216404676437378,960.662924225395,3.4377138945274055e-05,0.0023978264071047,0.0038855096790939,2.167243480682373,0.617120173450158,166281.25,0.77
