Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0517252944409847,-5.7922751039996e-08,0.0094292499125003,0.0001977172069018,1.0219755172729492,47.6905882914896,1.0683495020202828e-05,0.0005086880992166,0.0001256282412214,1.6657986640930176,4.049154029945418,6999983.5,0.68
1.0,0.3240000009536743,-0.0300255082547664,-1.460351342075228e-07,0.0049372850917279,0.0002907794550992,0.4424496293067932,16.979483953027824,4.707483094534837e-05,0.0011112795909866,0.0002166624908568,1.5725632905960083,5.129081580258303,5358937.0,0.68
1.0,0.481000006198883,-0.0029673282988369,-4.173055572209705e-07,0.009902412071824,0.0003762275446206,-1.672827959060669,26.320274029401844,4.598475425154902e-05,0.0016413566190749,0.0002750132116489,1.8954540491104128,5.968282793520253,4102609.0,0.68
1.0,0.6380000114440918,0.0313836261630058,-2.49444468636284e-07,0.0466176569461822,0.0007204309222288,-1.3547712564468384,64.70801780961628,0.000111975481559,0.002172517357394,0.0004349048249423,2.337713718414306,4.995385732227922,3140812.25,0.68
1.0,0.7950000166893005,-0.0060521373525261,-3.0867064992889937e-07,0.0717836767435073,0.0005947814788669,-1.553257942199707,120.68915945442026,6.694751209579408e-05,0.0013864246429875,0.0002793115854728,2.8486883640289307,4.963720501031929,2404484.0,0.68
1.0,0.9520000219345092,-0.0024861474521458,-2.799661160679534e-07,0.1055001690983772,0.0007443138747476,-1.4008198976516724,141.74150540207543,6.786988524254411e-05,0.000483245239593,0.0001398864551447,2.985886335372925,3.454553474052224,1840781.125,0.68
1.0,1.1089999675750732,-0.0009489596704952,-1.9675313467359961e-07,0.1523730158805847,0.0007601580582559,-1.353529691696167,200.44912268665,5.294440779834986e-05,0.0006166642415337,0.0002005746937356,-3.099034547805786,3.074486766243539,1409249.875,0.68
1.0,1.2669999599456787,0.0001140508029493,-1.2225730472437138e-07,0.2190155386924743,0.0007508781272917,-1.355427861213684,291.6792096240709,4.472700675250962e-05,0.0009136856533586,0.0003224785032216,-2.931973934173584,2.833322668738336,1078859.25,0.68
1.0,1.4240000247955322,0.0006811283528804,-2.535682313009602e-07,0.2714854478836059,0.0006368927424773,-1.1637426614761353,426.2655699727301,1.0431943337607665e-05,0.0002452581829857,6.265680713113397e-05,-3.079310894012451,3.91431025957657,825937.4375,0.68
1.0,1.5820000171661377,0.0011786159593611,-1.7730897639012258e-07,0.3640601634979248,0.0010393728734925,-1.1528362035751345,350.26906395449447,6.099404708947986e-05,0.0033814278431236,0.001445350702852,-1.950697898864746,2.33952066889464,632312.4375,0.68
