Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0542050898075103,-1.6310663397689498e-07,0.0094546023756265,0.0001953893952304,1.0157052278518677,48.38851343224356,5.832246097270399e-05,0.0005150438519194,0.0001243934821104,1.683917760848999,4.140440826812022,6999983.5,0.54
1.0,0.3230000138282776,-0.0326472930610179,-1.8543252622293949e-07,0.0051198126748204,0.0002873189805541,0.4720743000507355,17.81926368020113,9.328831947641449e-05,0.0011114225490018,0.0002144806931028,1.5834321975708008,5.181923523853483,5358937.0,0.54
1.0,0.481000006198883,-0.0057565080933272,-1.981414214924371e-07,0.0098408116027712,0.0003762313572224,-1.650821328163147,26.156277019072405,9.99963958747685e-05,0.0016261837445199,0.0002727170067373,1.9075099229812624,5.962898185099277,4102609.0,0.54
1.0,0.6380000114440918,0.0288287922739982,-3.161627262215916e-07,0.0462190508842468,0.0007222508429549,-1.3447035551071167,63.99307295391949,0.0001701796718407,0.0021395690273493,0.0004305684706196,2.349891185760498,4.96917255522765,3140812.25,0.54
1.0,0.7960000038146973,-0.0089793652296066,-4.461142282252696e-07,0.0706350654363632,0.000595113961026,-1.5331767797470093,118.69166254237588,0.0001015057205222,0.0013636100338771,0.0002767309779301,2.863247871398926,4.927565551484771,2404484.0,0.54
1.0,0.953000009059906,-0.0051524960435926,-2.682811839349597e-07,0.1045579761266708,0.0007478938205167,-1.3969861268997192,139.8032357780753,0.0001147541843238,0.0004743042227346,0.0001394309510942,3.000434875488281,3.401714031298668,1840781.125,0.54
1.0,1.1109999418258667,-0.0032434619497507,-2.3782766334079497e-07,0.1513752937316894,0.0007619732641614,-1.3487341403961182,198.6622114599628,9.421068534720688e-05,0.0006756464717909,0.0002230059180874,-3.075021743774414,3.029724401870165,1409249.875,0.54
1.0,1.2680000066757202,-0.002535318955779,-3.717055676588643e-07,0.2173731476068496,0.0007534401956945,-1.350327491760254,288.50750046121743,9.34560230234638e-05,0.0009485033224336,0.0003408175543881,-2.9229581356048584,2.7830236741659253,1078859.25,0.54
1.0,1.4249999523162842,-0.0019251459743827,-7.586986328078639e-08,0.2714276313781738,0.0006462243618443,-1.1754310131072998,420.02073490931855,8.389701542910188e-05,0.0001658652035985,4.453159272088669e-05,-3.0749351978302,3.7246636256223167,825937.4375,0.54
1.0,1.5830000638961792,-0.0016066641546785,-2.3934921955515165e-07,0.3585853278636932,0.0010427224915474,-1.1415985822677612,343.89334724287977,0.0001139994710683,0.0034347013570368,0.001467166817747,-1.9325536489486692,2.3410435101790728,632312.4375,0.54
1.0,1.741000056266785,-0.0012841165298596,-1.8063902018639053e-07,0.4917288422584533,0.0011057467199862,-1.2345086336135864,444.7029625958014,9.932554530678316e-05,0.0033670924603939,0.0023762732744216,-1.860539436340332,1.416963485066063,484078.09375,0.54
1.0,1.8980000019073489,-0.0012765217106789,-1.744122215541211e-07,0.6408816576004028,0.0011329799890518,-1.1593077182769775,565.6601738718714,8.04590672487393e-05,0.0034218402579426,0.0051136426627635,-1.6954011917114258,0.6691590483746065,370593.71875,0.54
1.0,2.055000066757202,-0.0010941179934889,-1.1638240238198705e-07,0.793161928653717,0.0011945792939513,-1.1668357849121094,663.9675847972559,7.467334944522008e-05,0.0032845861278474,0.0153183927759528,-2.4630939960479736,0.2144210672678178,283703.09375,0.54
1.0,2.213000059127808,-0.0012067183852195,-1.900676807053969e-07,0.9197617769241332,0.001157688209787,-1.1927831172943115,794.481423537473,6.939074955880642e-05,0.002824823372066,0.0098851816728711,2.6902897357940674,0.2857634250484707,217203.125,0.54
1.0,2.369999885559082,-0.0011353254085406,-1.036093877360145e-07,0.976578652858734,0.0010133053874596,-1.2271995544433594,963.7555123504936,5.4884530982235447e-05,0.0024025826714932,0.0039201867766678,2.157348394393921,0.6128745410277344,166281.25,0.54
1.0,2.5269999504089355,-0.001146727707237,-2.818710242991074e-07,0.980859637260437,0.0008291001431643,-1.2681803703308103,1183.0412108202345,5.396218693931587e-05,0.0018909928621724,0.00186178390868,2.2153680324554443,1.0156886915587595,127296.859375,0.54
1.0,2.684000015258789,-0.0011547767790034,-8.80947865766757e-08,0.9653460383415222,0.0006548612727783,-1.3095581531524658,1474.1229608003462,5.270442852634005e-05,0.0014726817607879,0.001091414829716,2.292884111404419,1.3493327382871074,97453.1171875,0.54
1.0,2.8420000076293945,-0.00101651949808,-1.6104725375498674e-07,0.9484418034553528,0.0005097577231936,-1.3482142686843872,1860.5736809898544,3.912056854460389e-05,0.0011662219185382,0.0006975485594011,2.363944292068481,1.6718863551798666,74609.375,0.54
1.0,3.0,-0.0010047388495877,-1.6230306698616914e-07,0.9356487393379213,0.0003952325496356,-1.3789972066879272,2367.3372554977004,4.834418359678239e-05,0.0009566040243953,0.0004836079315282,2.413860559463501,1.9780569383392863,57109.375,0.54
1.0,3.157999992370605,-0.0010900917695835,-9.883069651550613e-08,0.9279097318649292,0.0003071434330195,-1.406537652015686,3021.095788188188,2.8639196898438968e-05,0.0007874239818193,0.0003477221471257,2.507332324981689,2.26452064767257,43718.74609375,0.54
