Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.053597517311573,-5.956279380825436e-08,0.0090704187750816,0.0001898714835988,0.990096926689148,47.77135883261857,0.0003259477380197,0.0005477552185766,0.0001292140223085,1.5577901601791382,4.239131394489792,6999983.5,1.17
1.0,0.3230000138282776,-0.0316677093505859,-1.419724071638484e-07,0.0051975115202367,0.0002918234968092,0.4633372128009796,17.810462752539923,0.00035722416942,0.0012316653737798,0.0002257075975649,1.5209856033325195,5.456907020711379,5358937.0,1.17
1.0,0.481000006198883,-0.0048234136775135,4.57531790232224e-08,0.0095464335754513,0.0003706532006617,-1.7133831977844238,25.755702523024727,0.000370388792362,0.0018066950142383,0.0002805661060847,1.863240122795105,6.439462839794037,4102609.0,1.17
1.0,0.6380000114440918,0.0298503395169973,-3.619896631334996e-07,0.0467115603387355,0.0007271912763826,-1.3358830213546753,64.23558952893093,0.0004100502992514,0.0023363439831882,0.0004519232024904,2.318751573562622,5.169780994454971,3140812.25,1.17
1.0,0.7950000166893005,-0.0077081299386918,-2.513079664367979e-07,0.070134699344635,0.0005697510787285,-1.595951795578003,123.09708917294606,0.0003652738814707,0.0016450820257887,0.0002993541129399,2.87551212310791,5.495438194025917,2404484.0,1.17
1.0,0.9520000219345092,-0.0042143710888922,-3.620222912559257e-07,0.1077935099601745,0.0007467453251592,-1.3503434658050537,144.35110114305985,0.0003760906402021,0.0004912200965918,0.0001476615871069,3.03416109085083,3.326661362754573,1840781.125,1.17
1.0,1.1089999675750732,-0.0021539160516113,-4.629927445876092e-07,0.1509711891412735,0.0007626093574799,-1.387739658355713,197.96660985141503,0.0003568048996385,0.0006178861367516,0.0002046623849309,-3.099902868270874,3.019050799002182,1409249.875,1.17
1.0,1.2660000324249268,-0.0012484474573284,-4.538543407761608e-07,0.2178460508584976,0.0007555230986326,-1.368915319442749,288.33804188481355,0.0003760067920666,0.0008559669950045,0.0003088841913267,-2.972841501235962,2.771158314473136,1078859.25,1.17
1.0,1.4240000247955322,-0.0007981234230101,-6.411386976878931e-09,0.2471751719713211,0.0006814313819631,-1.18093740940094,362.72936426733565,0.0003360937116667,0.000464725861093,0.0001089950965251,3.1371772289276123,4.26373181829955,825937.4375,1.17
1.0,1.5820000171661377,-0.0006287976866587,-1.839058256791759e-07,0.364113837480545,0.001038693706505,-1.155071258544922,350.54976765548747,0.000365441548638,0.003796064062044,0.0014528501778841,-1.8142893314361568,2.612839313942561,632312.4375,1.17
1.0,1.7400000095367432,-0.0004786321951542,-2.197758703914588e-07,0.4979312717914581,0.0010978641221299,-1.234825849533081,453.54544497311457,0.0003517738368827,0.003579763462767,0.0023948708549141,-1.7088029384613037,1.4947626321567444,484078.09375,1.17
1.0,1.897000074386597,-3.639306305558421e-05,-2.912625234330335e-07,0.6449163556098938,0.0011327305110171,-1.1672600507736206,569.3466798477834,0.000349426001776,0.0035787494853138,0.0049948561936616,-1.4665799140930176,0.7164869911280347,370593.71875,1.17
1.0,2.055000066757202,-0.0004574941413011,-4.3533564308972934e-08,0.7981417775154114,0.0011930572800338,-1.1746114492416382,668.988648636201,0.0003150471020489,0.0034047102089971,0.0230395570397377,-1.7884626388549805,0.1477767217106137,283703.09375,1.17
1.0,2.211999893188477,-0.0003126953379251,-1.2221346423757498e-07,0.9247194528579712,0.0011539157712832,-1.2015162706375122,801.3751747492272,0.0002908980241045,0.0028842808678746,0.0132544692605733,2.481974601745605,0.2176081751122374,217203.125,1.17
1.0,2.369999885559082,-0.0002785281976684,1.2189055098588142e-07,0.9800291061401368,0.001008934341371,-1.236726999282837,971.3507271527276,0.0003133700811304,0.0024348825681954,0.0042593004181981,2.014718770980835,0.5716625570228118,166281.25,1.17
1.0,2.5280001163482666,0.0001154934652731,-1.998901666411257e-07,0.9834274649620056,0.0008238493464887,-1.2798693180084229,1193.6981793496846,0.0003007086052093,0.0019137959461659,0.0019277170067653,2.127455234527588,0.9927784729031642,127296.859375,1.17
1.0,2.686000108718872,5.772542499471456e-05,1.7259071682929061e-07,0.9673197269439696,0.0006494098342955,-1.3241362571716309,1489.5366159542864,0.00029987009475,0.0014615636318922,0.0011199903674423,2.239481210708618,1.3049787519421776,97453.1171875,1.17
1.0,2.844000101089477,-2.8507936804089692e-05,-5.8883099285367286e-08,0.949974000453949,0.0005051517509855,-1.3655180931091309,1880.5715284577036,0.0002916526864282,0.0011605519102886,0.0007144659757614,2.28989577293396,1.6243627403695748,74609.375,1.17
1.0,3.002000093460083,-0.000228138975217,1.9215237401226662e-08,0.9368116855621338,0.0003911000676453,-1.3987208604812622,2395.324785296965,0.0003085067437496,0.0009389264741912,0.000485080119688,2.3829524517059326,1.935611120890783,57109.375,1.17
1.0,3.1600000858306885,-1.1613546121225228e-05,-4.8456570311827825e-08,0.928807497024536,0.0003033473622053,-1.4310888051986694,3061.86112934014,0.0003178980550728,0.0007863525534048,0.0003445219190325,2.4909279346466064,2.282445644134921,43718.74609375,1.17
1.0,3.318000078201294,0.0001296204864047,-8.499083747892655e-08,0.9230166673660278,0.0002306474780198,-1.444561243057251,4001.8502490918913,0.0003116092120762,0.0006709998124279,0.0002490385086275,2.5474135875701904,2.694361671717952,33468.75,1.17
1.0,3.4750001430511475,1.584511119290255e-05,-1.6596368723753585e-08,0.9201905131340028,0.0001789735397323,-1.465591549873352,5141.48915258581,0.0002902272390201,0.0005702709313482,0.0001870942505775,2.6679601669311523,3.048040918349736,25624.99609375,1.17
1.0,3.633000135421753,6.007296178722754e-05,-1.3236761731150184e-07,0.9182628989219666,0.0001383700146107,-1.4793769121170044,6636.285336136376,0.0002835191553458,0.0004861047782469,0.0001418481842847,2.8128409385681152,3.4269369093306103,19625.0,1.17
1.0,3.79800009727478,0.0001091630620067,1.403548282041811e-07,0.9177115559577942,0.0001067607227014,-1.4911723136901855,8595.966126271222,0.0003036433772649,0.0003949574311263,0.0001080761139746,2.989103317260742,3.654437753183211,15022.91015625,1.17
1.0,4.002999782562256,-0.0002053758798865,7.346130814767093e-09,0.9174768924713136,8.2533442764543e-05,-1.5014135837554932,11116.425799524124,0.0003350875049363,0.0003121244953945,8.33632075227797e-05,3.130866289138794,3.744151702766922,11516.697265625,1.17
1.0,4.259999752044678,5.60485314053949e-05,-8.962032893578e-08,0.9177802205085754,6.390631460817531e-05,-1.5017662048339844,14361.338564673968,0.0003194073797203,0.0002487688325345,6.492558895843104e-05,3.0492196083068848,3.83159916645234,8801.966796875,1.17
1.0,4.586999893188477,-0.0001142380133387,-3.0823397167978335e-08,0.9193115234375,4.947135676047765e-05,-1.5118176937103271,18582.70287367441,0.0003186527173966,0.0001875185553217,5.025080099585466e-05,-0.0154366493225097,3.731653060360165,6740.5849609375,1.17
1.0,5.008999824523926,0.0001151997639681,-2.774394260995905e-07,0.9216349720954896,3.8316924474202096e-05,-1.5187169313430786,24052.94748319389,0.0003426340990699,0.0001508334098616,3.892029417329468e-05,-3.10266661643982,3.875443725837932,5159.66845703125,1.17
1.0,5.432000160217285,-0.0002598320133984,2.3221156553177025e-08,0.9250463843345642,2.943977051472757e-05,-1.518341064453125,31421.65744368828,0.0003565533552318,0.0001251248468179,2.9858501875423823e-05,-2.889269590377808,4.190593598432154,3951.206787109375,1.17
1.0,5.855000019073486,3.797979661612772e-05,-2.602762094738864e-07,0.9306170344352722,2.2669220925308764e-05,-1.523969054222107,41052.0078083626,0.0003395316016394,9.150722326012328e-05,2.316596510354429e-05,-0.0324094295501709,3.950071704378207,3022.096923828125,1.17
1.0,6.277999877929688,6.669645517831668e-05,-1.4167964579314683e-09,0.9383839964866638,1.7647487766225822e-05,-1.535678505897522,53173.800651816586,0.000342801795341,8.103567233774811e-05,1.7956228475668468e-05,-2.941387176513672,4.512956183842016,2312.779296875,1.17
1.0,6.701000213623047,-0.0001681073190411,-8.548580154865705e-08,0.9482448697090148,1.3642339581565466e-05,-1.5271588563919067,69507.4964260788,0.0003213359450455,7.17557777534239e-05,1.3862755622540137e-05,-2.748742818832397,5.176155427334567,1772.8358154296875,1.17
1.0,7.124000072479248,3.668103818199597e-05,-1.916202734264516e-07,0.9591924548149108,1.062314368027728e-05,-1.54594886302948,90292.71218422176,0.0003261993115302,3.994047438027337e-05,1.0826372999872548e-05,-2.885890007019043,3.689183291647496,1357.1678466796875,1.17
1.0,7.546999931335449,-2.268038588226773e-05,-1.3661318298829885e-08,0.970173478126526,8.306882591568865e-06,-1.5374990701675415,116791.52406839252,0.0003302241675555,2.8503211069619283e-05,8.447648724541068e-06,-2.6730175018310547,3.3740999417761377,1039.0057373046875,1.17
1.0,7.970000267028809,-1.7901351384352893e-05,-1.751085676460207e-07,0.9797632694244384,6.458447842305759e-06,-1.4954266548156738,151702.5906761289,0.0003319850366096,4.676005846704357e-05,6.563957413163735e-06,-2.329450845718384,7.123760183645962,794.2393188476562,1.17
1.0,8.392999649047852,0.0002421394601697,-2.812329391588264e-08,0.9873700737953186,5.003411843063077e-06,-1.5186755657196045,197339.35657610247,0.0002491402556188,3.1953244615579024e-05,5.0832795750466175e-06,-2.1181814670562744,6.285950663118109,609.4149780273438,1.17
1.0,8.815999984741211,4.749658910441213e-05,-1.5599651348452426e-08,0.9928658604621888,4.034881385450717e-06,-1.542097568511963,246070.64387130196,0.0002093948860419,2.371721711824648e-05,4.101194463146385e-06,-2.352435350418091,5.783002325632452,465.7454528808594,1.17
1.0,9.23699951171875,5.646845238516107e-05,-1.6596494178955366e-09,0.996298372745514,2.962908411063836e-06,-1.4960362911224363,336256.8917166737,0.0002186184865422,1.729274845274631e-05,3.005214466611505e-06,-1.6702141761779783,5.754247706735069,356.4826965332031,1.17
1.0,9.661999702453612,0.0001868452236521,-6.228386695283916e-08,0.9984239339828492,2.3409768346027704e-06,-1.5094910860061646,426498.8526263085,0.0002239011082565,1.989866723306477e-05,2.377545570197981e-06,-1.6813511848449707,8.369415704367672,273.33795166015625,1.17
1.0,10.086999893188477,0.0001938461209647,1.129915219166833e-07,0.9998753666877748,1.9138080915581668e-06,-1.4659699201583862,522453.3071514528,0.0002071308990707,1.9400698874960653e-05,1.9471945051918738e-06,-2.557864189147949,9.963410857637427,209.26370239257807,1.17
1.0,10.510000228881836,0.0001548170403111,-3.318408801078476e-07,1.0008283853530884,1.3929932265455136e-06,-1.5502899885177612,718473.2605161653,0.0002321185020264,2.068366484309081e-05,1.413787003912148e-06,-1.8015908002853396,14.629972397437657,160.2567596435547,1.17
1.0,10.940999984741213,0.0002112858201144,-1.7605914592877525e-07,1.0014443397521973,1.2996860050407122e-06,-1.5755456686019895,770527.9089473826,0.0002161029551643,2.36913201661082e-05,1.3166622920834925e-06,-1.865920901298523,17.993467503819026,122.6834945678711,1.17
1.0,11.371000289916992,7.348903454840183e-05,-5.4214336131508396e-08,1.001689076423645,4.1724567267920076e-07,-1.9164588451385496,2400717.711442376,0.0002109041961375,3.274183109169826e-05,4.2924338572447606e-07,-2.1036906242370605,76.27800958758321,93.71041870117188,1.17
1.0,11.78499984741211,0.0002962189028039,-2.1331331367946404e-07,1.0016318559646606,5.197885002417024e-07,-1.3851022720336914,1926998.8764639853,0.0002046153676928,2.0312989363446832e-05,5.296541303323465e-07,-2.027650117874145,38.35142256079617,71.7684555053711,1.17
