Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0518380627036094,-1.7915260741574457e-07,0.0090821562334895,0.0001863346842583,1.0128872394561768,48.74109331625227,0.0002768269623629,0.000560401531402,0.0001276282418984,1.5703357458114624,4.390889689193808,6999983.5,0.43
1.0,0.3230000138282776,-0.0301702637225389,-1.5449607815298805e-07,0.0052032568491995,0.0002916629600804,0.4678609669208526,17.8399644842275,0.0003317493537906,0.0012411189964041,0.0002253408165415,1.5284066200256348,5.5077416308870415,5358937.0,0.43
1.0,0.481000006198883,-0.0030372117180377,-1.0583536891317637e-07,0.0100411102175712,0.0003681271336972,-1.714665412902832,27.276202426927178,0.000334348733304,0.0018181235063821,0.0002799668873194,1.864024519920349,6.49406622257978,4102609.0,0.43
1.0,0.6389999985694885,0.0313643850386142,-2.7974712679679214e-07,0.0472152084112167,0.0007274581585079,-1.3157854080200195,64.90436303313683,0.0003921220777556,0.0023661158047616,0.0004522879025898,2.325967311859131,5.231437301800058,3140812.25,0.43
1.0,0.7960000038146973,-0.0062213335186243,-6.567077548425004e-08,0.0709711760282516,0.0005681184702552,-1.5720733404159546,124.92319779070124,0.000350196583895,0.0016976207261905,0.0003035622648894,2.87520170211792,5.592331203644759,2404484.0,0.43
1.0,0.9539999961853028,-0.0026206744369119,-3.414290006276133e-07,0.1079072132706642,0.0007454631850123,-1.3297325372695925,144.75190115374764,0.0003534667775966,0.0005035980721004,0.0001484907988924,3.0224404335021973,3.391442943647769,1840781.125,0.43
1.0,1.1109999418258667,-0.0007901602075435,-9.622847585433193e-08,0.150199219584465,0.0007608645246364,-1.362849473953247,197.40599636477776,0.0003336779482197,0.0006087117944844,0.0001987119903787,-3.1024749279022217,3.063286686042663,1409249.875,0.43
1.0,1.2690000534057615,0.0002419540978735,-2.618624534989067e-07,0.2163842469453811,0.0007526469998992,-1.3422982692718506,287.4976542447293,0.0003200940845999,0.0008360540377907,0.0002976303803734,-2.97438645362854,2.8090346044033434,1078859.25,0.43
1.0,1.4270000457763672,0.0005999243003316,-1.7095229054575614e-07,0.245949700474739,0.0006762688281014,-1.1577216386795044,363.6862890238685,0.0003060071030631,0.0005531008355319,0.0001258647826034,3.133016347885132,4.394405043978966,825937.4375,0.43
1.0,1.5839999914169312,0.0010381781030446,-2.3785902669715145e-07,0.357164978981018,0.0010235416702926,-1.1015901565551758,348.9501105303409,0.0003288984007667,0.0037084412761032,0.0014405786059796,-1.819921970367432,2.574272074227628,632312.4375,0.43
1.0,1.7419999837875366,0.0014157686382532,-2.0276100087812665e-07,0.4828433692455292,0.0010739171411842,-1.176268458366394,449.6095189551558,0.0003146437520626,0.0034481838811188,0.0023969509638845,-1.741818904876709,1.438570889881966,484078.09375,0.43
1.0,1.899999976158142,0.0013370460364967,-7.57515294935729e-08,0.6177708506584167,0.001102574286051,-1.0952383279800415,560.2986197610168,0.0003227772831451,0.0034480208996683,0.0054067280143499,-1.535587191581726,0.6377278255012979,370593.71875,0.43
