Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0543982647359371,1.8151066427662957e-08,0.0091824419796466,0.0001936681219376,0.9899488091468812,47.4132856134285,0.0002006078721024,0.0005718189058825,0.0001328153011854,1.5546828508377075,4.305369191491003,6999983.5,0.45
1.0,0.3240000009536743,-0.0329596102237701,1.216768055201101e-07,0.0053488407284021,0.0002912554773502,0.4539415240287781,18.36477300638264,0.0002420302625978,0.0012317124055698,0.0002239829191239,1.540000081062317,5.499135426876929,5358937.0,0.45
1.0,0.4819999933242798,-0.0056872111745178,-1.8645646093773396e-07,0.0101565886288881,0.0003634383610915,-1.7326345443725586,27.945835432407723,0.0002481513947714,0.0018206496024504,0.0002777425979729,1.863477349281311,6.555168763228712,4102609.0,0.45
1.0,0.6389999985694885,0.0287631005048751,-2.315720735168725e-07,0.0476227961480617,0.0007263818988576,-1.316986918449402,65.56165045268322,0.0002904122811742,0.0023589124903082,0.0004511081497184,2.328176021575928,5.229150685440567,3140812.25,0.45
1.0,0.7960000038146973,-0.0090196942910552,1.1534471866525565e-07,0.0711436346173286,0.0005671309190802,-1.595487356185913,125.4448174553934,0.0002511700149625,0.0016832165420055,0.0003021597804035,2.877407550811768,5.570617438751254,2404484.0,0.45
1.0,0.9539999961853028,-0.0053562354296445,-2.827989646903007e-07,0.1090222522616386,0.0007450996781699,-1.3523708581924438,146.3190167111759,0.0002605613262858,0.0004994561313651,0.000148343417095,3.027677536010742,3.366891104073913,1840781.125,0.45
1.0,1.1109999418258667,-0.0035714157857,-1.597226884086922e-07,0.1519799530506134,0.0007599617238156,-1.389056921005249,199.983694293899,0.0002527631877455,0.0006239443900994,0.0002043349086306,-3.096123218536377,3.0535379112688497,1409249.875,0.45
1.0,1.2690000534057615,-0.0024361740797758,-2.631667825880868e-07,0.2194015383720398,0.0007532126037403,-1.3707793951034546,291.28766205253226,0.0002437072835164,0.0008327699033543,0.0002952547220047,-2.974940299987793,2.8205134119444546,1078859.25,0.45
1.0,1.4270000457763672,-0.002012931741774,-1.696294305020274e-07,0.245878979563713,0.0006728788139298,-1.1660317182540894,365.4134659519013,0.0002320519997738,0.0006313914200291,0.0001399114407831,-3.1409928798675537,4.512793353386778,825937.4375,0.45
1.0,1.5850000381469729,-0.0015092797111719,-1.6860585105860085e-07,0.367349237203598,0.0010349345393478,-1.1579443216323853,354.9492487081019,0.0002369991561863,0.0037745966110378,0.0014551515923812,-1.8154329061508176,2.593954218103745,632312.4375,0.45
1.0,1.7419999837875366,-0.0013456154847517,-2.7933099389088056e-08,0.5002578496932983,0.0010930474381893,-1.2345657348632812,457.6725878631271,0.0002438749506836,0.0035207460168749,0.0023701400496065,-1.735515594482422,1.4854590628344286,484078.09375,0.45
1.0,1.899999976158142,-0.001490406692028,-2.1334416544505078e-07,0.647108793258667,0.0011259838938713,-1.165413737297058,574.7051949684702,0.0002243376657133,0.0035301714669913,0.0050145615823566,-1.5054409503936768,0.7039840689985568,370593.71875,0.45
