Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0535170286893844,-3.438424869273149e-07,0.0091510796919465,0.0001893533917609,0.9980100989341736,48.32804739773995,0.0002426074497634,0.0005599066498689,0.0001301166630582,1.5477018356323242,4.30311258150014,6999983.5,0.81
1.0,0.3240000009536743,-0.0317821539938449,-1.3818922184327678e-07,0.0051822024397552,0.000291359698167,0.49234539270401,17.78627062135284,0.0002794180181808,0.0012397968675941,0.000227178694331,1.507518291473389,5.457364174244525,5358937.0,0.81
1.0,0.4819999933242798,-0.0046539241448044,-1.3358494754811545e-07,0.0097994720563292,0.0003658546484075,-1.7397842407226562,26.78515114946141,0.0002781602670438,0.0018158318707719,0.0002792594023048,1.8587193489074707,6.50231238692357,4102609.0,0.81
1.0,0.6399999856948853,0.0298803560435771,-2.6727940394266625e-07,0.0474950857460498,0.000723882287275,-1.3391724824905396,65.61161473481899,0.0003262068494223,0.0023805426899343,0.00045473780483,2.3131771087646484,5.234978628671373,3140812.25,0.81
1.0,0.796999990940094,-0.0077368044294416,-1.586850544299523e-07,0.0716703608632087,0.0005654802080243,-1.5941742658615112,126.74247453081232,0.0002852037432603,0.0016719887498766,0.0003007504565175,2.870063066482544,5.559388900807813,2404484.0,0.81
1.0,0.9550000429153442,-0.004252687562257,-8.167489085053603e-08,0.1089886575937271,0.0007445544470101,-1.3468858003616333,146.3810444372243,0.0002923310676123,0.0004822398768737,0.000143303303048,3.0187134742736816,3.365169306057194,1840781.125,0.81
1.0,1.1130000352859497,-0.0023243278264999,-2.946687800431391e-07,0.1522030681371688,0.0007589117158204,-1.387484073638916,200.55437933597813,0.0002681819896679,0.0006040434236638,0.0001968644210137,-3.104045391082764,3.068321947426233,1409249.875,0.81
1.0,1.2710000276565552,-0.0013190854806452,-1.5321273139079494e-08,0.2193713188171386,0.0007518696365877,-1.364682674407959,291.76775885339515,0.0002660857280716,0.000819205364678,0.0002908464812207,-2.981636047363281,2.816624637298444,1078859.25,0.81
1.0,1.4279999732971191,-0.0009695416083559,-1.887502492081694e-07,0.2466497719287872,0.0006715101189911,-1.1643831729888916,367.3061134199272,0.0002385825937381,0.0006390005000866,0.0001412961573805,3.1297976970672607,4.5224195189230505,825937.4375,0.81
1.0,1.5859999656677246,-0.0006131606642156,-1.2911536373394486e-07,0.365586370229721,0.0010319374268874,-1.146891713142395,354.2718392649145,0.0002815981279127,0.0037199454382061,0.0014444370754063,-1.8294808864593504,2.5753599803991416,632312.4375,0.81
1.0,1.743000030517578,-0.0002904876018874,-9.914300136415477e-08,0.4973739385604858,0.0010896654566749,-1.2245172262191772,456.4464584186907,0.0002673434501048,0.00347834918648,0.0023770078551024,-1.7555241584777832,1.463330959977064,484078.09375,0.81
1.0,1.899999976158142,2.3596752726007253e-05,-1.612547322338287e-07,0.6422897577285767,0.0011204089969396,-1.1531953811645508,573.2636559354297,0.0002739676856435,0.0034959632903337,0.0051449104212224,-1.5353285074234009,0.6794993506423568,370593.71875,0.81
1.0,2.058000087738037,-0.0001148684023064,-1.845560717583794e-07,0.7922874093055725,0.001177315483801,-1.157845139503479,672.9610034071775,0.0002360670478083,0.0033226872328668,0.0220482647418975,-2.166500329971313,0.1507006230087981,283703.09375,0.81
1.0,2.2160000801086426,-2.913670141424518e-05,-2.7242570865837482e-08,0.9155876636505128,0.0011378002818673,-1.1804653406143188,804.6998038599784,0.0002416850620647,0.002842171350494,0.0107921380549669,2.490090131759644,0.2633557258087482,217203.125,0.81
1.0,2.374000072479248,-1.836236879171338e-05,-1.7452259726269406e-07,0.971080243587494,0.0009962342446669,-1.21166729927063,974.7509170517344,0.0002248310192953,0.0024058104027062,0.003871030639857,2.081148624420166,0.6214909223232357,166281.25,0.81
1.0,2.532000064849853,2.9428059860947545e-05,2.2255974840845735e-08,0.9758532047271729,0.000816257437691,-1.2480193376541138,1195.5213633183191,0.0002394211041973,0.0019030860858038,0.0018140607280656,2.179586887359619,1.049075180538782,127296.859375,0.81
1.0,2.690000057220459,0.000115074297355,-1.991869140738345e-07,0.9613832831382751,0.0006457471172325,-1.285069465637207,1488.7922183198602,0.0002276819577673,0.0014700156170874,0.0010663768043741,2.289531707763672,1.3785142466130582,97453.1171875,0.81
1.0,2.8480000495910645,-0.000206214361242,1.313940742875275e-07,0.9454086422920228,0.0005031449254602,-1.3154668807983398,1878.9986631133584,0.0002359832142246,0.0011822669766843,0.0006823295843787,2.356037378311157,1.732691947925383,74609.375,0.81
1.0,3.005000114440918,-0.0001367914956063,-1.0975888642406062e-08,0.9331945180892944,0.0003910369705408,-1.3381587266921997,2386.4610980350594,0.0002106602187268,0.000972353387624,0.0004712965164799,2.4366822242736816,2.063145713205042,57109.375,0.81
1.0,3.1619999408721924,2.033093733189162e-05,-8.045496713293687e-08,0.9252163767814636,0.0003047519130632,-1.354522943496704,3035.965771245233,0.0002303651999682,0.0008115422097034,0.0003405278548598,2.5352277755737305,2.3831889172106915,43718.74609375,0.81
1.0,3.319999933242798,0.0002164413454011,-1.793277988326736e-07,0.9200610518455504,0.0002329016570001,-1.3491064310073853,3950.427247689455,0.0002114148664986,0.0006906173075549,0.0002462061529513,2.646258592605591,2.805036751828903,33468.75,0.81
1.0,3.476999998092652,0.0001340222515864,1.28864536819151e-08,0.9169517159461976,0.0001818404416553,-1.3424935340881348,5042.617074611195,0.0002319583727512,0.0005862379912286,0.0001867168757598,2.7773897647857666,3.139716154969268,25624.99609375,0.81
1.0,3.634000062942505,0.0001769081427482,-1.9198510869955498e-07,0.9155389666557312,0.0001418630854459,-1.3246045112609863,6453.680066084323,0.0002226509095635,0.0005062031559646,0.0001431556884199,2.940370321273804,3.5360324242212315,19625.0,0.81
1.0,3.799999952316284,8.120128768496215e-05,-5.3090989382553744e-08,0.9149349927902222,0.0001106360723497,-1.2977720499038696,8269.771091457378,0.0002308683033334,0.0004281642322894,0.00011020788952,-3.1161346435546875,3.885059718989887,15022.91015625,0.81
1.0,4.005000114440918,9.646101534599438e-05,-4.571152345533847e-08,0.9147363305091858,8.732009155210108e-05,-1.2534019947052002,10475.668477321651,0.0002582875895313,0.0003381433198228,8.655415149405599e-05,-2.89318585395813,3.906725604560625,11516.697265625,0.81
1.0,4.26200008392334,-8.343758054252248e-06,-1.0313132747796773e-07,0.91552996635437,6.87410356476903e-05,-1.1956101655960083,13318.536122246102,0.0002412658359389,0.0002575319085735,6.858266715425998e-05,-2.9457249641418457,3.755058227676208,8801.966796875,0.81
1.0,4.5889997482299805,6.26713881501928e-05,-1.0732559019288601e-07,0.9169319868087769,5.509033508133143e-05,-1.127145528793335,16644.153379264877,0.0002608869690448,0.0002018041122937,5.475055513670668e-05,-2.736145496368408,3.6858824863030657,6740.5849609375,0.81
1.0,5.011000156402588,-0.0001858825271483,-3.6330425334796246e-09,0.9193008542060852,4.495806570048444e-05,-1.0444549322128296,20447.962782263992,0.0002676789008546,0.000153175467858,4.475185050978325e-05,-2.674155712127685,3.422773943718933,5159.66845703125,0.81
1.0,5.434000015258789,-2.1380974430940117e-05,-1.796169613044185e-07,0.9229022264480592,3.758255479624495e-05,-0.9451900720596312,24556.665491518703,0.0002421043463982,0.0001228472101502,3.755564102903009e-05,-2.6215028762817383,3.27107211551129,3951.206787109375,0.81
1.0,5.85699987411499,-0.0001953566534211,4.537995224040969e-08,0.9286991953849792,3.184955130564049e-05,-0.8352222442626953,29158.94125078329,0.0002722906938288,0.0001010965570458,3.172447395627387e-05,-2.3990395069122314,3.186705544279896,3022.096923828125,0.81
1.0,6.28000020980835,-5.567335392697714e-05,-1.815557908457777e-07,0.9366971254348756,2.8150527214165777e-05,-0.7286465764045715,33274.58552760302,0.0002596291888039,8.01097194198519e-05,2.79284122370882e-05,-2.164092302322388,2.8683950501657343,2312.779296875,0.81
1.0,6.703000068664551,-1.5512048776145093e-05,4.521186625083829e-08,0.94668048620224,2.5755893148016185e-05,-0.6171916127204895,36755.87877157958,0.0002581198641564,5.73848192289006e-05,2.5588675271137618e-05,-2.1605143547058105,2.242586559126294,1772.8358154296875,0.81
1.0,7.125999927520752,-0.0001048051053658,-2.2889244633006458e-07,0.9583607316017152,2.3878877982497212e-05,-0.5393996834754944,40134.24467867277,0.0002761478244792,4.882232315139845e-05,2.3639089704374783e-05,-1.893933892250061,2.065321624561673,1357.1678466796875,0.81
1.0,7.549000263214111,-1.2745351341436615e-05,-9.554903357411605e-08,0.9694310426712036,2.286229755554814e-05,-0.4413367807865143,42403.04546451612,0.0002752254658844,3.5980068787466735e-05,2.2508174879476428e-05,-1.4030357599258425,1.5985333764344594,1039.0057373046875,0.81
1.0,7.972000122070312,6.745074642822146e-05,3.3582580272195635e-08,0.9794350862503052,2.2028587409295145e-05,-0.3868298530578613,44462.00149161741,0.0002679304452612,4.129725130042061e-05,2.1811487386003137e-05,-1.2901288270950315,1.8933716242993075,794.2393188476562,0.81
1.0,8.394999504089355,0.0002275085134897,-2.7768487953494517e-08,0.9872979521751404,2.1430165361380205e-05,-0.3305620551109314,46070.47755004135,0.0001791322429198,2.921846680692397e-05,2.117939220624976e-05,-1.1142483949661257,1.3795705996842529,609.4149780273438,0.81
1.0,8.817999839782715,0.0001876410387922,1.7667032281565298e-08,0.992827832698822,2.0776118617504835e-05,-0.292636513710022,47786.97363916275,0.0001382968039251,2.6343872377765365e-05,2.0572158973664045e-05,-1.2620930671691897,1.280559440138982,465.7454528808594,0.81
1.0,9.23900032043457,0.0001500802172813,2.02761007983554e-08,0.9962603449821472,2.052865966106765e-05,-0.2660510838031769,48530.21879804178,0.0001555701019242,1.843612153606955e-05,2.016435064433608e-05,-1.2098712921142578,0.9142928458868091,356.4826965332031,0.81
1.0,9.663999557495115,0.0001117218271247,-9.681645707360077e-08,0.9984421730041504,2.0068899175385013e-05,-0.2413449883460998,49750.71947288288,0.0001621104893274,2.2747288312530145e-05,1.983386573556345e-05,-0.1859569549560547,1.1468913128590326,273.33795166015625,0.81
1.0,10.08899974822998,0.0002327916736248,3.347064492231766e-08,0.9998427629470824,1.9673383576446213e-05,-0.2457975149154663,50822.10485359191,0.000160768860951,3.866160841425881e-05,1.9580738808144812e-05,-1.242963194847107,1.974471381957105,209.26370239257807,0.81
1.0,10.51200008392334,0.0001844559446908,1.2849760366862029e-07,1.0008114576339722,1.9014181816601194e-05,-0.2484235912561416,52634.99987994058,0.0001564086123835,2.9976374207763e-05,1.8815666408045217e-05,-0.8803569078445435,1.593160378042506,160.2567596435547,0.81
1.0,10.942999839782717,0.0002437338553136,4.043725354563321e-09,1.001317858695984,1.851398337748833e-05,-0.2710035741329193,54084.40951251552,0.0001663868752075,2.2456631995737556e-05,1.833648821047973e-05,-0.7342895865440369,1.2246964488490804,122.6834945678711,0.81
1.0,11.373000144958496,0.0002764315286185,-2.91212899128368e-07,1.0014512538909912,1.7782671420718543e-05,-0.2729319334030151,56316.13103553176,0.0001731788215693,7.5622833719535265e-06,1.6866841178853065e-05,-0.731347382068634,0.4483520827500765,93.71041870117188,0.81
1.0,11.786999702453612,0.0001053071100614,2.6891855853250494e-08,1.001860737800598,1.69288286997471e-05,-0.2826407551765442,59180.74756203097,0.0001131415046984,2.6884357794187963e-05,1.672458165558055e-05,-0.5269835591316223,1.6074756515788462,71.7684555053711,0.81
1.0,12.211000442504885,-1.693692320259288e-05,-7.825478576251045e-08,1.0020018815994265,1.6383221009164117e-05,-0.3067047894001007,61160.24932087204,0.0001471011491958,3.2249583455268294e-05,1.625946788408328e-05,-0.5663588643074036,1.9834341249776115,54.94721221923828,0.81
1.0,12.616000175476074,5.772340591647662e-05,1.1567557578473497e-07,1.001876711845398,1.5716050256742164e-05,-0.3564819395542145,63748.63247943574,0.0001495328324381,3.274242044426501e-05,1.5590747352689505e-05,-0.5267147421836853,2.100118724495701,42.11589431762695,0.81
1.0,13.013999938964844,0.0002233560517197,-3.789021874034404e-11,1.0017473697662354,1.5020508726593109e-05,-0.3817253410816192,66691.97348773471,0.0001275638787774,2.1400002879090607e-05,1.484478525526356e-05,-0.6967976689338684,1.4415838633639206,32.19432830810547,0.81
1.0,13.447999954223633,0.000275254889857,-3.5968923839391216e-08,1.0021060705184937,1.3903434592066333e-05,-0.3898912966251373,72076.15239836651,0.0001341881143162,2.878438863263e-05,1.384339248033939e-05,-0.6288816928863525,2.079287188708263,24.660675048828125,0.81
1.0,13.90000057220459,0.0002617977443151,-1.1224780394059053e-07,1.001862406730652,1.3261519598017912e-05,-0.4160778522491455,75546.57664423253,0.0001451725838705,1.9273620637250133e-05,1.3245524314697832e-05,-1.3416244983673096,1.4551043944604936,18.87075424194336,0.81
1.0,14.343000411987305,0.0002708896354306,-1.900549335687174e-07,1.0017622709274292,1.2281182534934487e-05,-0.4542073607444763,81568.87727039821,0.0001618589303689,1.6187421351787634e-05,1.2187870197521988e-05,-0.7062900066375732,1.3281583319683554,14.467611312866213,0.81
1.0,14.737000465393066,0.0002759951166808,1.6455066642606653e-08,1.001965880393982,1.1467830518085975e-05,-0.5071654319763184,87371.87725383422,0.0001413154386682,3.2733216357883066e-05,1.1427135177655146e-05,-0.4804828763008117,2.8645164206939877,11.065899848937988,0.81
1.0,15.243000030517578,0.0003482069878373,-1.7153050180240825e-07,1.0019770860671997,1.0409751666884404e-05,-0.5046363472938538,96253.69731486472,0.0001598465023562,1.271165001526242e-05,1.0306830517947674e-05,-0.4163428544998169,1.2333228913706444,8.473396301269531,0.81
1.0,15.589000701904297,0.0002594838442746,-1.7415861464087357e-07,1.0018635988235474,9.677529305918142e-06,-0.5465510487556458,103524.72900401067,0.0001439986663172,3.8068283174652606e-05,9.645928912505042e-06,-0.7017621994018555,3.946564765297062,6.488784790039063,0.81
1.0,16.03499984741211,0.0001134795238613,-1.567457097451097e-08,1.0021167993545532,8.789035746303853e-06,-0.5709724426269531,114018.96957535805,0.0001508744462626,2.379050238232594e-05,8.748217624088284e-06,-0.4678518176078796,2.719468513999767,4.969782829284668,0.81
1.0,16.607999801635742,0.0003337200614623,-5.320380580542405e-08,1.002115249633789,8.077562597463839e-06,-0.6028503179550171,124061.58881992807,0.0001182773703476,0.000109902350232,8.071625416050665e-06,-0.5726422667503357,13.615888320766354,3.814697265625,0.81
1.0,17.35099983215332,0.000335998047376,-7.336916496569756e-08,1.0020328760147097,7.250162525451742e-06,-0.6188960671424866,138208.3329162714,0.0001285029720747,0.0001171013864222,7.244556854857365e-06,-0.5193148851394653,16.16405099281907,2.915114164352417,0.81
1.0,18.312000274658203,0.0003759929095394,-3.603066289770141e-08,1.0020498037338257,6.602933808608213e-06,-0.6526213884353638,151758.2687906788,0.0001135127677116,0.0001092004895326,6.596616458409699e-06,-0.6143293380737305,16.554015262393172,2.232141733169556,0.81
1.0,19.56399917602539,0.0002994581591337,-6.172509614543742e-08,1.0020225048065186,5.992366823193152e-06,-0.6632465124130249,167216.4829643341,0.000120222204714,0.0001064831667463,5.989407782180933e-06,-0.6912384033203125,17.778580223428303,1.7087682485580444,0.81
1.0,21.194000244140625,0.0003167017712257,-4.6133227016298406e-08,1.0019980669021606,5.249949936114717e-06,-0.6821788549423218,190858.59467141892,0.0001356973225483,0.0001251575013156,5.24828419656842e-06,-0.6895526051521301,23.84731783342297,1.3055652379989624,0.81
1.0,23.3129997253418,0.0003265688137616,-2.705509949407769e-08,1.0019618272781372,4.686527972808108e-06,-0.7081730365753174,213796.19050428385,0.0001172445117845,0.0001126310307881,4.684636678575771e-06,-0.7012103796005249,24.04263948648878,1.0016038417816162,0.81
