Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.050341710448265,-5.353688834475179e-07,0.0091317286714911,0.0001783593033906,0.9993149638175964,51.198499309523775,0.0002339610655326,0.0005373464082367,0.0001219598634634,1.5700327157974243,4.405928253584469,6999983.5,0.98
1.0,0.3230000138282776,-0.0287222452461719,-1.234851225717648e-07,0.0050099580548703,0.0002906111185438,0.4220359325408935,17.239388774843714,0.0002776474284473,0.0012261198135092,0.0002242713235318,1.5148694515228271,5.467127023643171,5358937.0,0.98
1.0,0.4800000190734863,-0.0015071517555043,-2.451612317599938e-07,0.0114109721034765,0.000345915032085,-1.6138019561767578,32.98778903794944,0.0002769766142591,0.0018122008768841,0.0002643644693307,1.8875375986099243,6.854933575119882,4102609.0,0.98
1.0,0.6370000243186951,0.0328085869550704,-2.2542205613262922e-07,0.047650072723627,0.0007287637563422,-1.3155784606933594,65.38480036766579,0.0003428834897931,0.0023354371078312,0.0004502178635448,2.329919815063477,5.187348830281883,3140812.25,0.98
1.0,0.7940000295639038,-0.0046283076517283,-9.63461417313738e-08,0.0608336068689823,0.0005988671910017,-1.6183173656463623,101.58113148129068,0.0002832654281519,0.0014836254995316,0.0002901499683503,2.8033881187438965,5.113305743119724,2404484.0,0.98
1.0,0.9510000348091124,-0.0011683796765282,-1.28116695918834e-07,0.1074487939476966,0.0007488006376661,-1.3447390794754028,143.49452783933705,0.0002840201195795,0.0004887349787168,0.0001460286439396,3.026617288589477,3.3468432324744604,1840781.125,0.98
1.0,1.1089999675750732,0.0007632497581653,-3.00017404697428e-07,0.1501890867948532,0.000762551499065,-1.3845789432525637,196.9559917972816,0.0002716940070968,0.0006033074459992,0.0001977939245989,-3.10544228553772,3.050181886134755,1409249.875,0.98
1.0,1.2660000324249268,0.0016057098982855,-1.872422927817752e-07,0.2179687023162841,0.0007558887009508,-1.3671780824661257,288.36084206852746,0.0002904766297433,0.000840367283672,0.0003004835743922,-2.9764363765716557,2.7967162110998296,1078859.25,0.98
1.0,1.4240000247955322,0.0024531167000532,5.233003363969146e-08,0.2482335269451141,0.0006732703768648,-1.1432545185089111,368.6981270452576,0.0002768927661236,0.0005118228727951,0.0001179165556095,3.1376726627349854,4.340551419174041,825937.4375,0.98
1.0,1.5809999704360962,0.0028001067694276,-4.491017193686276e-07,0.3593885600566864,0.0010393289849162,-1.1419504880905151,345.7890285679467,0.0002958430559374,0.0037960861809551,0.0014654415426775,-1.811236262321472,2.590404373291584,632312.4375,0.98
1.0,1.7380000352859497,0.0028110495768487,-2.932025893187529e-07,0.4905278086662292,0.001102176727727,-1.2308976650238037,445.0536799827116,0.0002817561035044,0.0035372225102037,0.0023984047584235,-1.7420907020568848,1.4748230038238743,484078.09375,0.98
1.0,1.8960000276565552,0.0029568606987595,-7.394314138764457e-08,0.6404412984848022,0.0011316912714391,-1.15933096408844,565.9152055404122,0.0002674175775609,0.0035534973721951,0.0050962250679731,-1.4986727237701416,0.6972803054807813,370593.71875,0.98
