Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0524040088057518,-2.0444966608579307e-08,0.0092325946316123,0.00018934153195,1.003739595413208,48.76159253875682,0.0002546245232224,0.0005603483878076,0.0001297865819651,1.5537652969360352,4.317460089657138,6999983.5,1.04
1.0,0.3240000009536743,-0.0312805622816085,2.935603617970628e-07,0.0052777514792978,0.0002894269709941,0.4891614913940429,18.235175046645757,0.0002799475041683,0.0012442873558029,0.0002248871023766,1.5233210325241089,5.532942274825801,5358937.0,1.04
1.0,0.4819999933242798,-0.0039952076040208,-4.434624223392802e-09,0.0096359187737107,0.0003663950774352,-1.754266619682312,26.29925827923356,0.0002888356975745,0.0018186866072937,0.0002804018731694,1.8520116806030276,6.4860002065486295,4102609.0,1.04
1.0,0.6399999856948853,0.0303081683814525,1.84485685394975e-07,0.0471471697092056,0.0007292306399904,-1.3300743103027344,64.65330325372102,0.0003352052881382,0.0023637148551642,0.0004554905171971,2.3140532970428467,5.189383238336581,3140812.25,1.04
1.0,0.7980000376701355,-0.0069498494267463,-6.334127533591527e-08,0.0718351677060127,0.0005646417848765,-1.5727899074554443,127.22254999550536,0.0002993170928675,0.0016895665321499,0.0003020766889676,2.8797829151153564,5.593170853150066,2404484.0,1.04
1.0,0.956000030040741,-0.0033516637049615,-2.4194795855692064e-07,0.1071760058403015,0.0007466136012226,-1.3433144092559814,143.5494955687828,0.0003024195611942,0.0004798677109647,0.0001428469258826,3.018747091293335,3.359314230948601,1840781.125,1.04
1.0,1.1139999628067017,-0.0016130418516695,-2.4386579866586544e-07,0.1504335105419159,0.0007607565494254,-1.380418300628662,197.7419854689833,0.0002675375726539,0.0005900855758227,0.0001936141052283,-3.110422134399414,3.047740634014428,1409249.875,1.04
1.0,1.2710000276565552,-0.0007737676496617,-1.910440659003143e-07,0.21748086810112,0.0007534455507993,-1.3608454465866089,288.64842040726523,0.0002786059048958,0.0008057544473558,0.0002863067493308,-2.9895663261413574,2.8143047596296795,1078859.25,1.04
1.0,1.4279999732971191,5.7331231801072136e-05,-7.12476548869745e-08,0.2449948787689209,0.0006702424725517,-1.155900001525879,365.5317124803664,0.0002580624131951,0.0006718258955515,0.0001469274429837,3.130791664123535,4.572501106046018,825937.4375,1.04
1.0,1.5859999656677246,0.0002404912229394,-2.3250986203038337e-07,0.3604153990745544,0.0010348215000703,-1.1420257091522217,348.2875056713041,0.0003011617809534,0.0037470662500709,0.0014715708093717,-1.8185193538665767,2.5463037362575816,632312.4375,1.04
1.0,1.7440000772476196,0.0002902541018556,-2.082211096876563e-07,0.4915714859962463,0.0010948162525892,-1.2232707738876345,448.9990761771086,0.000278773572063,0.0035015877801924,0.0024120884481817,-1.75115704536438,1.451682993976452,484078.09375,1.04
1.0,1.902000069618225,0.0004876283928751,-2.222893300540818e-07,0.6377537846565247,0.0011259793536737,-1.150550127029419,566.399181810672,0.0002628418733365,0.0035193189978599,0.0051967874169349,-1.5267977714538574,0.677210498622941,370593.71875,1.04
1.0,2.059000015258789,0.0003437554987613,-8.494500036704268e-08,0.787598192691803,0.0011837476631626,-1.153664469718933,665.3429757044308,0.0002733232686296,0.003357273293659,0.0249438099563121,-2.176444292068481,0.1345934442067665,283703.09375,1.04
1.0,2.2170000076293945,0.000448603357654,1.1953740397530058e-07,0.9120900630950928,0.0011458804365247,-1.175428032875061,795.9731521914271,0.0002571400254964,0.0028779490385204,0.0114376014098525,2.4330904483795166,0.2516217286643116,217203.125,1.04
1.0,2.375,0.000827953161206,-3.50480640065598e-08,0.968573033809662,0.001003568759188,-1.2042803764343262,965.1287218160242,0.0002360934304306,0.0024127895012497,0.003893669694662,2.09865951538086,0.6196697949385715,166281.25,1.04
1.0,2.532000064849853,0.000907227396965,-7.368426224729775e-08,0.9739031195640564,0.0008220354793593,-1.237952709197998,1184.7458461562862,0.0002376866032136,0.0019213521154597,0.0018166549270972,2.179917335510254,1.0576318522581332,127296.859375,1.04
1.0,2.690000057220459,0.0007768092327751,5.104410050194019e-08,0.9595550298690796,0.0006504313787445,-1.270388960838318,1475.2594373924655,0.0002402859972789,0.0014868158614262,0.0010639876127243,2.297506809234619,1.3973995971807909,97453.1171875,1.04
1.0,2.8480000495910645,0.0006031689117662,1.8475098784165314e-07,0.9433552026748656,0.0005074518267065,-1.2949998378753662,1859.004447372756,0.0002368481073062,0.0011874632909893,0.0006849484634585,2.3694076538085938,1.7336534853928145,74609.375,1.04
1.0,3.005000114440918,0.0006788793834857,-1.2939115379140276e-07,0.9315185546875,0.0003943142364732,-1.3107870817184448,2362.3761673403187,0.0002230965474154,0.0009821868734434,0.0004711551009677,2.4591667652130127,2.0846359753424077,57109.375,1.04
1.0,3.1630001068115234,0.0009236605255864,-3.393330700873776e-07,0.9237344264984132,0.0003074902342632,-1.3186601400375366,3004.1098011184554,0.0002329071139683,0.0008218843722715,0.0003406847536098,2.5642759799957275,2.4124483516303274,43718.74609375,1.04
1.0,3.319999933242798,0.0008291690028272,-1.5929393271107986e-07,0.9183323979377748,0.0002353457530261,-1.3005235195159912,3902.056383552249,0.0002364288520766,0.0007037634495645,0.0002471500192768,2.6757631301879883,2.8475152525727125,33468.75,1.04
1.0,3.4780001640319824,0.0006238357163965,8.54752997270225e-08,0.9156169295310974,0.0001845021906774,-1.2811641693115234,4962.6344607029605,0.0002422145771561,0.0005980777787044,0.0001885203528217,2.806125402450561,3.172483871117142,25624.99609375,1.04
1.0,3.636000156402588,0.0007826354121789,-1.2474484378799389e-07,0.9139285087585448,0.000144790217746,-1.244989991188049,6312.087397793025,0.000223012684728,0.0005141016445122,0.000144702498801,3.018684864044189,3.552818014698488,19625.0,1.04
1.0,3.802000045776367,0.0006179672200232,6.82508343174959e-08,0.9133307337760924,0.000114638613013,-1.196298599243164,7967.042777042705,0.0002334940654691,0.0004194699868094,0.0001130050441133,-3.017899751663208,3.711958082053042,15022.91015625,1.04
1.0,4.006999969482422,0.0007054575253278,1.0705117858833547e-07,0.9133217930793762,9.126155055128038e-05,-1.1282318830490112,10007.739158082522,0.0002667829103302,0.0003415897372178,8.970115595730022e-05,-2.7948615550994877,3.808086234479272,11516.697265625,1.04
1.0,4.263999938964844,0.0006506242789328,4.219574734065645e-08,0.9139410257339478,7.400326285278425e-05,-1.045756220817566,12350.009857701323,0.0002658605517353,0.0002640515740495,7.317145355045795e-05,-2.831516027450561,3.608669245137128,8801.966796875,1.04
1.0,4.591000080108643,0.0008371338481083,-7.23259958590461e-08,0.9152259230613708,6.159483746159822e-05,-0.9481507539749146,14858.808964825592,0.0002554630336817,0.0002106066531268,6.067357753636316e-05,-2.6203534603118896,3.471142821612361,6740.5849609375,1.04
1.0,5.013000011444092,0.0008428354049101,-3.424054284550948e-07,0.917702853679657,5.232988769421354e-05,-0.841509997844696,17536.877950936887,0.0002643512270879,0.0001690516946837,5.143766247783788e-05,-2.411139249801636,3.286535323345364,5159.66845703125,1.04
1.0,5.435999870300293,0.0005479995743371,1.628924017893496e-08,0.9214810729026794,4.572635589283891e-05,-0.7267406582832336,20152.07761279289,0.0002779350907076,0.0001308371138293,4.50710031145718e-05,-2.3305976390838623,2.902911068935783,3951.206787109375,1.04
1.0,5.859000205993652,0.0006923782639205,-1.243971041731129e-07,0.9273092150688172,4.143907790421508e-05,-0.6248605251312256,22377.650806136626,0.0002723170618992,9.071434760699049e-05,4.073611489729956e-05,-2.252272844314575,2.226877743144917,3022.096923828125,1.04
1.0,6.2820000648498535,0.0005667390068992,-1.625646461889119e-07,0.9353395700454712,3.858273703372106e-05,-0.529162585735321,24242.436953811502,0.0002729878760874,5.8328951126895845e-05,3.74519731849432e-05,-1.9059804677963257,1.5574333250442949,2312.779296875,1.04
1.0,6.704999923706055,0.0007274251547642,-4.7838998540328255e-08,0.9455544352531432,3.695075793075375e-05,-0.4401833415031433,25589.58160006152,0.000290680443868,5.630700979963876e-05,3.6148227081866935e-05,-1.826871395111084,1.5576700254791775,1772.8358154296875,1.04
1.0,7.128000259399414,0.0005443945410661,-1.6398116997606849e-07,0.9571194648742676,3.577438837965019e-05,-0.3761409521102905,26754.320848674884,0.0002950406924355,5.693877028534189e-05,3.5084500268567353e-05,-1.4980977773666382,1.6229038421377788,1357.1678466796875,1.04
1.0,7.551000118255615,0.0007841449114494,-5.9058272938727896e-08,0.96886545419693,3.499636659398675e-05,-0.3192903697490692,27684.744117505197,0.0002892549673561,3.680267400341109e-05,3.4071170375682414e-05,-1.1670033931732178,1.0801705253330018,1039.0057373046875,1.04
1.0,7.973999977111816,0.0007577763171866,-1.911531626319629e-07,0.979237139225006,3.422426379984245e-05,-0.2761267423629761,28612.36533682615,0.000302084168652,3.0042065191082656e-05,3.344836295582354e-05,-1.3199315071105957,0.8981624969437307,794.2393188476562,1.04
1.0,8.397000312805176,0.0009098269511014,-1.399776010657661e-07,0.9870713949203492,3.39028010785114e-05,-0.2513315677642822,29114.74460869796,0.0001635623339097,2.79986434179591e-05,3.324585486552678e-05,-1.237492322921753,0.8421694533411259,609.4149780273438,1.04
1.0,8.819999694824219,0.0009391722269356,-6.43697219970818e-08,0.9924832582473756,3.336971712997183e-05,-0.2400813102722168,29742.033904025884,0.0002790251455735,2.323246189916972e-05,3.285843195044436e-05,-1.4671244621276855,0.7070471875897152,465.7454528808594,1.04
1.0,9.241000175476074,0.0008502145064994,-8.885797342372825e-08,0.996180772781372,3.265426857979037e-05,-0.237983763217926,30506.908165687884,0.0001899753988254,2.573025449237321e-05,3.189971175743267e-05,-0.9578513503074646,0.806598338192759,356.4826965332031,1.04
1.0,9.666000366210938,0.000754129840061,-1.5840633693642303e-08,0.9986335635185242,3.2108491723192856e-05,-0.2409935295581817,31101.852186883734,0.0001672517682891,3.2647392799844965e-05,3.182383443345316e-05,-1.151902675628662,1.025878665505062,273.33795166015625,1.04
