Process,Time [s],Voltage [V],Current [A],abs( Voltage ) [V],abs( Current ) [A],Impedance phase,Impedance modulus,Voltage_ce [V],abs( Voltage_ce ) [V],abs( Current_ce ) [A],Impedance_ce phase,Impedance_ce modulus,Frequency [Hz],Sample Height [mm]
1.0,0.1659999936819076,-0.0526180192828178,-1.5512395066252791e-06,0.0093030733987689,0.0001899727503769,1.0071194171905518,48.97056751724343,0.0002215221757069,0.0005491638439707,0.0001294695830438,1.551505446434021,4.241643720941315,6999983.5,0.87
1.0,0.3240000009536743,-0.0307414066046476,-8.16535759895487e-07,0.0050698588602244,0.000288847455522,0.4665708243846893,17.552028807252352,0.0002701557532418,0.0012474067043513,0.0002245982323074,1.5149177312850952,5.553947114969393,5358937.0,0.87
1.0,0.481000006198883,-0.0041133011691272,-2.1774695824205994e-07,0.009708016179502,0.0003624756936915,-1.7824232578277588,26.782530107422417,0.0002528824552427,0.0018252255395054,0.0002793981402646,1.846585273742676,6.53270468363332,4102609.0,0.87
1.0,0.6380000114440918,0.0306672267615795,-4.38661409418728e-08,0.047340452671051,0.0007281127618625,-1.3299442529678345,65.01802351321246,0.0003315346548333,0.0023507145233452,0.0004539532237686,2.3156843185424805,5.17831882287366,3140812.25,0.87
1.0,0.7950000166893005,-0.0072106863372027,-5.53497272903769e-07,0.0721845030784607,0.0005653179250657,-1.5788488388061523,127.68833231329864,0.0002740967611316,0.0016846422804519,0.0003019171126652,2.88395357131958,5.579817141136323,2404484.0,0.87
1.0,0.9520000219345092,-0.0035271062515676,-4.601801606440858e-07,0.1080990880727768,0.0007459357730112,-1.3406981229782104,144.9174204856638,0.0002933824725914,0.000480803719256,0.000143591169035,3.022714853286743,3.348421232914889,1840781.125,0.87
1.0,1.1100000143051147,-0.001692064339295,-2.384801405241888e-07,0.1513436734676361,0.0007595470524393,-1.3764503002166748,199.2551652746101,0.0002620222221594,0.000590958923567,0.0001949036086443,-3.109985113143921,3.0320573727567206,1409249.875,0.87
1.0,1.2669999599456787,-0.0005507440655492,-1.5021144861293578e-07,0.2184934318065643,0.0007515289471484,-1.3585140705108645,290.7318908148441,0.0002694849390536,0.0008218385046347,0.000294098019367,-2.983957290649414,2.794437400168291,1078859.25,0.87
1.0,1.4240000247955322,-0.0001205426160595,-2.1418904339043365e-07,0.2466850578784942,0.0006702138343825,-1.1585040092468262,368.0691821375823,0.0002648731460794,0.0006330265314318,0.0001401135668857,3.137424945831299,4.517953154016952,825937.4375,0.87
1.0,1.5820000171661377,0.0005933885113336,-4.918723561786464e-07,0.3620691001415252,0.0010295868851244,-1.12910795211792,351.66444461631073,0.000271748896921,0.0037289727479219,0.0014703110791742,-1.8169305324554443,2.5361794525932004,632312.4375,0.87
1.0,1.7390000820159912,0.0004248227342031,-3.7019046317254833e-07,0.491325169801712,0.0010848286328837,-1.207788586616516,452.9057907474797,0.0002590873918961,0.0035070613957941,0.0024257127661257,-1.728182077407837,1.4457859334250112,484078.09375,0.87
1.0,1.8960000276565552,0.000656782882288,-3.099180503340904e-07,0.6342273950576782,0.0011115552624687,-1.131611466407776,570.576575427356,0.0002478513633832,0.0035094402264803,0.0052915434353053,-1.483993649482727,0.6632167475117487,370593.71875,0.87
